n_observations,model,configuration,metric,mean,std,median,q05,q25,q75,q95,count
2,Fully Local,all_global,global_error,0.0702021998167038,0.0497695139493931,0.05989767611026764,0.0037424378097057343,0.03482639789581299,0.1027967780828476,0.17002639174461365,100
2,Fully Local,all_global,global_analytic_error,0.010620140843093396,0.010664347533481054,0.0067276060581207275,0.0005267314612865448,0.0033280476927757263,0.014461033046245575,0.034986405074596404,100
2,Fully Local,all_global,local_rmse,0.6302482787705957,0.41321728633281213,0.6170478463172913,0.07382521405816078,0.35583050549030304,0.8319098055362701,1.3029952645301817,100
2,Fully Local,all_global,local_analytic_rmse,0.6092145345825702,0.41807192721846587,0.6051790416240692,0.05266701970249415,0.31229210644960403,0.8217621296644211,1.307506477832794,100
2,Fully Local,all_global,sharing_range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2,Fully Local,all_global,sharing_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2,Fully Local,all_global,local_estimate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
2,Fully Local,all_global,log_likelihood,-6.02227573633194,4.433067028725973,-6.436407804489136,-12.906543827056884,-8.868223428726196,-2.3422542214393616,0.8853360295295715,100
2,Fully Local,all_global,effective_k,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100
2,Fully Local,all_global,aic,16.04455147266388,8.866134057451946,16.87281560897827,2.229327940940857,8.684508442878723,21.736446857452393,29.81308765411377,100
2,Fully Local,all_global,bic,13.430845833783765,8.866134057451946,14.259109970098162,-0.38437769793925247,6.070802803998614,19.122741218572283,27.19938201523366,100
2,Fully Local,all_global,aic_weight,0.4895488037166506,0.10848422855991165,0.4720954346984358,0.3430373648650272,0.4061669987862633,0.5533354945828726,0.6761719730060136,100
2,Fully Local,all_global,bic_weight,0.4895488037166506,0.10848422855991165,0.4720954346984358,0.3430373648650272,0.4061669987862633,0.5533354945828726,0.6761719730060136,100
2,Fully Local,all_global,no_penalty_weight,0.4895488037166506,0.10848422855991165,0.4720954346984358,0.3430373648650272,0.4061669987862633,0.5533354945828726,0.6761719730060136,100
2,Fully Local,all_local,global_error,0.10012355062179268,0.047772520398913935,0.09583374112844467,0.03313457984477282,0.06454139202833176,0.12987307086586952,0.18530661687254904,100
2,Fully Local,all_local,global_analytic_error,0.05830259011592716,0.043078398661470126,0.049713557586073875,0.009260351303964853,0.02400152524933219,0.07055686973035336,0.14922755137085914,100
2,Fully Local,all_local,local_rmse,0.08923796696821228,0.05339867321010768,0.07822078838944435,0.017670324351638556,0.0462822001427412,0.13141638785600662,0.18158526569604871,100
2,Fully Local,all_local,local_analytic_rmse,0.0067331712873419745,0.003893562712201629,0.005924999946728349,0.0016000431962311268,0.004070905153639615,0.008330223616212606,0.014681853959336877,100
2,Fully Local,all_local,sharing_range,0.11505713135004043,0.0872917309774648,0.09879496693611145,0.013722914457321166,0.04656714200973511,0.14068765193223953,0.298136718571186,100
2,Fully Local,all_local,sharing_std,0.057528565786778924,0.04364586562169185,0.049397481605410576,0.006861457228660583,0.023283571004867554,0.07034382782876492,0.149068359285593,100
2,Fully Local,all_local,local_estimate_std,0.6047719337046147,0.4146946229080911,0.6028977036476135,0.05227269679307938,0.3134392872452736,0.8190785646438599,1.2954267501831054,100
2,Fully Local,all_local,log_likelihood,0.7652098059654235,0.799020765619727,0.9281101226806641,-0.6747686862945557,0.31129729747772217,1.3041694164276123,1.7626886129379271,100
2,Fully Local,all_local,effective_k,4.0,0.0,4.0,4.0,4.0,4.0,4.0,100
2,Fully Local,all_local,aic,6.4695803880691525,1.598041531239454,6.143779754638672,4.474622774124145,5.391661167144775,7.377405405044556,9.349537372589111,100
2,Fully Local,all_local,bic,1.242169110308934,1.5980415312394542,0.916368476878453,-0.7527885036360733,0.16424988938455654,2.149994127284337,4.122126094828893,100
2,Fully Local,all_local,aic_weight,0.34890269047180456,0.056123882152716284,0.34731725088056975,0.2773539452479688,0.31467646642892483,0.3696292172163945,0.4271088369586807,100
2,Fully Local,all_local,bic_weight,0.34890269047180456,0.056123882152716284,0.34731725088056975,0.2773539452479688,0.31467646642892483,0.3696292172163945,0.4271088369586807,100
2,Fully Local,all_local,no_penalty_weight,0.34890269047180456,0.056123882152716284,0.34731725088056975,0.2773539452479688,0.31467646642892483,0.3696292172163945,0.4271088369586807,100
2,Fully Local,correct_hierarchy,global_error,0.10012355062179268,0.047772520398913935,0.09583374112844467,0.03313457984477282,0.06454139202833176,0.12987307086586952,0.18530661687254904,100
2,Fully Local,correct_hierarchy,global_analytic_error,0.05830259011592716,0.043078398661470126,0.049713557586073875,0.009260351303964853,0.02400152524933219,0.07055686973035336,0.14922755137085914,100
2,Fully Local,correct_hierarchy,local_rmse,0.08923796696821228,0.05339867321010768,0.07822078838944435,0.017670324351638556,0.0462822001427412,0.13141638785600662,0.18158526569604871,100
2,Fully Local,correct_hierarchy,local_analytic_rmse,0.0067331712873419745,0.003893562712201629,0.005924999946728349,0.0016000431962311268,0.004070905153639615,0.008330223616212606,0.014681853959336877,100
2,Fully Local,correct_hierarchy,sharing_range,0.11505713135004043,0.0872917309774648,0.09879496693611145,0.013722914457321166,0.04656714200973511,0.14068765193223953,0.298136718571186,100
