n_observations,run,model,configuration,global_indices,local_indices,true_global,estimated_global,analytic_global_map,global_error,global_analytic_error,local_rmse,local_analytic_rmse,sharing_range,sharing_std,local_estimate_std,per_observation_log_likelihoods,log_likelihood,effective_k,aic,aicc,bic,aic_weight,bic_weight,no_penalty_weight,selected_by_aic,selected_by_bic,runtime_seconds
2,0,Shared Global,correct_hierarchy,[0],[1],0.8753730654970846,0.9562182426452637,0.9587771577430783,0.0808451771736145,0.002558887004852295,0.10975423455238342,0.0025680800899863243,0.0,0.0,0.2746398448944092,"[0.8080271482467651, 0.5607298612594604]",1.3687570095062256,3,3.262485980987549,nan,-0.6580724773326154,0.7453225358193069,0.6035772278468454,0.518446414254096,1,1,3.8667035260004923
2,0,Fully Local,correct_hierarchy,[],"[0, 1]",0.8753730654970846,nan,0.9587771577430783,0.10484449565410614,0.06590507179498672,0.10651401430368423,0.00446903333067894,0.13175863027572632,0.06587931513786316,0.2793716788291931,"[0.6430302858352661, 0.6519075632095337]",1.2949378490447998,4,5.4101243019104,nan,0.18271302415018154,0.2546774641806932,0.3964227721531546,0.48155358574590396,0,0,3.569803952006623
2,0,Shared Global,all_local,[],"[0, 1]",0.8753730654970846,nan,0.9587771577430783,0.10395614057779312,0.06365054100751877,0.10873217135667801,0.003581535303965211,0.12727832794189453,0.06363916397094727,0.2735748291015625,"[0.9645181894302368, 0.9031327962875366]",1.8676509857177734,4,4.264698028564453,nan,-0.9627132491957657,0.6393889812873287,0.6393889812873287,0.6393889812873287,1,1,3.4334663029876538
2,0,Fully Local,all_local,[],"[0, 1]",0.8753730654970846,nan,0.9587771577430783,0.10484449565410614,0.06590507179498672,0.10651401430368423,0.00446903333067894,0.13175863027572632,0.06587931513786316,0.2793716788291931,"[0.6430302858352661, 0.6519075632095337]",1.2949378490447998,4,5.4101243019104,nan,0.18271302415018154,0.36061101871267126,0.36061101871267126,0.36061101871267126,0,0,3.589808313990943
2,0,Shared Global,all_global,"[0, 1]",[],0.8753730654970846,0.9547185301780701,0.9587771577430783,0.0793454647064209,0.0040585994720458984,0.27304041385650635,0.2771603465080261,0.0,0.0,0.0,"[-0.7615553140640259, -0.762940526008606]",-1.5244958400726318,2,7.048991680145264,nan,4.4352860412651545,0.6103668338243438,0.6103668338243438,0.6103668338243438,1,1,3.6638742990326136
2,0,Fully Local,all_global,"[0, 1]",[],0.8753730654970846,0.9533980488777161,0.9587771577430783,0.0780249834060669,0.005379080772399902,0.2733829617500305,0.27715277671813965,0.0,0.0,0.0,"[-0.9216581583023071, -1.0516921281814575]",-1.9733502864837646,2,7.946700572967529,nan,5.33299493408742,0.38963316617565624,0.38963316617565624,0.38963316617565624,0,0,3.619085518992506
2,1,Shared Global,correct_hierarchy,[0],[1],2.1307325370965846,2.0324831008911133,2.0345181598330377,0.09824943542480469,0.0020351409912109375,0.051515039056539536,0.0038261027075350285,0.0,0.0,0.4400382936000824,"[0.4051607847213745, 0.47773277759552]",0.8828935623168945,3,4.234212875366211,nan,0.3136544170460467,0.771902188637015,0.6377604246195625,0.5545528018193587,1,1,3.8587375710485503
2,1,Fully Local,correct_hierarchy,[],"[0, 1]",2.1307325370965846,nan,2.0345181598330377,0.11945365369319916,0.0603080578148365,0.04817330464720726,0.0011584992753341794,0.11976659297943115,0.059883296489715576,0.44113969802856445,"[0.18998992443084717, 0.4738203287124634]",0.6638102531433105,4,6.672379493713379,nan,1.44496821595316,0.22809781136298504,0.36223957538043755,0.4454471981806412,0,0,3.3072072060313076
2,1,Shared Global,all_local,[],"[0, 1]",2.1307325370965846,nan,2.0345181598330377,0.11321913450956345,0.052827104926109314,0.050422001630067825,0.0035811681300401688,0.10535013675689697,0.052675068378448486,0.43921297788619995,"[0.5092900991439819, 0.7915138006210327]",1.3008038997650146,4,5.398392200469971,nan,0.17098092270975185,0.6540735545073207,0.6540735545073207,0.6540735545073207,1,1,3.210971773019992
2,1,Fully Local,all_local,[],"[0, 1]",2.1307325370965846,nan,2.0345181598330377,0.11945365369319916,0.0603080578148365,0.04817330464720726,0.0011584992753341794,0.11976659297943115,0.059883296489715576,0.44113969802856445,"[0.18998992443084717, 0.4738203287124634]",0.6638102531433105,4,6.672379493713379,nan,1.44496821595316,0.34592644549267926,0.34592644549267926,0.34592644549267926,0,0,3.435000746976584
2,1,Shared Global,all_global,"[0, 1]",[],2.1307325370965846,2.0296125411987305,2.0345181598330377,0.1011199951171875,0.00490570068359375,0.45061543583869934,0.4423671364784241,0.0,0.0,0.0,"[-3.016770362854004, -1.5924402475357056]",-4.60921049118042,2,13.21842098236084,nan,10.60471534348073,0.5312382282650702,0.5312382282650702,0.5312382282650702,1,1,3.542470382992178
2,1,Fully Local,all_global,"[0, 1]",[],2.1307325370965846,2.022648334503174,2.0345181598330377,0.10808420181274414,0.01186990737915039,0.4529961347579956,0.4424925148487091,0.0,0.0,0.0,"[-2.9566941261291504, -1.7776323556900024]",-4.734326362609863,2,13.468652725219727,nan,10.854947086339617,0.4687617717349299,0.4687617717349299,0.4687617717349299,0,0,3.655136102985125
2,2,Shared Global,correct_hierarchy,[0],[1],-0.24633522485107212,-0.2934316396713257,-0.29248492676123716,0.04709641635417938,0.0009467005729675293,0.04731685668230057,0.005321316421031952,0.0,0.0,0.9478223919868469,"[0.25587499141693115, -1.0957318544387817]",-0.8398568630218506,3,7.679713726043701,nan,3.759155267723537,0.6664794027464074,0.5097183262863776,0.42367736776482257,1,1,3.837275589001365
2,2,Fully Local,correct_hierarchy,[],"[0, 1]",-0.24633522485107212,nan,-0.29248492676123716,0.13836336135864258,0.12960073351860046,0.04328035190701485,0.0032008246053010225,0.25915831327438354,0.12957915663719177,0.9523333311080933,"[0.698083758354187, -1.2302452325820923]",-0.5321614742279053,4,9.06432294845581,nan,3.8369116706955917,0.33352059725359273,0.4902816737136224,0.5763226322351774,0,0,3.4274643609533086
2,2,Shared Global,all_local,[],"[0, 1]",-0.24633522485107212,nan,-0.29248492676123716,0.1415686458349228,0.13444964587688446,0.047323402017354965,0.00725720077753067,0.2688755691051483,0.13443778455257416,0.947553277015686,"[0.9870527982711792, -0.8044558763504028]",0.18259692192077637,4,7.634806156158447,nan,2.4073948783982284,0.6714517375844901,0.6714517375844901,0.6714517375844901,1,1,3.4436645179521292
2,2,Fully Local,all_local,[],"[0, 1]",-0.24633522485107212,nan,-0.29248492676123716,0.13836336135864258,0.12960073351860046,0.04328035190701485,0.0032008246053010225,0.25915831327438354,0.12957915663719177,0.9523333311080933,"[0.698083758354187, -1.2302452325820923]",-0.5321614742279053,4,9.06432294845581,nan,3.8369116706955917,0.32854826241550994,0.32854826241550994,0.32854826241550994,0,0,3.4982725689769723
2,2,Shared Global,all_global,"[0, 1]",[],-0.24633522485107212,-0.29666292667388916,-0.29248492676123716,0.05032770335674286,0.004177987575531006,0.9946123361587524,0.9503608345985413,0.0,0.0,0.0,"[-2.526076316833496, -7.127694129943848]",-9.653770446777344,2,23.307540893554688,nan,20.69383525467458,0.2439233859424846,0.2439233859424846,0.2439233859424846,0,0,3.8967118299915455
2,2,Fully Local,all_global,"[0, 1]",[],-0.24633522485107212,-0.2864697575569153,-0.29248492676123716,0.04013453423976898,0.006015181541442871,0.9967697858810425,0.9534956216812134,0.0,0.0,0.0,"[-1.9679874181747437, -6.554494380950928]",-8.522481918334961,2,21.044963836669922,nan,18.431258197789813,0.7560766140575154,0.7560766140575154,0.7560766140575154,1,1,3.7432657330064103
2,3,Shared Global,correct_hierarchy,[0],[1],0.00966250422233108,0.11588604748249054,0.10689672389232607,0.10622354596853256,0.008989326655864716,0.08055366575717926,0.007343537174165249,0.0,0.0,1.3490805625915527,"[0.1707066297531128, -0.12031042575836182]",0.05039620399475098,3,5.899207592010498,nan,1.9786491336903338,0.6650062228989637,0.5080638089585046,0.422061711271894,1,1,3.837121251039207
2,3,Fully Local,correct_hierarchy,[],"[0, 1]",0.00966250422233108,nan,0.10689672389232607,0.1496763974428177,0.1177840605378151,0.07800160348415375,0.012437285855412483,0.23537613451480865,0.11768807470798492,1.344022274017334,"[0.35814058780670166, 0.006571173667907715]",0.3647117614746094,4,7.270576477050781,nan,2.0431651992905624,0.33499377710103634,0.49193619104149544,0.577938288728106,0,0,3.5240759610314853
2,3,Shared Global,all_local,[],"[0, 1]",0.00966250422233108,nan,0.10689672389232607,0.16049623489379883,0.12255427241325378,0.0799308493733406,0.004848006181418896,0.24475201964378357,0.12237600982189178,1.351517677307129,"[0.7072542905807495, 0.44055020809173584]",1.1478044986724854,4,5.704391002655029,nan,0.47697972489481044,0.6863462865263742,0.6863462865263742,0.6863462865263742,1,1,3.363196065998636
2,3,Fully Local,all_local,[],"[0, 1]",0.00966250422233108,nan,0.10689672389232607,0.1496763974428177,0.1177840605378151,0.07800160348415375,0.012437285855412483,0.23537613451480865,0.11768807470798492,1.344022274017334,"[0.35814058780670166, 0.006571173667907715]",0.3647117614746094,4,7.270576477050781,nan,2.0431651992905624,0.31365371347362575,0.31365371347362575,0.31365371347362575,0,0,3.3900162959471345
2,3,Shared Global,all_global,"[0, 1]",[],0.00966250422233108,0.12167605012655258,0.10689672389232607,0.1120135486125946,0.014779329299926758,1.3433023691177368,1.386163592338562,0.0,0.0,0.0,"[-6.072304725646973, -7.621929168701172]",-13.694233894348145,2,31.38846778869629,nan,28.77476214981618,0.37747253964802024,0.37747253964802024,0.37747253964802024,0,0,3.6410247949534096
2,3,Fully Local,all_global,"[0, 1]",[],0.00966250422233108,0.11141633987426758,0.10689672389232607,0.1017538383603096,0.004519619047641754,1.3008431196212769,1.356537103652954,0.0,0.0,0.0,"[-6.795281410217285, -6.398662567138672]",-13.193943977355957,2,30.387887954711914,nan,27.774182315831805,0.6225274603519797,0.6225274603519797,0.6225274603519797,1,1,3.6526690640021116
2,4,Shared Global,correct_hierarchy,[0],[1],-0.5917290414997496,-0.6473851799964905,-0.6517452900843727,0.05565613508224487,0.0043601393699646,0.08083328604698181,0.00291465618647635,0.0,0.0,0.8349906206130981,"[0.45066893100738525, 0.6958979368209839]",1.1465668678283691,3,3.7068662643432617,nan,-0.21369219397690253,0.7470778988325993,0.6057928375889913,0.5207600384049489,1,1,3.8471846720203757
