training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,runtime_device,posterior_width_ratio
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,0,0.2424137290217913,0.3232183053623885,0.1343555897474289,0.1858261078596115,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,1,0.238541676022578,0.318055568030104,0.1309277564287185,0.1810620278120041,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,0,0.5105862750206143,0.6807817000274857,0.0793691426515579,0.088544487953186,,1.161882758140564
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,1,0.5018623200012371,0.6691497600016495,0.0851495042443275,0.0943837687373161,,1.1803295612335205
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,1,0,0.0149774879682809,0.0199699839577078,0.1812067031860351,0.1279274523258209,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,1,1,0.0149873599875718,0.0199831466500957,0.1806971132755279,0.1257591396570205,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,1,0,0.0301196879590861,0.0401595839454482,0.1263777911663055,0.1441247314214706,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,1,1,0.0297119149472564,0.0396158865963419,0.1244193091988563,0.1475838720798492,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,1,0,0.0596058149822056,0.0794744199762741,0.1012122109532356,0.146769642829895,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,1,1,0.0605843130033463,0.0807790840044617,0.104371391236782,0.1496864408254623,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,1,0,0.1515676109702326,0.2020901479603102,0.0922111272811889,0.1562906354665756,,
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0,1,1,0.1513160920003429,0.2017547893337905,0.0928753018379211,0.1567342728376388,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,0,0.0154800180462189,0.0206400240616252,0.2759149670600891,0.9388784170150756,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,1,0.0138023859472014,0.0184031812629352,0.2419434189796447,0.8966519236564636,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,0,0.0298540369840338,0.0398053826453785,0.1743017733097076,0.4820509254932403,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,1,0.0313974329619668,0.0418632439492891,0.1716998219490051,0.5249505043029785,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,0,0.0612897420069202,0.081719656009227,0.1117814183235168,0.3462995886802673,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,1,0.0615698639885522,0.0820931519847363,0.1250496953725814,0.2860995829105377,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,0,0.1531581330345943,0.2042108440461258,0.1169491857290268,0.2510795295238495,,
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,1,0.1550252999877557,0.2067003999836743,0.1135536059737205,0.236421912908554,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,0,0.0142410479602403,0.0189880639469871,0.2654324173927307,1.3103811740875244,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,1,0.0152142430306412,0.0202856573741883,0.2898935973644256,1.365650653839111,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,0,0.029659317980986,0.0395457573079814,0.1387644559144973,0.4584622979164123,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,1,0.0300276330090127,0.040036844012017,0.1505683809518814,0.5176769495010376,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,0,0.0676488219760358,0.0901984293013811,0.1164440810680389,0.264433741569519,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,1,0.0591804899740964,0.0789073199654619,0.0998653247952461,0.2657835185527801,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,0,0.1509293770068325,0.2012391693424433,0.1058853566646575,0.1514257192611694,,
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,1,0.1503666450153105,0.200488860020414,0.1052887737751007,0.1700213402509689,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,2,0,0.0139494940522126,0.0185993254029502,0.306950032711029,0.1250838041305542,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,2,1,0.0136340110329911,0.0181786813773214,0.2998221516609192,0.1229817941784858,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,2,0,0.0281725939712487,0.0375634586283316,0.2090341001749038,0.3018561899662018,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,2,1,0.0282363690203055,0.0376484920270741,0.2586007714271545,0.2359059154987335,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,2,0,0.0561053389683365,0.0748071186244487,0.2620246112346649,0.2599592506885528,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,2,1,0.0565872740116901,0.0754496986822535,0.2857640981674194,0.247905433177948,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,2,0,0.1467449649935588,0.1956599533247451,0.2445754706859588,0.2179855406284332,,
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,2,1,0.143757622980047,0.1916768306400627,0.2764028906822204,0.2086100876331329,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,0,0.0156182930222712,0.0208243906963616,0.2896684408187866,0.1187932640314102,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,1,0.0136448370176367,0.0181931160235156,0.283042848110199,0.118629939854145,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,0,0.0296204730402678,0.0394939640536904,0.1902997195720672,0.2434045970439911,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,1,0.0296924859867431,0.0395899813156574,0.2379728108644485,0.1842685341835022,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,2,0,0.0587650709785521,0.0783534279714028,0.2428076118230819,0.2070468366146087,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,2,1,0.0594382099807262,0.0792509466409683,0.2663095593452453,0.1957975327968597,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,2,0,0.1478997300146147,0.1971996400194863,0.2333795875310897,0.1844311505556106,,
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,2,1,0.1521887519629672,0.2029183359506229,0.2643395066261291,0.1754404455423355,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,2,0,0.015651594963856,0.0208687932851413,0.3047704100608825,0.0728005617856979,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,2,1,0.0144733620109036,0.0192978160145382,0.2987270355224609,0.0732467100024223,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,2,0,0.0305509860045276,0.0407346480060368,0.2001728862524032,0.2278595566749572,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,2,1,0.030727380013559,0.0409698400180786,0.2464222311973571,0.1706030070781707,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,2,0,0.0624331760336644,0.0832442347115526,0.2477533668279647,0.2034672200679779,,
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,2,1,0.0601177589851431,0.0801570119801908,0.2705472409725189,0.1925051510334015,,
