solver,timesteps,time_s,time_per_sample_ms,mean_error,covariance_error
dpm (order 1),10,8.05145105702104,2.6838170190070136,0.5698423385620117,0.2598797380924225
dpm (order 1),50,21.043644560035318,7.014548186678439,0.35106968879699707,0.1767924576997757
dpm (order 1),200,91.36543767398689,30.455145891328964,0.13949427008628845,0.02467287890613079
dpm (order 2),10,8.235755803005304,2.7452519343351014,0.5131121277809143,0.30487537384033203
dpm (order 2),50,32.61167331400793,10.870557771335976,0.3578614592552185,0.18632754683494568
dpm (order 2),200,115.92664948099991,38.64221649366664,0.14462336897850037,0.03828815370798111
euler,10,5.008615521015599,1.6695385070051998,0.48565423488616943,0.5854267477989197
euler,50,9.990703260991722,3.3302344203305743,0.4113372266292572,0.29401642084121704
euler,200,35.66570002696244,11.888566675654147,0.3801884353160858,0.22444911301136017
