training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,4,0.5,0.3063817620277405
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,4,0.8,0.6185735464096069
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,4,0.9,0.7787072062492371
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,4,0.95,0.8794626593589783
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,4,0.5,0.40022969245910645
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,4,0.8,0.7334270477294922
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,4,0.9,0.8693171143531799
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,4,0.95,0.9401059150695801
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,4,0.5,0.42239606380462646
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,4,0.8,0.7635743618011475
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,4,0.9,0.8934551477432251
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,4,0.95,0.9555999636650085
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,4,0.5,0.5075491666793823
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,4,0.8,0.8208649158477783
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,4,0.9,0.921212911605835
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,4,0.95,0.9666666984558105
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,5,0.5,0.542254626750946
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,5,0.8,0.8422723412513733
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,5,0.9,0.9313559532165527
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,5,0.95,0.9709062576293945
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,5,0.5,0.5549059510231018
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,5,0.8,0.8586267232894897
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,5,0.9,0.9438272714614868
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,5,0.95,0.9786429405212402
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,5,0.5,0.6058405637741089
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,5,0.8,0.8973059058189392
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,5,0.9,0.9649085998535156
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,5,0.95,0.9884366989135742
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,5,0.5,0.6009706258773804
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,5,0.8,0.8919034004211426
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,5,0.9,0.961225688457489
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,5,0.95,0.9863794445991516
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,6,0.5,0.5385529398918152
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,6,0.8,0.8500804305076599
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,6,0.9,0.9407110214233398
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,6,0.95,0.977857232093811
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,6,0.5,0.5531207323074341
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,6,0.8,0.861930787563324
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,6,0.9,0.9475432634353638
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,6,0.95,0.9811987280845642
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,6,0.5,0.628693163394928
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,6,0.8,0.9125419855117798
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,6,0.9,0.9724989533424377
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,6,0.95,0.9916942119598389
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,6,0.5,0.6270176768302917
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,6,0.8,0.9098485112190247
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,6,0.9,0.9705168008804321
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,6,0.95,0.990577757358551
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,7,0.5,0.3795226514339447
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,7,0.8,0.6964825391769409
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,7,0.9,0.8401544094085693
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,7,0.95,0.9224741458892822
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,7,0.5,0.4079517126083374
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,7,0.8,0.7382627129554749
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,7,0.9,0.8752244710922241
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,7,0.95,0.9459697008132935
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,7,0.5,0.47625207901000977
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,7,0.8,0.8172261714935303
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,7,0.9,0.9287747144699097
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,7,0.95,0.974831223487854
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,7,0.5,0.5242041945457458
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,7,0.8,0.8388153910636902
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,7,0.9,0.9337078332901001
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,7,0.95,0.9739569425582886
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,8,0.5,0.5958471298217773
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,8,0.8,0.8929464817047119
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,8,0.9,0.9637377858161926
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,8,0.95,0.9883606433868408
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,8,0.5,0.6313948631286621
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,8,0.8,0.9157683849334717
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,8,0.9,0.9745512008666992
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,8,0.95,0.9927077293395996
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,8,0.5,0.6692720055580139
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,8,0.8,0.9365183115005493
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,8,0.9,0.9831675887107849
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,8,0.95,0.9957418441772461
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,8,0.5,0.6080063581466675
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,8,0.8,0.8962616324424744
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,8,0.9,0.9632771015167236
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,8,0.95,0.9872162342071533
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,9,0.5,0.6276422739028931
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,9,0.8,0.9100589752197266
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,9,0.9,0.970539927482605
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,9,0.95,0.9905533790588379
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,9,0.5,0.6816917657852173
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,9,0.8,0.9424158334732056
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,9,0.9,0.9853121042251587
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,9,0.95,0.9963939785957336
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,9,0.5,0.6780470609664917
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,9,0.8,0.9402772188186646
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,9,0.9,0.9843769669532776
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,9,0.95,0.9960479736328125
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,9,0.5,0.6455972194671631
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,9,0.8,0.92148756980896
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,9,0.9,0.9760489463806152
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,9,0.95,0.9928586483001709
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,10,0.5,0.6292301416397095
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,10,0.8,0.912206768989563
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,10,0.9,0.9719905853271484
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,10,0.95,0.9913183450698853
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,10,0.5,0.6522018313407898
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,10,0.8,0.92705237865448
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,10,0.9,0.9791359901428223
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,10,0.95,0.9942697286605835
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,10,0.5,0.6995395421981812
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,10,0.8,0.9509356021881104
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,10,0.9,0.9884839057922363
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,10,0.95,0.9974003434181213
