compass_mean,compass_std,exact_mean,exact_std,family,index,mean_error_in_exact_std,n_observations,parameter,runtime_seconds,shared_synchronization_max_abs,std_ratio_to_exact,truth
1.3447502851486206,0.05291010066866875,1.3465288729494076,0.034745558749408934,original,0,0.05118892499655791,5,local,11.820048413937911,0.0,1.5227874517440796,1.3717528597604374
1.2202138900756836,0.052545614540576935,1.2229616264555234,0.03800127280359254,original,1,0.07230643020936033,5,local,11.820048413937911,0.0,1.3827329874038696,1.2166542142247603
-1.7136106491088867,0.05000842362642288,-1.7108184671140632,0.02802260038849134,original,2,0.099640360141962,5,local,11.820048413937911,0.0,1.7845747470855713,-1.6981153273636793
1.6511346101760864,0.05161852762103081,1.647634147603971,0.029101360840440307,original,3,0.12028518498870222,5,local,11.820048413937911,0.0,1.773749589920044,1.6688579094475795
0.9904090166091919,0.06537904590368271,0.9741109655822249,0.046878505073482346,original,4,0.34766575856930004,5,local,11.820048413937911,0.0,1.3946486711502075,0.9779809508884321
1.3445346355438232,0.050336550921201706,1.3465288729494076,0.034745558749408934,original,0,0.057395462250791354,10,local,22.058522626990452,0.0,1.4487190246582031,1.3717528597604374
1.2209417819976807,0.053646307438611984,1.2229616264555234,0.03800127280359254,original,1,0.05315202120418992,10,local,22.058522626990452,0.0,1.4116976261138916,1.2166542142247603
-1.7139666080474854,0.050419583916664124,-1.7108184671140632,0.02802260038849134,original,2,0.11234292641574802,10,local,22.058522626990452,0.0,1.799247145652771,-1.6981153273636793
1.6489510536193848,0.05649728700518608,1.647634147603971,0.029101360840440307,original,3,0.045252386052808104,10,local,22.058522626990452,0.0,1.941396713256836,1.6688579094475795
0.9907529354095459,0.06465191394090652,0.9741109655822249,0.046878505073482346,original,4,0.3550021443993283,10,local,22.058522626990452,0.0,1.379137635231018,0.9779809508884321
0.6703657507896423,0.07170865684747696,0.669048864372687,0.059970601221055776,original,5,0.0219588663468829,10,local,22.058522626990452,0.0,1.1957300901412964,0.6487081877924252
-1.7770146131515503,0.04945924133062363,-1.7756385747359373,0.027174586851290265,original,6,0.05063695809408862,10,local,22.058522626990452,0.0,1.8200550079345703,-1.752883613073935
0.9606924057006836,0.059738822281360626,0.955954030179358,0.046358015945735395,original,7,0.10221264703977279,10,local,22.058522626990452,0.0,1.2886406183242798,0.9680270489054204
-0.23309527337551117,0.0926714614033699,-0.2451127510464894,0.08106446806492319,original,8,0.14824593262431138,10,local,22.058522626990452,0.0,1.1431822776794434,-0.18423111267464876
-0.4806166887283325,0.08001843839883804,-0.4832013708020412,0.07150716241465886,original,9,0.03614577877836191,10,local,22.058522626990452,0.0,1.1190268993377686,-0.5433115726557105
