variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds,prior_std,likelihood_std
DPM + uncorrected,1,0,0.010314539074897766,1.0152032375335693,0.3891111030243337,0.3,0.5
DPM + Gaussian,1,0,0.02518985979259014,1.0070281028747559,0.4362611679825932,0.3,0.5
Langevin + Gaussian,1,0,0.006877950392663479,1.0223524570465088,0.6773188499500975,0.3,0.5
Langevin + uncorrected,1,0,0.05885809659957886,1.075405240058899,0.6081532099051401,0.3,0.5
Langevin + F-NPSE,1,0,0.011714935302734375,1.059172511100769,0.9545358238974586,0.3,0.5
DPM + uncorrected,1,1,0.040905095636844635,1.0150606632232666,0.38771484699100256,0.3,0.5
DPM + Gaussian,1,1,0.04008867219090462,1.0101583003997803,0.4411767109995708,0.3,0.5
Langevin + Gaussian,1,1,0.016022134572267532,1.0287443399429321,0.680839705048129,0.3,0.5
Langevin + uncorrected,1,1,0.004183862823992968,1.090644121170044,0.6024881718913093,0.3,0.5
Langevin + F-NPSE,1,1,0.017902709543704987,1.058610200881958,0.9595329290023074,0.3,0.5
DPM + uncorrected,1,2,0.03527986630797386,1.0226771831512451,0.38717378000728786,0.3,0.5
DPM + Gaussian,1,2,0.03827989473938942,1.003533959388733,0.43572467705234885,0.3,0.5
Langevin + Gaussian,1,2,0.022187329828739166,1.0225781202316284,0.6817284879507497,0.3,0.5
Langevin + uncorrected,1,2,0.021266309544444084,1.0731205940246582,0.6032322010723874,0.3,0.5
Langevin + F-NPSE,1,2,0.03394373506307602,1.025590181350708,0.9545266539789736,0.3,0.5
DPM + uncorrected,2,0,0.1312830150127411,1.0000014305114746,0.4201961630024016,0.3,0.5
DPM + Gaussian,2,0,0.035068124532699585,0.9975476264953613,0.463173855911009,0.3,0.5
Langevin + Gaussian,2,0,0.030017679557204247,1.025181531906128,0.7127533020684496,0.3,0.5
Langevin + uncorrected,2,0,0.04080234095454216,1.0719406604766846,0.6150304119801149,0.3,0.5
Langevin + F-NPSE,2,0,0.0399245023727417,1.0715818405151367,0.9649217249825597,0.3,0.5
DPM + uncorrected,2,1,0.06001666933298111,1.012145757675171,0.39302581700030714,0.3,0.5
DPM + Gaussian,2,1,0.021740470081567764,1.005387783050537,0.46312846906948835,0.3,0.5
Langevin + Gaussian,2,1,0.014623699709773064,1.022782802581787,0.7153343049576506,0.3,0.5
Langevin + uncorrected,2,1,0.036217931658029556,1.0650513172149658,0.6085706980666146,0.3,0.5
Langevin + F-NPSE,2,1,0.04531335458159447,1.0929882526397705,0.9661375120049343,0.3,0.5
DPM + uncorrected,2,2,0.04664715752005577,1.007997989654541,0.3915655929595232,0.3,0.5
DPM + Gaussian,2,2,0.020121203735470772,1.0089385509490967,0.4632443949813023,0.3,0.5
Langevin + Gaussian,2,2,0.04892166331410408,1.013465404510498,0.7157839640276507,0.3,0.5
Langevin + uncorrected,2,2,0.006095940712839365,1.063689112663269,0.6132074170745909,0.3,0.5
Langevin + F-NPSE,2,2,0.016671840101480484,1.0880138874053955,0.9615048619452864,0.3,0.5
DPM + uncorrected,5,0,0.17123258113861084,0.9579869508743286,0.39653339399956167,0.3,0.5
DPM + Gaussian,5,0,0.01604519970715046,0.9971444010734558,0.4626867100596428,0.3,0.5
Langevin + Gaussian,5,0,0.036091435700654984,1.0021778345108032,0.7187937829876319,0.3,0.5
Langevin + uncorrected,5,0,0.08074192702770233,1.0680756568908691,0.618725590989925,0.3,0.5
Langevin + F-NPSE,5,0,0.11113423109054565,1.1577250957489014,0.9720388870919123,0.3,0.5
DPM + uncorrected,5,1,0.1219148263335228,0.9594546556472778,0.39903614099603146,0.3,0.5
DPM + Gaussian,5,1,0.02473720721900463,0.9983914494514465,0.4716129209846258,0.3,0.5
Langevin + Gaussian,5,1,0.03540721908211708,1.0261204242706299,0.7166871529771015,0.3,0.5
Langevin + uncorrected,5,1,0.017887046560645103,1.0552098751068115,0.6133631549309939,0.3,0.5
Langevin + F-NPSE,5,1,0.07284224033355713,1.1387896537780762,0.9673832319676876,0.3,0.5
DPM + uncorrected,5,2,0.09148572385311127,0.9516744613647461,0.38984497799538076,0.3,0.5
DPM + Gaussian,5,2,0.015839099884033203,1.0170655250549316,0.4643118699314073,0.3,0.5
Langevin + Gaussian,5,2,0.03142965957522392,1.0165691375732422,0.723111093044281,0.3,0.5
Langevin + uncorrected,5,2,0.007256834302097559,1.074089527130127,0.6108274370199069,0.3,0.5
Langevin + F-NPSE,5,2,0.025184402242302895,1.1529169082641602,0.9620083440095186,0.3,0.5
DPM + uncorrected,10,0,0.5812355279922485,0.9551567435264587,0.39672188996337354,0.3,0.5
DPM + Gaussian,10,0,0.018019869923591614,1.0050783157348633,0.4619846560526639,0.3,0.5
Langevin + Gaussian,10,0,0.005862931255251169,1.0154495239257812,0.7117271620081738,0.3,0.5
Langevin + uncorrected,10,0,0.189874529838562,1.045684814453125,0.6170969340018928,0.3,0.5
Langevin + F-NPSE,10,0,0.5296565890312195,1.2184547185897827,0.9645906669320539,0.3,0.5
DPM + uncorrected,10,1,0.2892867624759674,0.955180823802948,0.3912823919672519,0.3,0.5
DPM + Gaussian,10,1,0.011942541226744652,1.016685962677002,0.47063233295921236,0.3,0.5
Langevin + Gaussian,10,1,0.04974149167537689,1.0097041130065918,0.7138576619327068,0.3,0.5
Langevin + uncorrected,10,1,0.1367289125919342,1.0665007829666138,0.6129098150413483,0.3,0.5
Langevin + F-NPSE,10,1,0.3398030400276184,1.2068763971328735,0.967439042055048,0.3,0.5
DPM + uncorrected,10,2,0.21073748171329498,0.9386707544326782,0.38766575197223574,0.3,0.5
DPM + Gaussian,10,2,0.024170130491256714,1.0213481187820435,0.46198627597186714,0.3,0.5
Langevin + Gaussian,10,2,0.04845311492681503,1.0171102285385132,0.7164969830773771,0.3,0.5
Langevin + uncorrected,10,2,0.09420794248580933,1.0543133020401,0.6081653030123562,0.3,0.5
Langevin + F-NPSE,10,2,0.23731566965579987,1.2046563625335693,0.959212476038374,0.3,0.5
DPM + uncorrected,25,0,0.11255301535129547,0.9641696810722351,0.3976039420813322,0.3,0.5
DPM + Gaussian,25,0,0.018843501806259155,1.0039746761322021,0.4618840760085732,0.3,0.5
Langevin + Gaussian,25,0,0.02289985865354538,1.0296313762664795,0.710731886094436,0.3,0.5
Langevin + uncorrected,25,0,0.06066558510065079,1.0255215167999268,0.6094679110683501,0.3,0.5
Langevin + F-NPSE,25,0,0.40771713852882385,1.285414695739746,0.9630651329644024,0.3,0.5
DPM + uncorrected,25,1,0.1749049872159958,0.9751121401786804,0.3895215151133016,0.3,0.5
DPM + Gaussian,25,1,0.02678961679339409,1.0148646831512451,0.4624475600430742,0.3,0.5
Langevin + Gaussian,25,1,0.03801650553941727,1.0347099304199219,0.7188235729699954,0.3,0.5
Langevin + uncorrected,25,1,0.13463842868804932,1.041297435760498,0.6078222340438515,0.3,0.5
Langevin + F-NPSE,25,1,0.5851699113845825,1.260436773300171,0.9655881350627169,0.3,0.5
DPM + uncorrected,25,2,0.03524177148938179,0.9802242517471313,0.39002964505925775,0.3,0.5
DPM + Gaussian,25,2,0.035363052040338516,1.0053921937942505,0.46226965892128646,0.3,0.5
Langevin + Gaussian,25,2,0.037659212946891785,1.0397350788116455,0.7174425499979407,0.3,0.5
Langevin + uncorrected,25,2,0.053841572254896164,1.0327274799346924,0.608844127971679,0.3,0.5
Langevin + F-NPSE,25,2,0.15932230651378632,1.2632023096084595,0.9654487639199942,0.3,0.5
DPM + uncorrected,50,0,0.16095958650112152,1.0134936571121216,0.39118193893227726,0.3,0.5
DPM + Gaussian,50,0,0.02423594519495964,1.0034037828445435,0.46118305099662393,0.3,0.5
Langevin + Gaussian,50,0,0.03916290029883385,1.0222067832946777,0.7201873740414158,0.3,0.5
Langevin + uncorrected,50,0,0.12706421315670013,1.0267311334609985,0.6099293340230361,0.3,0.5
Langevin + F-NPSE,50,0,1.2167531251907349,1.2985823154449463,0.9662334430031478,0.3,0.5
DPM + uncorrected,50,1,0.1278807371854782,0.9977806806564331,0.39173604897223413,0.3,0.5
DPM + Gaussian,50,1,0.03961864113807678,1.005795955657959,0.4622871959581971,0.3,0.5
Langevin + Gaussian,50,1,0.010685330256819725,1.0195550918579102,0.7181347720324993,0.3,0.5
Langevin + uncorrected,50,1,0.05774974450469017,1.0276992321014404,0.6081959579605609,0.3,0.5
Langevin + F-NPSE,50,1,0.7636662721633911,1.2843551635742188,0.9599541819188744,0.3,0.5
DPM + uncorrected,50,2,0.12594054639339447,0.9941974878311157,0.3968639230588451,0.3,0.5
DPM + Gaussian,50,2,0.027587082237005234,1.0076781511306763,0.46229854598641396,0.3,0.5
Langevin + Gaussian,50,2,0.018300021067261696,1.0471396446228027,0.7116710830014199,0.3,0.5
Langevin + uncorrected,50,2,0.13558252155780792,1.0181238651275635,0.6153172670165077,0.3,0.5
Langevin + F-NPSE,50,2,1.1194754838943481,1.29056715965271,0.9614348380127922,0.3,0.5
DPM + uncorrected,100,0,0.14717741310596466,1.0255000591278076,0.39168338396120816,0.3,0.5
DPM + Gaussian,100,0,0.014783908613026142,1.0202707052230835,0.4746158440830186,0.3,0.5
Langevin + Gaussian,100,0,0.03874431923031807,1.0315806865692139,0.7210908440174535,0.3,0.5
Langevin + uncorrected,100,0,0.17165035009384155,1.0365341901779175,0.6182956129778177,0.3,0.5
Langevin + F-NPSE,100,0,2.0292515754699707,1.3257092237472534,0.9910247389925644,0.3,0.5
DPM + uncorrected,100,1,0.13725854456424713,1.0116212368011475,0.3957344508962706,0.3,0.5
DPM + Gaussian,100,1,0.04260515421628952,1.0008361339569092,0.4684500800212845,0.3,0.5
Langevin + Gaussian,100,1,0.033777978271245956,1.0325980186462402,0.7301971410633996,0.3,0.5
Langevin + uncorrected,100,1,0.12004636973142624,1.023241400718689,0.6188302380032837,0.3,0.5
Langevin + F-NPSE,100,1,1.4701402187347412,1.2960255146026611,0.9854202440474182,0.3,0.5
DPM + uncorrected,100,2,0.051688194274902344,1.0191346406936646,0.4036411370616406,0.3,0.5
DPM + Gaussian,100,2,0.00954368058592081,1.0133724212646484,0.4693040819838643,0.3,0.5
Langevin + Gaussian,100,2,0.012105893343687057,1.0214300155639648,0.7257945080054924,0.3,0.5
Langevin + uncorrected,100,2,0.049794454127550125,1.0164828300476074,0.6229324550367892,0.3,0.5
Langevin + F-NPSE,100,2,0.29789966344833374,1.3046382665634155,0.9846746700350195,0.3,0.5
DPM + uncorrected,200,0,0.2144981473684311,1.0231719017028809,0.44954955705907196,0.3,0.5
DPM + Gaussian,200,0,0.03348306193947792,0.9951745867729187,0.5265485109994188,0.3,0.5
Langevin + Gaussian,200,0,0.010354528203606606,1.030858039855957,0.8294117350596935,0.3,0.5
