method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
DPM-2 + KDE,VESDE,uniform_t,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.39765930772857433,0.03359426408070576,0.018622103706002237
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,1,-2.24755,-2.1222744,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,5,-2.7104778,-2.419225,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Euler PF-ODE + KDE,VESDE,uniform_t,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.5639880563581829,0.13273448454890285,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,1,-2.24755,-2.1222744,0.4312535718092801,0.5319431901426749,0.10068961833339479,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.5189448612175636,0.08769128940828347,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.5564533953123266,0.12519982350304654,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.5506591371996659,0.11940556539038577,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,5,-2.7104778,-2.419225,0.4312535718092801,0.6141724553299643,0.18291888352068425,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.49813347890125675,0.06687990709197666,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.5194809757924844,0.08822740398320433,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.5144199056867573,0.08316633387747724,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.599925853160276,0.16867228135099593,0.0069089645054191354
DPM-2 + KDE,VESDE,uniform_t,100,0,-2.0590172,-2.1671157,0.4312535718092801,0.43557022222791747,0.00431665041863738,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,1,-2.24755,-2.1222744,0.4312535718092801,0.39064480361524706,0.04060876819403303,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,2,-2.2733066,-2.4073713,0.4312535718092801,0.38430768714523506,0.046945884664045034,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,3,-2.4841154,-2.3091683,0.4312535718092801,0.45169710368050475,0.020443531871224663,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,4,-2.2861452,-2.2408478,0.4312535718092801,0.421458072042378,0.009795499766902083,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,5,-2.7104778,-2.419225,0.4312535718092801,0.3889098877819204,0.04234368402735966,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,6,-2.1987514,-2.1505857,0.4312535718092801,0.4209681197317468,0.010285452077533286,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,7,-1.9966652,-2.1117482,0.4312535718092801,0.39817519477729585,0.03307837703198424,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,8,-2.7305539,-2.3484304,0.4312535718092801,0.3965438060837581,0.03470976572552198,0.0341833385056816
DPM-2 + KDE,VESDE,uniform_t,100,9,-2.0067704,-2.2441282,0.4312535718092801,0.4337145328869489,0.0024609610776687996,0.0341833385056816
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,0,-2.0590172,-2.1671157,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,1,-2.24755,-2.1222744,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,2,-2.2733066,-2.4073713,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,3,-2.4841154,-2.3091683,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,4,-2.2861452,-2.2408478,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,5,-2.7104778,-2.419225,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,6,-2.1987514,-2.1505857,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,7,-1.9966652,-2.1117482,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,8,-2.7305539,-2.3484304,0.4312535718092801,0.42829440461058166,0.0029591671986984314,0.005880982801318169
