mean_error_sigma,observation,sample_mean,sample_std,std_ratio,x
0.31762945652008057,0,-1.3104119300842285,0.7128090262413025,1.0080641508102417,-3.0700197219848633
0.24039104580879211,1,-0.983167827129364,0.7352594137191772,1.0398138761520386,-2.306299924850464
0.06837786734104156,2,-0.5012825727462769,0.7456105947494507,1.054452657699585,-1.0992660522460938
0.33771562576293945,3,-1.3500797748565674,0.7243813276290894,1.0244299173355103,-3.1777615547180176
0.2599165737628937,4,-1.2475918531417847,0.7158427238464355,1.0123544931411743,-2.8627612590789795
0.167794868350029,5,-0.7740077376365662,0.7468422651290894,1.0561944246292114,-1.7853132486343384
0.19635365903377533,6,-0.8805802464485168,0.7240024209022522,1.0238940715789795,-2.038846492767334
0.1727447658777237,7,-0.852030336856842,0.7359654307365417,1.0408122539520264,-1.9483586549758911
0.34005206823349,8,-1.359061360359192,0.7154099941253662,1.0117425918579102,-3.199028968811035
0.026866592466831207,9,-0.3365933895111084,0.7378659844398499,1.0435000658035278,-0.7111818790435791
