true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
Logistic Prey,1,Logistic Prey,True,99.96285438537598,0.0,0.03714346676133573,0.0,204.29200744628906,-7.281957149505615,196.3942413330078,-23.633460998535156
Logistic Prey,2,Logistic Prey,True,100.0,0.0,8.807771872954007e-09,0.0,220.2265625,13.049980163574219,197.07376098632812,11.41165542602539
Logistic Prey,3,Logistic Prey,True,99.9987244606018,0.0,0.0012699812941718847,0.0,221.90142822265625,0.6466445922851562,210.6275177001953,2.308633804321289
Logistic Prey,4,Logistic Prey,True,100.0,0.0,0.0,0.0,198.69778442382812,-67.15409851074219,46.85930633544922,-5.990448951721191
Logistic Prey,5,Rosenzweig-MacArthur,False,0.32383541110903025,0.0,99.67616200447083,0.0,211.712646484375,-70.11409759521484,217.4420928955078,-62.113826751708984
Logistic Prey,6,Rosenzweig-MacArthur,False,0.0015611460185027681,0.0,99.99843835830688,0.0,210.97323608398438,8.522787094116211,222.0407257080078,-15.964570045471191
Logistic Prey,7,Logistic Prey,True,100.0,0.0,8.826284465124367e-21,0.0,202.7595672607422,-5.394882678985596,151.97784423828125,10.241698265075684
Logistic Prey,8,Logistic Prey,True,100.0,0.0,5.1001147749474285e-09,0.0,213.0897979736328,-106.92503356933594,189.390625,-61.15357208251953
Logistic Prey,9,Logistic Prey,True,100.0,0.0,1.1950649490697603e-19,0.0,230.42434692382812,-1.779510736465454,182.24826049804688,23.364124298095703
Logistic Prey,10,Logistic Prey,True,54.8117995262146,0.0,45.18820345401764,0.0,210.6552276611328,-45.6544189453125,210.462158203125,-78.17798614501953
Logistic Prey,11,Logistic Prey,True,100.0,0.0,0.0,0.0,186.73326110839844,-29.884174346923828,77.49905395507812,-1.5800819396972656
Logistic Prey,12,Rosenzweig-MacArthur,False,0.05921173724345863,0.0,99.94078874588013,0.0,209.805419921875,-7.488902568817139,217.23663330078125,-41.06795883178711
Logistic Prey,13,Logistic Prey,True,100.0,0.0,8.205863766264088e-09,0.0,215.8739471435547,-26.199193954467773,192.65036010742188,-49.34669494628906
Logistic Prey,14,Logistic Prey,True,100.0,0.0,3.724381354254861e-18,0.0,193.7227783203125,-29.52104949951172,148.98597717285156,-45.55364990234375
Logistic Prey,15,Rosenzweig-MacArthur,False,0.00013012286217417568,0.0,99.9998688697815,0.0,208.733154296875,-73.06757354736328,222.2853546142578,-169.54576110839844
Logistic Prey,16,Logistic Prey,True,100.0,0.0,0.0,0.0,196.4741668701172,-82.37300109863281,-20.262649536132812,-34.401302337646484
Logistic Prey,17,Logistic Prey,True,100.0,0.0,2.117310233390457e-10,0.0,205.19842529296875,2.102039337158203,178.3175506591797,16.705102920532227
Logistic Prey,18,Logistic Prey,True,100.0,0.0,0.0,0.0,211.93507385253906,-63.1850700378418,76.46312713623047,-7.746468544006348
Logistic Prey,19,Rosenzweig-MacArthur,False,5.592847855950822e-05,0.0,99.99994039535522,0.0,206.63584899902344,-34.69062423706055,221.03245544433594,-77.18926239013672
Logistic Prey,20,Logistic Prey,True,100.0,0.0,2.7945519969330106e-28,0.0,200.59805297851562,-80.80938720703125,132.5481719970703,-30.944164276123047
Logistic Prey,21,Logistic Prey,True,100.0,0.0,8.735867584874768e-08,0.0,195.79757690429688,-47.89715576171875,174.9391632080078,-74.1214828491211
Logistic Prey,22,Logistic Prey,True,99.99750852584839,0.0,0.002495594890206121,0.0,192.56385803222656,-80.92357635498047,181.96548461914062,-72.19570922851562
Logistic Prey,23,Logistic Prey,True,99.99958276748657,0.0,0.0004208231985103339,0.0,199.5426788330078,-8.446657180786133,187.16421508789062,-40.98904037475586
Logistic Prey,24,Logistic Prey,True,100.0,0.0,2.7531534343983033e-09,0.0,202.83958435058594,-140.82334899902344,178.52389526367188,-94.50115966796875
Logistic Prey,25,Logistic Prey,True,100.0,0.0,5.7634694262887635e-16,0.0,208.86923217773438,-34.503910064697266,169.1742401123047,-7.494922637939453
Logistic Prey,26,Logistic Prey,True,100.0,0.0,1.0879059157538172e-29,0.0,205.32135009765625,-14.22899055480957,134.0254669189453,-0.7190265655517578
Logistic Prey,27,Logistic Prey,True,98.561030626297,0.0,1.438974030315876,0.0,219.38597106933594,-47.5076789855957,215.1592254638672,-70.20005798339844
Logistic Prey,28,Logistic Prey,True,100.0,0.0,4.3230868919569667e-29,0.0,211.65684509277344,-36.31561279296875,141.7406768798828,9.131305694580078
Logistic Prey,29,Logistic Prey,True,100.0,0.0,6.54246323783525e-08,0.0,215.3546600341797,-43.23766326904297,194.20712280273438,-31.127546310424805
Logistic Prey,30,Logistic Prey,True,100.0,0.0,4.979383010794582e-18,0.0,219.08641052246094,17.548446655273438,174.6400146484375,-3.5331764221191406
Logistic Prey,31,Logistic Prey,True,100.0,0.0,8.117674928250201e-13,0.0,212.3888397216797,0.8349170684814453,179.94410705566406,-20.31973648071289
Logistic Prey,32,Logistic Prey,True,99.99980926513672,0.0,0.0001909347702166997,0.0,197.43222045898438,-8.747183799743652,184.2634735107422,-28.35915756225586
Logistic Prey,33,Logistic Prey,True,100.0,0.0,5.287764809212282e-32,0.0,199.658935546875,-26.354978561401367,123.03643798828125,1.4809911251068115
Logistic Prey,34,Rosenzweig-MacArthur,False,0.04067458212375641,0.0,99.95933175086975,0.0,206.20957946777344,-109.9146499633789,214.01649475097656,-78.67079162597656
Logistic Prey,35,Logistic Prey,True,100.0,0.0,9.918465968261218e-15,0.0,181.0644073486328,-7.052827835083008,144.21485900878906,-6.966054916381836
Logistic Prey,36,Rosenzweig-MacArthur,False,0.0039462451240979135,0.0,99.99605417251587,0.0,206.88255310058594,-76.76716613769531,217.02267456054688,-113.6417465209961
Logistic Prey,37,Logistic Prey,True,100.0,0.0,3.453298184777888e-29,0.0,196.12356567382812,-33.48758316040039,125.98275756835938,-52.86116027832031
Logistic Prey,38,Rosenzweig-MacArthur,False,0.006437661068048328,0.0,99.99356269836426,0.0,211.10443115234375,-2.35087251663208,220.755126953125,-24.52882194519043
Logistic Prey,39,Logistic Prey,True,100.0,0.0,2.197203550803773e-21,0.0,199.15170288085938,-88.63371276855469,146.97943115234375,-33.048004150390625
Logistic Prey,40,Logistic Prey,True,100.0,0.0,2.4158385524959846e-40,0.0,184.6070556640625,-5.877292156219482,88.78043365478516,11.049642562866211
Logistic Prey,41,Rosenzweig-MacArthur,False,27.245384454727173,0.0,72.75461554527283,0.0,224.53555297851562,-18.156593322753906,225.51776123046875,-34.379005432128906
Logistic Prey,42,Logistic Prey,True,100.0,0.0,2.023037940226655e-15,0.0,226.15170288085938,-21.846324920654297,187.7123565673828,-30.892364501953125
Logistic Prey,43,Rosenzweig-MacArthur,False,0.608112383633852,0.0,99.39188957214355,0.0,211.73165893554688,-11.896787643432617,216.828125,-49.342708587646484
Logistic Prey,44,Rosenzweig-MacArthur,False,3.567015379667282,0.0,96.43298387527466,0.0,211.51339721679688,-30.26854705810547,214.81051635742188,-29.93592071533203
Logistic Prey,45,Logistic Prey,True,99.94103908538818,0.0,0.05896753864362836,0.0,210.280029296875,-37.43596649169922,202.8446807861328,-66.03336334228516
Logistic Prey,46,Rosenzweig-MacArthur,False,0.0010334356375096831,0.0,99.99896287918091,0.0,202.15916442871094,-15.895755767822266,213.63919067382812,-129.8339385986328
Logistic Prey,47,Rosenzweig-MacArthur,False,5.6648813417936594e-08,0.0,100.0,0.0,200.79351806640625,-69.49349975585938,222.0850830078125,-168.01210021972656
Logistic Prey,48,Logistic Prey,True,100.0,0.0,1.0632652972114285e-27,0.0,177.5328826904297,-19.876953125,110.81925964355469,-17.306121826171875
Logistic Prey,49,Logistic Prey,True,99.99997615814209,0.0,2.2899834561940224e-05,0.0,222.84136962890625,-23.630390167236328,207.55181884765625,-30.632007598876953
Logistic Prey,50,Logistic Prey,True,81.46387338638306,0.0,18.536122143268585,0.0,209.4053192138672,-13.843923568725586,207.9248809814453,-30.12605857849121
Satiated Predator,1,Satiated Predator,True,0.0,100.0,0.0,0.0,-1452.98583984375,-411.02276611328125,-3294.1376953125,-1576.16162109375
Satiated Predator,2,Satiated Predator,True,0.0,100.0,0.0,0.0,-1560.057373046875,-711.1287841796875,-3132.9970703125,-2224.351318359375
Satiated Predator,3,Satiated Predator,True,0.0,100.0,0.0,0.0,-940.9539794921875,-40.13325500488281,-1866.71337890625,-1201.72021484375
