index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.7515858,0.20958483,0.038829427
1,0,0.6970098,0.28365976,0.019330388
2,0,0.9124743,4.6171144e-06,0.087521076
3,0,0.9716627,0.013438145,0.014899189
4,0,0.9675203,0.0006985971,0.031781137
5,0,0.9759376,0.011171341,0.012891016
6,0,0.77717537,0.17955385,0.0432707
7,0,0.976919,0.0033341807,0.019746825
8,0,0.6340234,0.3157844,0.05019215
9,0,0.9232979,5.859845e-05,0.076643534
10,0,0.17580669,0.7956954,0.0284978
11,0,0.93359244,3.3389554e-07,0.06640722
12,0,0.95991105,0.00064975885,0.039439194
13,0,0.4791184,0.45861685,0.06226476
14,0,0.91481936,1.2399933e-05,0.085168265
15,0,0.622113,0.33148298,0.046404045
16,0,0.96394956,0.0026802777,0.033370122
17,0,0.6974953,0.21759593,0.084908724
18,0,0.95078945,0.011785257,0.037425224
19,0,0.5618778,0.39165097,0.046471328
20,0,0.9710159,0.0029842649,0.02599986
21,0,0.91798115,0.051260483,0.030758327
22,0,0.976429,0.0016896249,0.021881288
23,0,0.8069443,0.11320222,0.07985356
24,0,0.6755433,0.27340138,0.051055282
25,0,0.5723794,0.33875576,0.088864826
26,0,0.9050908,0.0008675014,0.09404174
27,0,0.92763335,2.104584e-06,0.07236452
28,0,0.93245184,2.846373e-07,0.06754781
29,0,0.7069734,0.032630514,0.26039618
30,0,0.94716763,0.019656919,0.03317543
31,0,0.9437771,2.542201e-05,0.056197472
32,0,0.36842862,0.5514226,0.0801488
33,0,0.0016919142,0.8197382,0.1785699
34,0,0.9756765,0.0013977239,0.022925807
35,0,0.9490576,0.00013673518,0.05080566
36,0,0.87127364,0.12018571,0.008540608
37,0,0.9727414,0.0045244526,0.022734208
38,0,0.9500189,4.1267307e-05,0.0499399
39,0,0.9226487,0.00040779653,0.07694347
40,0,0.45531926,0.4319959,0.112684906
41,0,0.6138742,0.34811708,0.03800867
42,0,0.6481727,0.29074815,0.061079115
43,0,0.7926468,0.15998557,0.047367565
44,0,0.8650048,0.088121496,0.046873692
45,0,0.95002407,0.00024857832,0.04972731
46,0,0.9272769,0.060961273,0.011761831
47,0,0.6925967,0.2570943,0.05030914
48,0,0.9472992,2.3796807e-05,0.052677013
49,0,0.92909765,7.224917e-07,0.0709016
50,0,0.49066183,0.46987286,0.039465267
51,0,0.8396287,0.15171432,0.0086569
52,0,0.7781988,0.19902432,0.02277694
53,0,0.77319103,0.21538335,0.011425584
