index,true_label,probability_Hypothesis 1,probability_Hypothesis 2,probability_Hypothesis 3
0,0,0.25303662,0.13083023,0.6161331
1,0,0.48487952,0.10522218,0.4098982
2,0,0.24669439,0.26691326,0.48639238
3,0,0.9093358,0.090664275,0.0
4,0,0.34955844,0.04206541,0.6083761
5,0,0.40279055,0.1570765,0.44013298
6,0,0.9986827,0.001317257,0.0
7,0,0.62755543,0.37244457,0.0
8,0,0.5640589,0.4359412,0.0
9,0,0.7200332,0.00047388682,0.27949288
10,0,0.554176,0.44582406,0.0
11,0,0.2446307,0.37332046,0.38204888
12,0,0.35877323,0.10653335,0.5346934
13,0,0.38587224,0.09389948,0.52022827
14,0,0.2998913,0.34891927,0.35118937
15,0,0.17329866,0.82670134,0.0
16,0,0.6733311,0.00079946354,0.3258694
17,0,0.0111574605,0.36983868,0.6190039
18,0,0.5090587,0.08090562,0.4100357
19,0,0.91249454,8.276553e-19,0.08750541
20,0,0.5747586,0.008752825,0.41648856
21,0,0.31909138,0.0027534561,0.6781552
22,0,0.08822553,0.46448332,0.44729117
23,0,0.6256486,0.016277293,0.358074
24,0,0.72338575,4.227442e-07,0.2766139
25,0,0.5041013,0.33914986,0.15674886
26,0,0.32686967,0.2666683,0.40646198
27,0,0.73700404,0.262996,0.0
28,0,0.55416477,0.09602638,0.34980878
29,0,0.36272475,0.11841164,0.5188637
30,0,0.70430434,0.29569563,0.0
31,0,0.59533715,0.0056856787,0.39897713
32,0,0.6120638,0.18285061,0.20508552
33,0,0.74620265,1.2172706e-06,0.25379613
34,0,0.6605894,0.0014847895,0.33792576
35,0,0.79207295,0.20792705,0.0
36,0,0.33146995,0.17722404,0.49130595
37,0,0.76564616,1.271183e-05,0.23434111
38,0,0.37230343,0.26855266,0.35914394
39,0,0.39479288,0.28213578,0.32307136
40,0,0.3155832,0.00044737253,0.68396944
41,0,0.6060872,0.3939128,0.0
42,0,0.29268342,0.28975868,0.4175578
43,0,0.7946078,1.6295493e-19,0.20539223
44,0,0.47417715,0.108956315,0.4168666
45,0,0.6166523,0.0060364245,0.3773113
46,0,0.25162214,0.010092664,0.73828524
47,0,0.60032153,0.39967847,0.0
48,0,0.9999677,3.2349843e-05,0.0
49,0,0.33417028,0.08147363,0.58435607
50,0,0.5784631,0.42153695,0.0
51,0,0.9992306,0.0007693527,0.0
52,0,0.6445432,0.3554568,0.0
53,0,0.44839957,0.25444844,0.297152
54,0,0.5931958,0.4068042,0.0
55,0,0.25883228,0.7411678,0.0
56,0,0.9999548,4.5222052e-05,0.0
57,0,0.57672846,0.24451156,0.17875998
58,0,0.34153444,0.20653644,0.45192918
59,0,0.3860359,0.17923632,0.4347278
60,0,0.5371079,0.46289212,0.0
61,0,0.5648983,0.4351017,0.0
62,0,0.9988716,0.0011283965,0.0
63,0,0.4659994,0.5340007,0.0
64,0,0.2622095,0.3652475,0.372543
65,0,0.61005753,0.1943445,0.195598
66,0,0.9999666,3.3399436e-05,0.0
67,0,0.56133455,0.43866542,0.0
68,0,0.21526214,0.3275164,0.4572214
69,0,0.2671344,0.16740568,0.5654599
70,0,0.71256256,0.00063843146,0.28679898
71,0,0.66024,0.33976,0.0
72,0,0.7594994,0.24050066,0.0
73,0,0.51669186,4.454765e-05,0.48326355
74,0,0.9826256,0.017374411,0.0
75,0,0.65219146,0.055968493,0.29184002
76,0,0.5628305,0.43716955,0.0
77,0,0.7210697,0.2789303,0.0
78,0,0.5665799,0.43342015,0.0
79,0,0.35198936,0.10870994,0.53930074
80,0,0.7562983,3.2514317e-06,0.24369852
81,0,0.7646404,3.6173584e-05,0.2353234
82,0,0.53236604,0.06801793,0.39961606
83,0,0.640422,0.0019993156,0.35757872
84,0,0.5294099,0.0839553,0.38663477
85,0,0.9999925,7.491314e-06,0.0
86,0,0.5879427,0.009645896,0.40241134
87,0,0.39550692,0.6044931,0.0
88,0,0.6122087,2.5861932e-10,0.3877913
89,0,0.32577,0.22099721,0.45323288
90,0,0.7323526,0.26764736,0.0
91,0,0.61965317,0.0055826437,0.3747642
92,0,0.32526615,0.21439117,0.46034262
93,0,0.64777833,0.002556381,0.34966522
94,0,0.84064096,0.15935904,0.0
95,0,0.30076995,0.2259035,0.47332647
96,0,0.44123873,0.05781051,0.5009507
97,0,0.98910064,0.010899315,0.0
98,0,0.45251298,0.20643535,0.34105164
99,0,0.5942903,0.20288223,0.20282747
100,1,1.4885508e-05,0.9999851,0.0
101,1,0.004331026,0.48524904,0.5104199
102,1,0.00090812705,0.99909186,0.0
103,1,0.5509141,0.4490859,0.0
104,1,8.669191e-21,1.0,0.0
105,1,0.06830524,0.5061899,0.42550486
106,1,0.00028483817,0.48119056,0.51852465
107,1,0.3645044,0.08230794,0.5531876
108,1,0.13446438,0.86553556,0.0
109,1,0.06369539,0.50479287,0.43151164
110,1,0.04679929,0.5057607,0.4474399
111,1,0.02943042,0.9705696,0.0
112,1,0.08227721,0.36253747,0.5551853
113,1,8.547967e-10,1.0,0.0
114,1,0.04731561,0.3370409,0.6156435
115,1,0.00020371677,0.99979633,0.0
116,1,0.0014790901,0.5470884,0.45143253
117,1,0.062073637,0.40590203,0.5320243
118,1,1.8113487e-05,0.9999819,0.0
119,1,5.497459e-35,1.0,0.0
120,1,0.37249318,0.62750685,0.0
121,1,0.0010921983,0.9989078,0.0
122,1,0.0033192378,0.9966807,0.0
123,1,0.30117264,0.6988274,0.0
124,1,0.01547927,0.98452073,0.0
125,1,0.022794813,0.5232809,0.45392427
126,1,1.13500775e-07,0.9999999,0.0
127,1,0.5663137,0.43368632,0.0
128,1,0.025910042,0.9740899,0.0
129,1,3.0539354e-06,0.99967015,0.00032674675
130,1,0.0022815329,0.99771845,0.0
131,1,0.17836691,0.27179608,0.549837
132,1,0.0,1.0,0.0
133,1,0.20034978,0.4136007,0.3860495
134,1,0.1901913,0.8098087,0.0
135,1,0.14323615,0.85676384,0.0
136,1,0.3536381,0.64636195,0.0
137,1,0.04636456,0.9536354,0.0
138,1,0.00012819853,0.5278642,0.47200757
139,1,0.3881747,0.2612477,0.35057762
140,1,0.00016939579,0.9974928,0.0023377768
141,1,0.000436944,0.4580154,0.5415476
142,1,0.0,1.0,0.0
143,1,0.34486866,0.65513134,0.0
144,1,0.503565,0.496435,0.0
