stage,epoch,split,total_loss,score_loss,divergence_loss
stage1_score,1,train,15.872045250621904,15.872045250621904,0.0
stage1_score,2,train,11.345792335012685,11.345792335012685,0.0
stage1_score,3,train,10.952687603006583,10.952687603006583,0.0
stage1_score,4,train,10.905754383506679,10.905754383506679,0.0
stage1_score,5,train,10.792298240125026,10.792298240125026,0.0
stage1_score,6,train,10.644643627469192,10.644643627469192,0.0
stage1_score,7,train,10.561237966922848,10.561237966922848,0.0
stage1_score,8,train,10.65616325417443,10.65616325417443,0.0
stage1_score,9,train,10.568894552879627,10.568894552879627,0.0
stage1_score,10,train,10.531267007354579,10.531267007354579,0.0
stage1_score,11,train,10.661450997764803,10.661450997764803,0.0
stage1_score,12,train,10.509026311547554,10.509026311547554,0.0
stage1_score,13,train,10.63903100313738,10.63903100313738,0.0
stage1_score,14,train,10.48490157944467,10.48490157944467,0.0
stage1_score,15,train,10.579387941384864,10.579387941384864,0.0
stage1_score,16,train,10.481408583843494,10.481408583843494,0.0
stage1_score,17,train,10.456941037287798,10.456941037287798,0.0
stage1_score,18,train,10.478223857977202,10.478223857977202,0.0
stage1_score,19,train,10.506624446927434,10.506624446927434,0.0
stage1_score,20,train,10.702659927670608,10.702659927670608,0.0
stage1_score,21,train,10.58022676111792,10.58022676111792,0.0
stage1_score,22,train,10.499351493659837,10.499351493659837,0.0
stage1_score,23,train,10.454011807600251,10.454011807600251,0.0
stage1_score,24,train,10.541912711794724,10.541912711794724,0.0
stage1_score,25,train,10.361917466946574,10.361917466946574,0.0
stage1_score,26,train,10.365628832746344,10.365628832746344,0.0
stage1_score,27,train,10.537531554424548,10.537531554424548,0.0
stage1_score,28,train,10.55531877654288,10.55531877654288,0.0
stage1_score,29,train,10.514701783260724,10.514701783260724,0.0
stage1_score,30,train,10.402802444906797,10.402802444906797,0.0
stage1_score,31,train,10.429380302965795,10.429380302965795,0.0
stage1_score,32,train,10.497248423251959,10.497248423251959,0.0
stage1_score,33,train,10.487482826301203,10.487482826301203,0.0
stage1_score,34,train,10.480823740995753,10.480823740995753,0.0
stage1_score,35,train,10.352379093023822,10.352379093023822,0.0
stage1_score,36,train,10.583480082997275,10.583480082997275,0.0
stage1_score,37,train,10.561387539397725,10.561387539397725,0.0
stage1_score,38,train,10.476656234965604,10.476656234965604,0.0
stage1_score,39,train,10.477045154815439,10.477045154815439,0.0
stage1_score,40,train,10.42563953009408,10.42563953009408,0.0
stage1_score,41,train,10.473683825051388,10.473683825051388,0.0
stage1_score,42,train,10.419888522496919,10.419888522496919,0.0
stage1_score,43,train,10.501651951967908,10.501651951967908,0.0
stage1_score,44,train,10.488085928231554,10.488085928231554,0.0
stage1_score,45,train,10.396275412274138,10.396275412274138,0.0
stage1_score,46,train,10.362780708059326,10.362780708059326,0.0
stage1_score,47,train,10.495179058523739,10.495179058523739,0.0
stage1_score,48,train,10.607004361994127,10.607004361994127,0.0
stage1_score,49,train,10.386493336270227,10.386493336270227,0.0
stage1_score,50,train,10.379574449348937,10.379574449348937,0.0
stage1_score,51,train,10.495487604848565,10.495487604848565,0.0
stage1_score,52,train,10.506355391256035,10.506355391256035,0.0
stage1_score,53,train,10.441494151698354,10.441494151698354,0.0
stage1_score,54,train,10.446551797335106,10.446551797335106,0.0
stage1_score,55,train,10.369071691908191,10.369071691908191,0.0
stage1_score,56,train,10.48517603740058,10.48517603740058,0.0
stage1_score,57,train,10.336038986801187,10.336038986801187,0.0
stage1_score,58,train,10.586022232865433,10.586022232865433,0.0
stage1_score,59,train,10.492563651345879,10.492563651345879,0.0
stage1_score,60,train,10.56710338055935,10.56710338055935,0.0
stage1_score,61,train,10.445055169400657,10.445055169400657,0.0
stage1_score,62,train,10.462399699072094,10.462399699072094,0.0
stage1_score,63,train,10.538438685775716,10.538438685775716,0.0
stage1_score,64,train,10.465900614316507,10.465900614316507,0.0
stage1_score,65,train,10.528535937287312,10.528535937287312,0.0
stage1_score,66,train,10.447940585436418,10.447940585436418,0.0
stage1_score,67,train,10.467267206928614,10.467267206928614,0.0
stage1_score,68,train,10.488158388210989,10.488158388210989,0.0
stage1_score,69,train,10.412202342879741,10.412202342879741,0.0
stage1_score,70,train,10.453915714059034,10.453915714059034,0.0
stage1_score,71,train,10.527089375303225,10.527089375303225,0.0
stage1_score,72,train,10.497614465406178,10.497614465406178,0.0
stage1_score,73,train,10.384919867308245,10.384919867308245,0.0
stage1_score,74,train,10.5118763169974,10.5118763169974,0.0
stage1_score,75,train,10.435876250693866,10.435876250693866,0.0
stage1_score,76,train,10.356606559558292,10.356606559558292,0.0
stage1_score,77,train,10.506312851771673,10.506312851771673,0.0
stage1_score,78,train,10.50975734096049,10.50975734096049,0.0
stage1_score,79,train,10.452898202100982,10.452898202100982,0.0
stage1_score,80,train,10.380497032907003,10.380497032907003,0.0
stage1_score,81,train,10.463275729420848,10.463275729420848,0.0
stage1_score,82,train,10.334199220018313,10.334199220018313,0.0
stage1_score,83,train,10.502166789023164,10.502166789023164,0.0
stage1_score,84,train,10.444714534496102,10.444714534496102,0.0
stage1_score,85,train,10.536890272106357,10.536890272106357,0.0
stage1_score,86,train,10.394297709550393,10.394297709550393,0.0
stage1_score,87,train,10.404489316964698,10.404489316964698,0.0
stage1_score,88,train,10.440367906965564,10.440367906965564,0.0
stage1_score,89,train,10.361006879928471,10.361006879928471,0.0
stage1_score,90,train,10.45283104464831,10.45283104464831,0.0
stage1_score,91,train,10.6059538858321,10.6059538858321,0.0
stage1_score,92,train,10.446413761636485,10.446413761636485,0.0
stage1_score,93,train,10.373820529020657,10.373820529020657,0.0
stage1_score,94,train,10.473600725627616,10.473600725627616,0.0
stage1_score,95,train,10.393885068576354,10.393885068576354,0.0
stage1_score,96,train,10.556540641394417,10.556540641394417,0.0
stage1_score,97,train,10.434953786406066,10.434953786406066,0.0
stage1_score,98,train,10.487586836802686,10.487586836802686,0.0
