index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.94585836,0.038422212,0.015719378
1,0,0.8194793,0.14916612,0.031354617
2,0,0.29957837,0.60758704,0.092834584
3,0,0.1661528,0.52576166,0.30808547
4,0,0.74641246,0.24347065,0.01011687
5,0,0.9012035,0.00024261842,0.09855391
6,0,0.9704554,0.0016327685,0.027911795
7,0,0.9741125,0.004312769,0.021574609
8,0,0.43884534,0.5339024,0.027252251
9,0,0.96562153,0.011031735,0.023346724
10,0,0.94819313,0.036212273,0.015594488
11,0,0.7047691,0.27745715,0.017773774
12,0,0.9126385,0.00020078036,0.087160744
13,0,0.7768493,0.21296929,0.010181347
14,0,0.76350725,0.21176179,0.024730982
15,0,0.8149564,0.17379238,0.011251139
16,0,0.76861143,0.22192189,0.009466766
17,0,0.9639688,0.025778795,0.010252434
18,0,0.95924455,0.027047176,0.013708246
19,0,0.4002603,0.5552297,0.04450996
20,0,0.92223895,0.00015773922,0.07760332
21,0,0.96903104,0.0007114164,0.030257508
22,0,0.9769066,0.0018453434,0.021247998
23,0,0.821647,0.17023775,0.008115271
24,0,0.9331525,0.04180848,0.025039036
25,0,0.7133671,0.2389759,0.04765701
26,0,0.6537707,0.29614198,0.050087344
27,0,0.84439826,0.14669748,0.008904311
28,0,0.90591884,0.00067025144,0.09341097
29,0,0.9105426,0.05596043,0.033496942
30,0,0.9761728,0.004318994,0.01950823
31,0,0.9530398,0.0005755963,0.04638463
32,0,0.24292168,0.7108837,0.046194576
33,0,0.5285706,0.4405845,0.030844923
34,0,0.6764253,0.26689106,0.0566837
35,0,0.93314606,0.0004168905,0.06643705
36,0,0.93143296,0.00012731142,0.06843965
37,0,0.89028907,0.04120559,0.068505354
38,0,0.8698658,0.1167054,0.013428847
39,0,0.93365926,0.048351172,0.017989527
40,0,0.91991484,0.00081255345,0.079272486
41,0,0.9525793,0.00030433328,0.047116365
42,0,0.9787123,0.0039786515,0.017309105
43,0,0.62495154,0.33588722,0.0391612
44,0,0.944639,0.00019826643,0.055162635
45,0,0.3939581,0.008325438,0.59771645
46,0,0.92237544,0.0001838643,0.07744075
47,0,0.85988796,0.0019074826,0.13820462
48,0,0.8055207,0.00087071845,0.19360854
49,0,0.8572747,0.13407513,0.008650067
50,0,0.9725725,0.0011262263,0.026301255
51,0,0.6582641,0.31523123,0.026504638
52,0,0.8919349,0.07904898,0.029016165
53,0,0.9614328,0.0005647044,0.038002465
54,0,0.9017192,0.0005363289,0.097744524
55,0,0.9445905,0.00027130326,0.055138253
56,0,0.7145865,0.25040343,0.035010114
57,0,0.9384368,0.00063571753,0.06092738
58,0,0.42082554,0.51554376,0.063630775
59,0,0.77278656,0.18950278,0.037710704
60,0,0.9150917,0.00018166342,0.08472667
61,0,0.6305693,0.3203443,0.04908639
62,0,0.89736676,0.08069389,0.021939324
63,0,0.90069157,0.00033284025,0.09897555
64,0,0.91564405,0.000512616,0.083843336
65,0,0.9353294,0.040669266,0.024001315
66,0,0.67410445,0.31603163,0.0098638525
67,0,0.33334026,0.61869407,0.04796571
68,0,0.9586468,0.0014469591,0.039906215
69,0,0.93105364,0.0007080647,0.068238206
70,0,0.936921,0.00010666371,0.06297236
71,0,0.96534425,0.0051883874,0.029467389
72,0,0.6840616,0.27067313,0.0452653
73,0,0.898761,0.08325718,0.017981889
74,0,0.96557003,0.0019623237,0.032467626
75,0,0.859665,0.046854038,0.093480974
76,0,0.87767076,0.10234821,0.01998109
77,0,0.97900313,0.0070186364,0.013978307
78,0,0.9499805,0.0002036762,0.049815733
79,0,0.96903527,0.020030664,0.010933955
80,0,0.8169776,0.014368476,0.16865392
81,0,0.7691842,0.21632627,0.014489518
82,0,0.90312,0.08587322,0.011006866
83,0,0.7263807,0.23769131,0.035928044
