index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.9466725,0.03860378,0.014723682
1,0,0.80801755,0.16161075,0.030371668
2,0,0.31155336,0.5636383,0.12480826
3,0,0.13333753,0.5254886,0.3411739
4,0,0.7408947,0.24734709,0.011758205
5,0,0.92248964,2.4326414e-06,0.07750792
6,0,0.9645169,0.00092838315,0.03455481
7,0,0.97502553,0.003906808,0.021067701
8,0,0.47335997,0.48492146,0.041718513
9,0,0.9675336,0.010812068,0.021654328
10,0,0.9436049,0.04488171,0.01151331
11,0,0.7243978,0.25341165,0.022190576
12,0,0.91361547,7.0439564e-06,0.086377494
13,0,0.72750545,0.2615984,0.010896098
14,0,0.7055797,0.25380602,0.040614303
15,0,0.7949237,0.19023754,0.01483877
16,0,0.7011725,0.28799698,0.010830515
17,0,0.9635266,0.027127666,0.009345707
18,0,0.96223515,0.025538197,0.0122266635
19,0,0.43143088,0.5295861,0.03898305
20,0,0.9371711,5.98679e-07,0.062828414
21,0,0.9702617,0.0004982737,0.029240048
22,0,0.9756765,0.0009841464,0.023339374
23,0,0.8109566,0.18026645,0.008776981
24,0,0.92671114,0.05248759,0.020801228
25,0,0.7082686,0.24155009,0.050181318
26,0,0.6513612,0.29735386,0.0512849
27,0,0.8439818,0.14692397,0.009094221
28,0,0.89071995,9.157145e-05,0.10918851
29,0,0.88886297,0.08501174,0.02612521
30,0,0.97651243,0.004226299,0.019261329
31,0,0.947754,4.1784155e-05,0.05220413
32,0,0.22783808,0.67856485,0.093597084
33,0,0.49010903,0.45818135,0.051709604
34,0,0.6713844,0.26783055,0.060785078
35,0,0.91618526,1.4853555e-05,0.08379984
36,0,0.93758595,6.854371e-07,0.06241337
37,0,0.87409014,0.04623641,0.07967342
38,0,0.8392159,0.14959762,0.011186487
39,0,0.924532,0.06211452,0.013353504
40,0,0.9231417,0.00021061854,0.07664768
41,0,0.9496112,3.0248953e-05,0.050358612
42,0,0.9781596,0.004220351,0.017620109
43,0,0.6324301,0.32847735,0.039092615
44,0,0.9410347,6.03285e-06,0.05895922
45,0,0.415334,0.0046675215,0.57999843
46,0,0.93510824,1.7972105e-06,0.064890005
47,0,0.86522436,0.0006679329,0.13410771
