c_true,n_observations,run,configuration,model,global_indices,local_indices,a_true,a_reference,c_reference,a_error,a_reference_error,c_error,c_reference_error,b_rmse,b_reference_rmse,a_sharing_range,a_sharing_std,c_sharing_range,c_sharing_std,b_inferred_std,global_parameter_rmse,per_unit_log_likelihood,total_log_likelihood,effective_k,aic,bic,aic_weight,bic_weight,selected_model_aic,selected_model_bic,selected_aic,selected_bic,mispenalized_aic_weight,mispenalized_bic_weight,mispenalized_selected_model_aic,mispenalized_selected_model_bic,runtime_seconds
0.0,2,0,correct,linear,[0],[1],0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.044216617941856384,0.013008728623390198,0.0,0.012184962630271912,0.15998020768165588,0.07718219608068466,0.0,0.0,nan,nan,1.159838080406189,0.044216617941856384,"[0.11489105224609375, -0.2835845947265625]",-0.16869354248046875,3,6.3373870849609375,2.4168286323547363,0.8132195757045555,0.6937353647770741,linear,linear,1,1,nan,nan,,,1.2622037559049204
0.0,2,0,correct,quadratic,"[0, 1]",[2],0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.032829537987709045,0.0016216486692428589,0.029825106263160706,0.04201006889343262,0.17792579531669617,0.08891239762306213,0.0,0.0,0.0,0.0,1.1653778553009033,0.03136331960558891,"[0.09808158874511719, -0.7378425598144531]",-0.6397609710693359,4,9.279521942138672,4.05211067199707,0.18678042429544453,0.306264635222926,linear,linear,0,0,nan,nan,,,1.1556280329823494
0.0,2,0,curvature_local,linear,[0],[1],0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.07682479918003082,0.045616909861564636,0.0,0.012184962630271912,0.15869176387786865,0.07751021534204483,0.0,0.0,nan,nan,1.1604747772216797,0.07682479918003082,"[-5.2928924560546875e-05, -0.09298038482666016]",-0.0930333137512207,3,6.186066627502441,2.2655081748962402,0.7347059384215702,0.42843936342482686,linear,quadratic,1,0,0.504657729834437,0.3464240938096602,linear,quadratic,1.1338761319639161
0.0,2,0,curvature_local,quadratic,[0],"[1, 2]",0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.04048728942871094,0.009279400110244751,0.17163120210170746,0.17257672548294067,0.1744547188282013,0.011693604290485382,0.0,0.0,0.34295493364334106,0.17147746682167053,1.0929641723632812,0.12469259649515152,"[-0.2118206024169922, 1.1001558303833008]",0.8883352279663086,5,8.223329544067383,1.6890654563903809,0.2652940615784298,0.5715606365751731,linear,quadratic,0,1,0.49534227016556304,0.6535759061903398,linear,quadratic,1.0922054019756615
0.0,2,0,all_local,linear,[],"[0, 1]",0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.1338222771883011,0.1239093542098999,0.0,0.012184962630271912,0.15828688442707062,0.07938779145479202,0.24258573353290558,0.12129286676645279,nan,nan,1.162426233291626,0.1338222771883011,"[0.6138296127319336, 0.7054376602172852]",1.3192672729492188,4,5.3614654541015625,0.13405418395996094,0.471746414298344,0.1946635152169566,quadratic,quadratic,0,0,nan,nan,,,1.0423686149297282
0.0,2,0,all_local,quadratic,[],"[0, 1, 2]",0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.1102980300784111,0.11050820350646973,0.1548052430152893,0.1553763449192047,0.17765909433364868,0.011817174032330513,0.21858474612236023,0.10929237306118011,0.3096015453338623,0.15480077266693115,1.0901741981506348,0.1344066858291626,"[0.5530056953430176, 2.879396438598633]",3.4324021339416504,6,5.135195732116699,-2.705921173095703,0.5282535857016559,0.8053364847830433,quadratic,quadratic,1,1,nan,nan,,,0.9983913530595601
0.0,2,0,all_global,linear,"[0, 1]",[],0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.022373676300048828,0.008834213018417358,0.0,0.012184962630271912,1.2295124530792236,1.10039222240448,0.0,0.0,nan,nan,0.0,0.022373676300048828,"[-2.1370186805725098, -1.9555883407592773]",-4.092607021331787,2,12.185214042663574,9.571508407592773,0.5281567392921283,0.3680294270156998,linear,quadratic,1,0,nan,nan,,,1.0654773130081594
0.0,2,0,all_global,quadratic,"[0, 1, 2]",[],0.26948838914625234,0.2382805049419403,-0.012184962630271912,0.008672744035720825,0.03988063335418701,0.07612164318561554,0.08830660581588745,1.2355554103851318,1.1043354272842407,0.0,0.0,0.0,0.0,0.0,0.05417435243725777,"[-2.5131125450134277, -0.6922407150268555]",-3.205353260040283,3,12.410706520080566,8.490148544311523,0.47184326070787175,0.6319705729843001,linear,quadratic,0,1,nan,nan,,,1.0441594979492947
0.0,5,0,correct,linear,[0],[1],0.26948838914625234,0.2812291383743286,0.023973435163497925,0.008389919996261597,0.020130664110183716,0.0,0.023973435163497925,0.10607977956533432,0.05887036770582199,0.0,0.0,nan,nan,1.2886178493499756,0.008389919996261597,"[0.2559208869934082, -0.43732690811157227, 2.093611717224121, 0.7978253364562988, 0.5733609199523926]",3.2833919525146484,6,5.433216094970703,3.08984375,0.9959018635606882,0.9950224888911483,linear,linear,1,1,nan,nan,,,1.0340687680291012
0.0,5,0,correct,quadratic,"[0, 1]",[2],0.26948838914625234,0.2812291383743286,0.023973435163497925,0.03071245364844799,0.01897171139717102,0.09448476880788803,0.0705113336443901,0.14884120225906372,0.07755442708730698,0.0,0.0,0.0,0.0,1.2825201749801636,0.07025178521871567,"[0.34415197372436523, -1.5069565773010254, 0.4746971130371094, -0.017185211181640625, -0.5044317245483398]",-1.2097244262695312,7,16.419448852539062,13.685514450073242,0.004098136439311688,0.004977511108851598,linear,linear,0,0,nan,nan,,,1.1400150740519166
