c_true,n_observations,configuration,model,metric,mean,std,median,q05,q95,count
0.6,2,all_local,quadratic,bic,3.0785833994547525,0.9079492170567205,3.2305736541748047,2.2168651580810548,3.833908462524414,3
0.6,2,all_local,quadratic,aic_weight,0.9960196343160487,0.006595839173202588,0.9997916278430719,0.9895423389629209,0.9998565342002602,3
0.6,2,all_local,quadratic,bic_weight,0.9989137040849451,0.0018007526005350341,0.999943591217587,0.997145323302401,0.99996116387464,3
0.6,2,all_local,quadratic,selected_aic,1.0,0.0,1.0,1.0,1.0,3
0.6,2,all_local,quadratic,selected_bic,1.0,0.0,1.0,1.0,1.0,3
0.6,2,all_local,quadratic,mispenalized_aic_weight,nan,nan,nan,nan,nan,0
0.6,2,all_local,quadratic,mispenalized_bic_weight,nan,nan,nan,nan,nan,0
0.6,2,correct,linear,a_error,0.07041914264361064,0.019294893244963664,0.07375377416610718,0.052082222700119016,0.08642182052135468,3
0.6,2,correct,linear,a_reference_error,0.06379968424638112,0.009734835962242483,0.06920470297336578,0.05422589331865311,0.06958996206521988,3
0.6,2,correct,linear,c_error,0.6000000238418579,0.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,3
0.6,2,correct,linear,c_reference_error,0.6853246688842773,0.15383938449767065,0.7379679679870605,0.5346636056900025,0.799135422706604,3
0.6,2,correct,linear,b_rmse,0.38240864872932434,0.02813317534199626,0.3901382386684418,0.35511062741279603,0.40429595708847044,3
0.6,2,correct,linear,b_reference_rmse,0.42981146772702533,0.098821798044556,0.47790804505348206,0.3323244720697403,0.4936308592557907,3
0.6,2,correct,linear,a_sharing_range,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,linear,a_sharing_std,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,linear,c_sharing_range,nan,nan,nan,nan,nan,0
0.6,2,correct,linear,c_sharing_std,nan,nan,nan,nan,nan,0
0.6,2,correct,linear,b_inferred_std,1.5279668966929119,0.6346354275426729,1.5108773708343506,0.9629316806793213,2.104964780807495,3
0.6,2,correct,linear,global_parameter_rmse,0.07041914264361064,0.019294893244963664,0.07375377416610718,0.052082222700119016,0.08642182052135468,3
0.6,2,correct,linear,total_log_likelihood,-8.92801602681478,2.1475296361000007,-9.717975616455078,-10.483611965179444,-6.819448375701905,3
0.6,2,correct,linear,effective_k,3.0,0.0,3.0,3.0,3.0,3
0.6,2,correct,linear,aic,23.85603205362956,4.295059272200001,25.435951232910156,19.63889675140381,26.967223930358887,3
0.6,2,correct,linear,bic,19.9354731241862,4.295059272200001,21.515392303466797,15.71833782196045,23.046665000915528,3
0.6,2,correct,linear,aic_weight,0.00307261414090082,0.004626600801525295,0.0006442834027631559,0.00021360791293917574,0.007631451885558829,3
0.6,2,correct,linear,bic_weight,0.001604500815892063,0.002417221251104198,0.00033529866149864675,0.00011114823553588753,0.003986294904323629,3
0.6,2,correct,linear,selected_aic,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,linear,selected_bic,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,linear,mispenalized_aic_weight,nan,nan,nan,nan,nan,0
0.6,2,correct,linear,mispenalized_bic_weight,nan,nan,nan,nan,nan,0
0.6,2,correct,quadratic,a_error,0.05944189429283142,0.04843545160626301,0.06899785995483398,0.013146409392356874,0.09904820322990417,3
0.6,2,correct,quadratic,a_reference_error,0.06523888806502025,0.03457673896818893,0.0811949372291565,0.031128327548503875,0.08818021416664124,3
0.6,2,correct,quadratic,c_error,0.15780027707417807,0.11709777454880102,0.1926485300064087,0.04377568364143372,0.24743109345436096,3
0.6,2,correct,quadratic,c_reference_error,0.10583706696828206,0.05881588667378709,0.10472273826599121,0.05329990983009338,0.15915425419807433,3
0.6,2,correct,quadratic,b_rmse,0.10076714213937521,0.0762993288729115,0.14399079978466034,0.025801557023078202,0.14547616690397264,3
0.6,2,correct,quadratic,b_reference_rmse,0.05772305217881998,0.044856682589866345,0.049354247748851776,0.020811559073626994,0.10049270838499069,3
0.6,2,correct,quadratic,a_sharing_range,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,quadratic,a_sharing_std,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,quadratic,c_sharing_range,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,quadratic,c_sharing_std,0.0,0.0,0.0,0.0,0.0,3
0.6,2,correct,quadratic,b_inferred_std,1.5323514143625896,0.6297154586380652,1.5243587493896484,0.9684391736984252,2.1018585205078124,3
0.6,2,correct,quadratic,global_parameter_rmse,0.12868345901370049,0.06719741555941124,0.15426695346832275,0.0626334298402071,0.17682504206895827,3
0.6,2,correct,quadratic,total_log_likelihood,-0.9874451955159506,0.33932908219727276,-0.8638491630554199,-1.3205083370208741,-0.7408992767333985,3
0.6,2,correct,quadratic,effective_k,4.0,0.0,4.0,4.0,4.0,3
0.6,2,correct,quadratic,aic,9.9748903910319,0.6786581643945455,9.72769832611084,9.481798553466797,10.641016674041747,3
0.6,2,correct,quadratic,bic,4.7474791208903,0.6786581643945455,4.500287055969238,4.254387283325196,5.413605403900147,3
0.6,2,correct,quadratic,aic_weight,0.9969273858590992,0.004626600801525239,0.9993557165972368,0.9923685481144412,0.9997863920870609,3
0.6,2,correct,quadratic,bic_weight,0.9983954991841081,0.002417221251104151,0.9996647013385015,0.9960137050956765,0.9998888517644642,3
0.6,2,correct,quadratic,selected_aic,1.0,0.0,1.0,1.0,1.0,3
0.6,2,correct,quadratic,selected_bic,1.0,0.0,1.0,1.0,1.0,3
0.6,2,correct,quadratic,mispenalized_aic_weight,nan,nan,nan,nan,nan,0
0.6,2,correct,quadratic,mispenalized_bic_weight,nan,nan,nan,nan,nan,0
0.6,2,curvature_local,linear,a_error,0.052916839718818665,0.05128657495196542,0.028004810214042664,0.019760839641094208,0.10351126044988632,3
0.6,2,curvature_local,linear,a_reference_error,0.04629738132158915,0.041178919359648056,0.0388033390045166,0.012322452664375306,0.08551813960075377,3
0.6,2,curvature_local,linear,c_error,0.6000000238418579,0.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,3
0.6,2,curvature_local,linear,c_reference_error,0.6853246688842773,0.15383938449767065,0.7379679679870605,0.5346636056900025,0.799135422706604,3
0.6,2,curvature_local,linear,b_rmse,0.38437922795613605,0.023701999804301183,0.3901691734790802,0.36150376200675965,0.4032017320394516,3
0.6,2,curvature_local,linear,b_reference_rmse,0.431583046913147,0.10145706912582984,0.48459067940711975,0.33160061538219454,0.4944601356983185,3
0.6,2,curvature_local,linear,a_sharing_range,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,linear,a_sharing_std,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,linear,c_sharing_range,nan,nan,nan,nan,nan,0
0.6,2,curvature_local,linear,c_sharing_std,nan,nan,nan,nan,nan,0
0.6,2,curvature_local,linear,b_inferred_std,1.5261787970860798,0.6335475783983731,1.5053755044937134,0.9634977221488953,2.103422176837921,3
0.6,2,curvature_local,linear,global_parameter_rmse,0.052916839718818665,0.05128657495196542,0.028004810214042664,0.019760839641094208,0.10351126044988632,3
0.6,2,curvature_local,linear,total_log_likelihood,-8.917768796284994,2.020806934614877,-9.569891929626465,-10.435783672332764,-6.943267726898194,3
0.6,2,curvature_local,linear,effective_k,3.0,0.0,3.0,3.0,3.0,3
0.6,2,curvature_local,linear,aic,23.835537592569988,4.041613869229754,25.13978385925293,19.886535453796387,26.87156734466553,3
0.6,2,curvature_local,linear,bic,19.91497866312663,4.041613869229754,21.21922492980957,15.965976524353028,22.95100841522217,3
0.6,2,curvature_local,linear,aic_weight,0.005117121061594491,0.007802663185930728,0.0006485775036599395,0.0005832781070021427,0.012778944506741026,3
0.6,2,curvature_local,linear,bic_weight,0.001398372573340223,0.0021348906407576145,0.00017563396204600326,0.0001579435366596373,0.0034947186379267617,3
0.6,2,curvature_local,linear,selected_aic,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,linear,selected_bic,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,linear,mispenalized_aic_weight,0.0018981506265757775,0.0028974235585883766,0.0002386961900696429,0.00021465527815953779,0.004743264080546311,3
0.6,2,curvature_local,linear,mispenalized_bic_weight,0.0009898341770402522,0.0015113791848916016,0.0001241983544624456,0.00011168811967096394,0.0024739253102140047,3
0.6,2,curvature_local,quadratic,a_error,0.06355100870132446,0.023947794469350032,0.07005453109741211,0.04032632112503052,0.08222323060035705,3
0.6,2,curvature_local,quadratic,a_reference_error,0.05693155030409495,0.03611716344032076,0.06238311529159546,0.0227969691157341,0.08725003600120544,3
0.6,2,curvature_local,quadratic,c_error,0.1819090892871221,0.04325662891325319,0.20684123039245605,0.13944871723651886,0.20691696256399156,3
0.6,2,curvature_local,quadratic,c_reference_error,0.09193847545733054,0.07289716623636057,0.11951449513435364,0.020299998577684164,0.14427373856306075,3
0.6,2,curvature_local,quadratic,b_rmse,0.12552305807669958,0.04970333392106645,0.12679444253444672,0.08035605028271675,0.1698000967502594,3
0.6,2,curvature_local,quadratic,b_reference_rmse,0.031857032173623644,0.023982753871581903,0.04483348876237869,0.00824713814072311,0.04638340659439564,3
0.6,2,curvature_local,quadratic,a_sharing_range,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,quadratic,a_sharing_std,0.0,0.0,0.0,0.0,0.0,3
0.6,2,curvature_local,quadratic,c_sharing_range,0.1597005526224772,0.1240716816171337,0.20939165353775024,0.03757604956626892,0.24704128503799438,3
0.6,2,curvature_local,quadratic,c_sharing_std,0.0798502763112386,0.06203584080856685,0.10469582676887512,0.01878802478313446,0.12352064251899719,3
0.6,2,curvature_local,quadratic,b_inferred_std,1.5008734067281086,0.6322737341532837,1.514810562133789,0.9270527362823486,2.0649380683898926,3
0.6,2,curvature_local,quadratic,global_parameter_rmse,0.13734419892231622,0.027828196840082982,0.148641899228096,0.10994366481900215,0.15683634281158448,3
0.6,2,curvature_local,quadratic,total_log_likelihood,-0.5696606636047363,0.44488892110314127,-0.4059638977050781,-1.0064821720123291,-0.24742689132690432,3
0.6,2,curvature_local,quadratic,effective_k,5.0,0.0,5.0,5.0,5.0,3
0.6,2,curvature_local,quadratic,aic,11.139321327209473,0.8897778422062825,10.811927795410156,10.49485378265381,12.012964344024658,3
0.6,2,curvature_local,quadratic,bic,4.605057239532471,0.8897778422062825,4.277663707733154,3.9605896949768065,5.478700256347656,3
0.6,2,curvature_local,quadratic,aic_weight,0.9948828789384055,0.0078026631859307695,0.9993514224963401,0.987221055493259,0.9994167218929979,3
0.6,2,curvature_local,quadratic,bic_weight,0.9986016274266598,0.002134890640757527,0.9998243660379539,0.9965052813620733,0.9998420564633403,3
