method,parameter,mean_error_in_exact_std,std_ratio_to_exact,runtime_seconds,shared_synchronization_max_abs
dpm2_gaussian,global,0.5748713684082027,1.4237321913242336,146.94371333299205,0.0
dpm2_gaussian,locals_mean,0.17399871394291863,1.276257513768602,146.94371333299205,0.0
pfode_gaussian,global,0.5728157687187194,1.4501428604125972,23.64798794593662,0.0
pfode_gaussian,locals_mean,0.7250469040206418,1.5545105864214777,23.64798794593662,0.0
langevin_fnpe,global,0.10549866437911999,1.0857773572206493,118.83308026217856,0.0
langevin_fnpe,locals_mean,0.04567661951560454,0.9051577053583859,118.83308026217856,0.0
