divergence_loss,epoch,score_loss,split,stage,total_loss
0.0,1,9.139013710412222,train,stage1_score,9.139013710412222
0.0,2,5.92114176933113,train,stage1_score,5.92114176933113
0.0,3,5.678156087587557,train,stage1_score,5.678156087587557
0.0,4,5.611989289476438,train,stage1_score,5.611989289476438
0.0,5,5.546012052794552,train,stage1_score,5.546012052794552
0.0,6,5.399600752662209,train,stage1_score,5.399600752662209
0.0,7,5.418597603697911,train,stage1_score,5.418597603697911
0.0,8,5.452994438205534,train,stage1_score,5.452994438205534
0.0,9,5.472592316381157,train,stage1_score,5.472592316381157
0.0,10,5.441131359354004,train,stage1_score,5.441131359354004
0.0,11,5.481778057395955,train,stage1_score,5.481778057395955
0.0,12,5.448019551621069,train,stage1_score,5.448019551621069
0.0,13,5.43603685932696,train,stage1_score,5.43603685932696
0.0,14,5.352706775884799,train,stage1_score,5.352706775884799
0.0,15,5.407804554014864,train,stage1_score,5.407804554014864
0.0,16,5.38135083898559,train,stage1_score,5.38135083898559
0.0,17,5.353981913812935,train,stage1_score,5.353981913812935
0.0,18,5.41042054608045,train,stage1_score,5.41042054608045
0.0,19,5.415288861511309,train,stage1_score,5.415288861511309
0.0,20,5.400652799825839,train,stage1_score,5.400652799825839
0.0,21,5.407116555435883,train,stage1_score,5.407116555435883
0.0,22,5.30598174178082,train,stage1_score,5.30598174178082
0.0,23,5.351203168200715,train,stage1_score,5.351203168200715
0.0,24,5.355729315774824,train,stage1_score,5.355729315774824
0.0,25,5.316176418392249,train,stage1_score,5.316176418392249
0.0,26,5.362926491812977,train,stage1_score,5.362926491812977
0.0,27,5.410227695816314,train,stage1_score,5.410227695816314
0.0,28,5.4235954872482575,train,stage1_score,5.4235954872482575
0.0,29,5.401886842683758,train,stage1_score,5.401886842683758
0.0,30,5.244724930033964,train,stage1_score,5.244724930033964
0.0,31,5.297167747160968,train,stage1_score,5.297167747160968
0.0,32,5.3566280036936025,train,stage1_score,5.3566280036936025
0.0,33,5.365415257139278,train,stage1_score,5.365415257139278
0.0,34,5.350381642534299,train,stage1_score,5.350381642534299
0.0,35,5.282003809180101,train,stage1_score,5.282003809180101
0.0,36,5.428783637117546,train,stage1_score,5.428783637117546
0.0,37,5.409075230161856,train,stage1_score,5.409075230161856
0.0,38,5.33860989921843,train,stage1_score,5.33860989921843
0.0,39,5.355699644674121,train,stage1_score,5.355699644674121
0.0,40,5.3156450248435325,train,stage1_score,5.3156450248435325
0.0,41,5.317096625447578,train,stage1_score,5.317096625447578
0.0,42,5.331859223982868,train,stage1_score,5.331859223982868
0.0,43,5.33232919200302,train,stage1_score,5.33232919200302
0.0,44,5.331445124813968,train,stage1_score,5.331445124813968
0.0,45,5.292132930804397,train,stage1_score,5.292132930804397
0.0,46,5.2704804883893495,train,stage1_score,5.2704804883893495
0.0,47,5.307118568639926,train,stage1_score,5.307118568639926
0.0,48,5.378856240879849,train,stage1_score,5.378856240879849
0.0,49,5.282179583064126,train,stage1_score,5.282179583064126
0.0,50,5.293171727870737,train,stage1_score,5.293171727870737
0.0,51,5.399351074384607,train,stage1_score,5.399351074384607
0.0,52,5.368709556038118,train,stage1_score,5.368709556038118
0.0,53,5.385198150205491,train,stage1_score,5.385198150205491
0.0,54,5.350398164636949,train,stage1_score,5.350398164636949
0.0,55,5.261285098922222,train,stage1_score,5.261285098922222
0.0,56,5.354194722212184,train,stage1_score,5.354194722212184
0.0,57,5.352295103097512,train,stage1_score,5.352295103097512
