correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss,DPM-2 + Gaussian,0.01137492898851633,dpm,1.0,0.0,1.9934899940853938,-0.14885225892066956,0.7317436933517456,1.0348418951034546,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.043236684054136276,dpm,1.0,0.0,1.663838890963234,-0.12632259726524353,0.7082484364509583,1.0016145706176758,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.026649853214621544,dpm,1.0,0.0,1.332465049927123,-0.13805125653743744,0.7250957489013672,1.0254402160644531,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.024817224591970444,langevin,1.0,0.0,3.2914867299841717,-0.1393471211194992,0.7523545026779175,1.0639899969100952,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.013630016706883907,langevin,1.0,0.0,3.2158121209358796,-0.166533425450325,0.7031781077384949,0.9944440126419067,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.009602443315088749,langevin,1.0,0.0,3.1678979110438377,-0.15010559558868408,0.6814513206481934,0.9637176990509033,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.009792008437216282,dpm,2.0,0.0,2.147924124961719,-0.06413216143846512,0.6075593829154968,1.0523236989974976,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.0005800893995910883,dpm,2.0,0.0,2.2694251539651304,-0.05814382806420326,0.5964248776435852,1.0330382585525513,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.011800147593021393,dpm,2.0,0.0,2.0756138769211248,-0.06529156118631363,0.566236674785614,0.9807506799697876,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.018160928040742874,langevin,2.0,0.0,5.024065104080364,-0.06896395981311798,0.6036531329154968,1.0455578565597534,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_gauss
