bias,correlation,lambda,mae,mask,n_scalar_scores,nrmse,rmse,stage,time,time_level
0.40265580138571233,0.9846412719757024,0.031673744320869446,3.2042849365603923,posterior,512,1.2337982779292445,4.081456158225721,stage1,0.001000000280328095,0
0.23159959216996345,0.9849323780601487,0.031673744320869446,3.077070327527034,posterior,512,1.1881968449079772,3.9306047160102673,stage2,0.001000000280328095,0
0.2865197381413916,0.9851086185356733,0.04065089309201292,2.0089858634324784,posterior,512,0.7809152745798787,2.574044945835428,stage1,0.0016437674639746547,1
0.14894015631197793,0.9852552494621442,0.04065089309201292,1.907153034537854,posterior,512,0.744674552146139,2.454588646988951,stage2,0.0016437674639746547,1
0.20053477316492116,0.9858469697192205,0.052172395294908476,1.1175422909234614,posterior,512,0.44491868763925546,1.4578697608688866,stage1,0.002698383992537856,2
0.08771062983328498,0.9857669384481095,0.052172395294908476,1.0556170140659085,posterior,512,0.4168781414054757,1.3659890069959026,stage2,0.002698383992537856,2
0.13924808079549292,0.9869743851019788,0.06695938572978115,0.5348623459958128,posterior,512,0.22170228075220827,0.7194478929709884,stage1,0.004420069046318531,3
0.04396408286641999,0.9865446636109412,0.06695938572978115,0.5200131966490951,posterior,512,0.20574351455131468,0.6676599696411326,stage2,0.004420069046318531,3
0.09851348308840781,0.9885978511134544,0.08593738723257681,0.39211199272073494,posterior,512,0.15901228726966019,0.5080048703548562,stage1,0.007215052843093872,4
0.014557289654857149,0.9876430067972253,0.08593738723257681,0.3913676510966515,posterior,512,0.16769926567882282,0.5357576146005778,stage2,0.007215052843093872,4
0.07488143270663983,0.990694371049325,0.11029423946876456,0.529483217658627,posterior,512,0.2141412726185624,0.6673862723418282,stage1,0.011711972765624523,5
-0.003444102395427262,0.9889926071729045,0.11029423946876456,0.5479046889492458,posterior,512,0.23287800486472024,0.7257806105127049,stage2,0.011711972765624523,5
0.06453615909308275,0.9928000334959287,0.1415544462280532,0.5898523507601314,posterior,512,0.25172654046737186,0.7550847856525852,stage1,0.018846645951271057,6
-0.013749295188657654,0.990208264590849,0.1415544462280532,0.6316877811126173,posterior,512,0.273726482293745,0.8210763228480422,stage2,0.018846645951271057,6
0.06057033930094813,0.9934581287194333,0.18167459464286426,0.5035302156624643,posterior,512,0.2335355122117793,0.6617177095998655,stage1,0.029928099364042282,7
-0.023047207102326765,0.9905230051059083,0.18167459464286426,0.5523866656886122,posterior,512,0.2575426666039349,0.7297414506914625,stage2,0.029928099364042282,7
0.042674642711428484,0.9915750038653257,0.2331658186523851,0.35598889242021287,posterior,512,0.18927642143667556,0.49452040605160275,stage1,0.046615999191999435,8
-0.043508516181962525,0.9895295547809928,0.2331658186523851,0.3875162668625481,posterior,512,0.20841649414087757,0.544527461625114,stage2,0.046615999191999435,8
0.011591553972600714,0.987724908353966,0.2992509717426927,0.352163235833817,posterior,512,0.20589172558359548,0.48214305875191854,stage1,0.07070982456207275,9
-0.0453882424591324,0.9853894630258516,0.2992509717426927,0.3720050959060798,posterior,512,0.22181212065751676,0.5194243431538157,stage2,0.07070982456207275,9
0.001929256015729487,0.9822113118945892,0.38406634645901117,0.3774162449682653,posterior,512,0.24579225886188374,0.5006074824948011,stage1,0.10370559990406036,10
-0.026435703276318816,0.9815282414905866,0.38406634645901117,0.39021776087309334,posterior,512,0.25741364527974053,0.5242768731610535,stage2,0.10370559990406036,10
-0.001239576805408254,0.9753386856508525,0.49292056638400883,0.3561844348734162,posterior,512,0.27080740228767897,0.4661745973449344,stage1,0.1462685614824295,11
-0.01835772469400381,0.9766660431543525,0.49292056638400883,0.3622698910179689,posterior,512,0.2785459573421965,0.4794959384755547,stage2,0.1462685614824295,11
-0.003973191667987093,0.9688267182510943,0.6326268547204326,0.31064306068619163,posterior,512,0.28502504535568407,0.40465070367548733,stage1,0.19795472919940948,12
-0.013371941949307737,0.9712110272830363,0.6326268547204326,0.31248113726570426,posterior,512,0.2894842866426963,0.4109814986496501,stage2,0.19795472919940948,12
-0.0024731535156736293,0.9644763268324019,0.8119294762833634,0.25506154377643064,posterior,512,0.2902651445588308,0.33344875036404437,stage1,0.2573998272418976,13
-0.009983960724192227,0.9668635375925293,0.8119294762833634,0.2556778751640576,posterior,512,0.29261277651960504,0.33614564648922207,stage2,0.2573998272418976,13
-0.0007424532428142931,0.962982604807228,1.0420510440536082,0.20045587631978648,posterior,512,0.28592991678587404,0.2621888746996465,stage1,0.322824090719223,14
-0.010622091359941181,0.9650825267131871,1.0420510440536082,0.20007430220334202,posterior,512,0.28681341453654935,0.26299901476352344,stage2,0.322824090719223,14
-0.002566164978710323,0.9648183317668698,1.3373949463983317,0.15111420766587952,posterior,512,0.2717365442374866,0.1970832800073674,stage1,0.3925137519836426,15
-0.012109617220240626,0.96651093853362,1.3373949463983317,0.15054273570055524,posterior,512,0.2718383345606896,0.19715710581841597,stage2,0.3925137519836426,15
-0.005059212591266069,0.9695604312603743,1.7164468601211647,0.10981138293745694,posterior,512,0.24900137560000485,0.14200309074041664,stage1,0.46508052945137024,16
-0.011547174038514903,0.9708062908675014,1.7164468601211647,0.10930286897821087,posterior,512,0.2487308741941743,0.14184882638912538,stage2,0.46508052945137024,16
-0.0056254445706090984,0.9756839310452631,2.2029317753547932,0.07707012343187951,posterior,512,0.22121380226590637,0.09883492045602676,stage1,0.5395151376724243,17
-0.008713637483009799,0.9765567014802128,2.2029317753547932,0.07661021070717064,posterior,512,0.2203611420903822,0.09845396501942767,stage2,0.5395151376724243,17
-0.004243885627853657,0.9818395779349248,2.8272989508834834,0.05214708745787535,posterior,512,0.1910076924446701,0.06670797087145605,stage1,0.6151322722434998,18
-0.004924914664367449,0.982377932634782,2.8272989508834834,0.05163884788828747,posterior,512,0.189804950700323,0.06628792254659063,stage2,0.6151322722434998,18
-0.0021868436469834524,0.9871445704944545,3.628627743761805,0.034238903643558985,posterior,512,0.1609384458606958,0.04387614756632423,stage1,0.6914862394332886,19
-0.0017994767430753926,0.987407858739112,3.628627743761805,0.03394822776371255,posterior,512,0.15997990445978602,0.04361482340770055,stage2,0.6914862394332886,19
-0.0006081367497221717,0.991304149452962,4.6570735997632795,0.022013062541021998,posterior,512,0.13297513291055785,0.028276867160659743,stage1,0.7682946920394897,20
-0.00015290684789072737,0.9913284545247036,4.6570735997632795,0.02195946034695785,posterior,512,0.13297605402108095,0.028277063032770056,stage2,0.7682946920394897,20
0.00018310812695261592,0.9942598085168707,5.977007300045541,0.014001281868631154,posterior,512,0.10877181306504075,0.01803280675115009,stage1,0.8453817963600159,21
0.00021228117714684698,0.9940848972617706,5.977007300045541,0.01419488828575152,posterior,512,0.1102202041337298,0.018272929219515524,stage2,0.8453817963600159,21
0.0005516027787168499,0.9961377818131755,7.671043950564495,0.00893097647514509,posterior,512,0.08901764797118662,0.011502423925495232,stage1,0.922639012336731,22
-6.299005854920917e-05,0.9958247168777987,7.671043950564495,0.009253777172536157,posterior,512,0.09223821372480491,0.01191856963842218,stage2,0.922639012336731,22
0.0008928106518162322,0.9971994771042105,9.845213890075684,0.005857852623696456,posterior,512,0.0752741824833533,0.007579785580211965,stage1,1.0,23
-0.0004606032421357059,0.9967874060507429,9.845213890075684,0.006220483297395567,posterior,512,0.08017207914929585,0.008072982653857894,stage2,1.0,23
0.09074946506574841,0.9892958405625801,0.031673744320869446,2.7644233665237037,likelihood,512,1.2194554780202382,3.526020286174943,stage1,0.001000000280328095,0
-0.34134318641532246,0.983675130366437,0.031673744320869446,2.8010915790040682,likelihood,512,1.2350380834479473,3.5710769396074764,stage2,0.001000000280328095,0
0.08624003985192681,0.9894721094605122,0.04065089309201292,1.7188246749865306,likelihood,512,0.7643258878353348,2.2014586349530965,stage1,0.0016437674639746547,1
-0.24743638840567728,0.9838794094493589,0.04065089309201292,1.7572648329947511,likelihood,512,0.7812264966804792,2.250136812508327,stage2,0.0016437674639746547,1
0.07973706622926881,0.9897704858578804,0.052172395294908476,0.939950748407973,likelihood,512,0.42451947568358206,1.2151895667107901,stage1,0.002698383992537856,2
-0.17632305085037292,0.9842131384004936,0.052172395294908476,0.9891335608754328,likelihood,512,0.4457028491350062,1.2758271013361644,stage2,0.002698383992537856,2
0.0706453724436688,0.9902501527202906,0.06695938572978115,0.4088638195590637,likelihood,512,0.19608982149030826,0.5558217086049277,stage1,0.004420069046318531,3
-0.12367766687224953,0.9847453915472226,0.06695938572978115,0.4847538934196459,likelihood,512,0.22819314631979903,0.6468194193632523,stage2,0.004420069046318531,3
0.05818242924644438,0.9909558392105627,0.08593738723257681,0.3119627180428573,likelihood,512,0.14611297302746482,0.4077943647380713,stage1,0.007215052843093872,4
-0.08636136845350846,0.9855616623991453,0.08593738723257681,0.3750728875288658,likelihood,512,0.17884451996964892,0.4991465569193457,stage2,0.007215052843093872,4
0.041439175182820004,0.9918697819485365,0.11029423946876456,0.47579144873137896,likelihood,512,0.22082511440237754,0.6016396730371154,stage1,0.011711972765624523,5
-0.062099132629366754,0.9867340682282429,0.11029423946876456,0.5063912912375053,likelihood,512,0.23972886696861298,0.6531430880535822,stage2,0.011711972765624523,5
0.019650506217603537,0.9927725362902016,0.1415544462280532,0.5615776637918505,likelihood,512,0.2699287871379955,0.7089684120548458,stage1,0.018846645951271057,6
-0.04877195292743665,0.9881927247181548,0.1415544462280532,0.5836059897560585,likelihood,512,0.28267869819917385,0.742456074837041,stage2,0.018846645951271057,6
-0.007354538272189898,0.9927268814106069,0.18167459464286426,0.5063917854396622,likelihood,512,0.2608214076468281,0.6491168431102956,stage1,0.029928099364042282,7
-0.04235979550384982,0.9892461664542958,0.18167459464286426,0.5164291122280453,likelihood,512,0.26872180316274735,0.6687788786881433,stage2,0.029928099364042282,7
-0.029563787927981706,0.9901343152288198,0.2331658186523851,0.37728997358830413,likelihood,512,0.2208174125796358,0.5094291826646058,stage1,0.046615999191999435,8
-0.028407252159849697,0.9874739880936649,0.2331658186523851,0.37250506432149677,likelihood,512,0.21968302997555808,0.506812144469686,stage2,0.046615999191999435,8
-0.003233461880514628,0.9849795933390741,0.2992509717426927,0.37605004565321937,likelihood,512,0.24214248551811263,0.5047988962739425,stage1,0.07070982456207275,9
0.01194785500527243,0.9813525509101595,0.2992509717426927,0.3721273993362014,likelihood,512,0.23841683687397833,0.4970319679736925,stage2,0.07070982456207275,9
0.01896728592237478,0.9758863977209263,0.38406634645901117,0.40962972948689247,likelihood,512,0.2937260271173033,0.5386165826406066,stage1,0.10370559990406036,10
0.022253260354321455,0.974132841211988,0.38406634645901117,0.4013691222927073,likelihood,512,0.2884307469887046,0.5289064261557286,stage2,0.10370559990406036,10
0.01844012239430459,0.9637330526261437,0.49292056638400883,0.39644830254965036,likelihood,512,0.3290143764801448,0.5169940815612609,stage1,0.1462685614824295,11
0.00841203743746111,0.9625199370972366,0.49292056638400883,0.39371726685447367,likelihood,512,0.3273568048763587,0.5143894698172718,stage2,0.1462685614824295,11
0.010548449975035581,0.9517932203871112,0.6326268547204326,0.3511905285962279,likelihood,512,0.3495430546582201,0.45970057904172357,stage1,0.19795472919940948,12
-0.0037997672424670914,0.9498970243348078,0.6326268547204326,0.35360486107847094,likelihood,512,0.35167568373797187,0.4625053002621229,stage2,0.19795472919940948,12
0.0038757324727706987,0.9429563944015663,0.8119294762833634,0.2938052685057877,likelihood,512,0.35821637771504855,0.38655372627113316,stage1,0.2573998272418976,13
-0.006984567555129693,0.9406214190502884,0.8119294762833634,0.29786234532413264,likelihood,512,0.36234027483615344,0.39100385166486923,stage2,0.2573998272418976,13
0.003063907407602533,0.9404479164992301,1.0420510440536082,0.23359027977844227,likelihood,512,0.3531805971885944,0.3078616208533608,stage1,0.322824090719223,14
-0.004261943949506525,0.938886169762374,1.0420510440536082,0.23685762604563684,likelihood,512,0.3565812636999172,0.3108259249869724,stage2,0.322824090719223,14
0.00325808048774273,0.9443845166659585,1.3373949463983317,0.1775815440016355,likelihood,512,0.3346197107223965,0.23289296001321236,stage1,0.3925137519836426,15
-0.0005706856190925171,0.9440614353362188,1.3373949463983317,0.1782572125400269,likelihood,512,0.33570438762475113,0.23364788749163848,stage2,0.3925137519836426,15
0.0023197028777629716,0.9525651781316857,1.7164468601211647,0.12973574655965076,likelihood,512,0.3061057388296277,0.16871653278858398,stage1,0.46508052945137024,16
0.0020117041837791816,0.9530361657841568,1.7164468601211647,0.12926471444062027,likelihood,512,0.30505864270633304,0.1681394040222495,stage2,0.46508052945137024,16
0.001345824267163701,0.9624315106979353,2.2029317753547932,0.09169663165676183,likelihood,512,0.2717892382556745,0.1179714031656454,stage1,0.5395151376724243,17
0.0030739200164636962,0.9630469757043334,2.2029317753547932,0.09113438972494232,likelihood,512,0.26989538943510266,0.11714936913596727,stage2,0.5395151376724243,17
0.0007874093186585498,0.9718953539243234,2.8272989508834834,0.06287135142628898,likelihood,512,0.23541293980107286,0.08017306364388029,stage1,0.6151322722434998,18
0.002744922982114306,0.9722926383927426,2.8272989508834834,0.062490622691402445,likelihood,512,0.23392772736084666,0.07966725444071772,stage2,0.6151322722434998,18
0.0006896379360127687,0.9798727838885165,3.628627743761805,0.0419971809151778,likelihood,512,0.1996420161182658,0.05321786501281798,stage1,0.6914862394332886,19
0.001845043731158494,0.9799924879471547,3.628627743761805,0.04171173294893313,likelihood,512,0.19914662767399777,0.05308581107012313,stage2,0.6914862394332886,19
0.0009290874131843488,0.9861195845002029,4.6570735997632795,0.027387324808852778,likelihood,512,0.16609337132541918,0.03460095691222065,stage1,0.7682946920394897,20
