bias,comparison,correlation,lambda,mae,mask,n,nrmse,rmse,time,time_level
-0.013537481427192688,head_vs_exact,0.7368348056417843,0.031673744320869446,0.05302642285823822,posterior,256,0.047474025784660104,0.06846128196121724,0.001000000280328095,0
-0.7536232106790751,exact_vs_analytic,0.0,0.031673744320869446,0.7536232106790751,posterior,256,1.1091426847357504,0.7599238484406895,0.001000000280328095,0
-0.7671606921062678,head_vs_analytic,0.0,0.031673744320869446,0.7671606921062678,posterior,256,1.1263959447176966,0.7717448376642284,0.001000000280328095,0
-0.011852756142616272,head_vs_exact,0.7319392000535226,0.04065089309201292,0.05303393118083477,posterior,256,0.04746098117639447,0.06901461780560737,0.0016437674639746547,1
-0.5786420828736585,exact_vs_analytic,nan,0.04065089309201292,0.5786420828736585,posterior,256,0.6729232374365239,0.5869071881929864,0.0016437674639746547,1
-0.5904948390162746,head_vs_analytic,nan,0.04065089309201292,0.5904948390162746,posterior,256,0.683867302555645,0.5964523341013562,0.0016437674639746547,1
-0.00905478373169899,head_vs_exact,0.723465061099478,0.052172395294908476,0.053396375849843025,posterior,256,0.047591421846932165,0.07016298331524141,0.002698383992537856,2
-0.3663462186998313,exact_vs_analytic,0.0,0.052172395294908476,0.3663462186998313,posterior,256,0.3435867312361913,0.37952400486310506,0.002698383992537856,2
-0.3754010024315303,head_vs_analytic,0.0,0.052172395294908476,0.3754010024315303,posterior,256,0.348304074695615,0.3847347563830888,0.002698383992537856,2
-0.004502095282077789,head_vs_exact,0.7093532017557854,0.06695938572978115,0.05453720036894083,posterior,256,0.04805584313323263,0.07247622200915062,0.004420069046318531,3
-0.117184360911748,exact_vs_analytic,0.0,0.06695938572978115,0.12442416087467312,posterior,256,0.11148943957214423,0.15470238138773776,0.004420069046318531,3
-0.12168645619382579,head_vs_analytic,0.0,0.06695938572978115,0.12176542210462851,posterior,256,0.10675592422572035,0.1481341709882827,0.004420069046318531,3
0.0027745612896978855,head_vs_exact,0.6885836933566515,0.08593738723257681,0.0565042900852859,posterior,256,0.04907232562465011,0.0768434294110358,0.007215052843093872,4
0.15863917536489486,exact_vs_analytic,0.0,0.08593738723257681,0.1682051592191467,posterior,256,0.11031542366198657,0.1898619829743151,0.007215052843093872,4
0.16141373665459272,head_vs_analytic,0.0,0.08593738723257681,0.1688081300278999,posterior,256,0.10601378882711676,0.18245851306350513,0.007215052843093872,4
0.014476618263870478,head_vs_exact,0.663257738609597,0.11029423946876456,0.060557971242815256,posterior,256,0.05124599329223909,0.08541388933631319,0.011711972765624523,5
0.43100369356582596,exact_vs_analytic,0.0,0.11029423946876456,0.4315854255813872,posterior,256,0.21254380773089815,0.4450760790775186,0.011711972765624523,5
0.4454803118296964,head_vs_analytic,0.0,0.11029423946876456,0.4454803118296964,posterior,256,0.21676433467005982,0.45391404806742885,0.011711972765624523,5
0.033468243200331926,head_vs_exact,0.6532012389732734,0.1415544462280532,0.07125591905787587,posterior,256,0.055494940665042784,0.10253992074900402,0.018846645951271057,6
0.6346005039597473,exact_vs_analytic,0.0,0.1415544462280532,0.6346005039597473,posterior,256,0.26116929644779446,0.6471697576544646,0.018846645951271057,6
0.6680687471600792,head_vs_analytic,0.0,0.1415544462280532,0.6680687471600792,posterior,256,0.2723415559057551,0.6748542846804293,0.018846645951271057,6
0.06409135600551963,head_vs_exact,0.6859645696923719,0.18167459464286426,0.09581948583945632,posterior,256,0.06262127274415011,0.13574702260130495,0.029928099364042282,7
