training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.8,0.8820992112159729
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.9,0.9566012620925903
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,1.0,1.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.1,0.12570637464523315
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.2,0.25030770897865295
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.30000000000000004,0.3726482391357422
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.4,0.4914623498916626
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.5,0.6052936315536499
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.6000000000000001,0.7123711109161377
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.7000000000000001,0.8103907108306885
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.8,0.8960630893707275
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.9,0.9639132022857666
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,1.0,1.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.1,0.10976719856262207
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.2,0.2191828191280365
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.30000000000000004,0.32787439227104187
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.4,0.4354246258735657
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.5,0.541334331035614
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.6000000000000001,0.6449631452560425
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.7000000000000001,0.7454143762588501
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.8,0.8412688970565796
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.9,0.9297523498535156
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.1,0.10672891139984131
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.2,0.21352607011795044
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.30000000000000004,0.320419043302536
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.4,0.42734503746032715
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.5,0.5340769290924072
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.6000000000000001,0.6400989294052124
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.7000000000000001,0.7443647384643555
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.8,0.8447406888008118
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.9,0.9363231658935547
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.1,0.11899307370185852
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.2,0.23745402693748474
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.30000000000000004,0.3547830581665039
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.4,0.4702323377132416
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.5,0.5827955007553101
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.6000000000000001,0.691035270690918
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.7000000000000001,0.7927764654159546
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.8,0.8844695091247559
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.9,0.9595116376876831
