training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,0,0.45855591201689094,0.6114078826891879,cuda,0.1912693828344345,0.12588898837566376,1.224477767944336
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,1,0.014328664052300155,0.019104885403066874,cuda,0.19479766488075256,0.13936273753643036,1.2398730516433716
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,0,0.028176877065561712,0.03756916942074895,cuda,0.192691832780838,0.1779475212097168,1.334123134613037
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,1,0.028268774040043354,0.03769169872005781,cuda,0.18103718757629395,0.17803500592708588,1.323684811592102
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,0,0,0.057528016972355545,0.0767040226298074,cuda,0.20629408955574036,0.19370684027671814,1.3600208759307861
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,0,1,0.05730112094897777,0.07640149459863703,cuda,0.17309048771858215,0.20309774577617645,1.3862863779067993
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,0,0,0.14420941099524498,0.19227921466032663,cuda,0.21784724295139313,0.265036016702652,1.4779841899871826
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,0,1,0.14259688998572528,0.1901291866476337,cuda,0.17729346454143524,0.20328786969184875,1.3881510496139526
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,0,0,0.293005182989873,0.39067357731983066,cuda,0.18426750600337982,0.21755382418632507,1.408187747001648
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,0,1,0.28085828898474574,0.3744777186463277,cuda,0.19474951922893524,0.22356685996055603,1.4211468696594238
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,0,0,0.020907355938106775,0.027876474584142368,cuda,0.2093852013349533,0.08066530525684357,1.1773566007614136
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,0,1,0.013346535037271678,0.01779538004969557,cuda,0.21128790080547333,0.09100353717803955,1.186788558959961
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,0,0,0.0272117059212178,0.03628227456162373,cuda,0.20952050387859344,0.16724132001399994,1.3386648893356323
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,0,1,0.02908969298005104,0.03878625730673472,cuda,0.1948390007019043,0.1662696897983551,1.3263309001922607
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,0,0.05562122305855155,0.0741616307447354,cuda,0.21409562230110168,0.19081711769104004,1.3676857948303223
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,1,0.0551561969332397,0.07354159591098626,cuda,0.18223071098327637,0.20027706027030945,1.394576907157898
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,0,0,0.1406355439685285,0.1875140586247047,cuda,0.22109216451644897,0.2644650340080261,1.482290506362915
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,0,1,0.13910384406335652,0.18547179208447537,cuda,0.18073733150959015,0.20310021936893463,1.393378734588623
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0,0,0,0.2809164710342884,0.3745552947123845,cuda,0.18613460659980774,0.21754157543182373,1.410883903503418
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0,0,1,0.2836206449428573,0.37816085992380977,cuda,0.19689063727855682,0.22351400554180145,1.423876404762268
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0,0,0,0.09570270893163979,0.12760361190885305,cuda,0.12055038660764694,0.2335025668144226,1.4717451333999634
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0,0,1,0.09586284193210304,0.1278171225761374,cuda,0.1428983509540558,0.24904486536979675,1.486987590789795
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0,0,0,0.13722236501052976,0.182963153347373,cuda,0.1232234314084053,0.17591942846775055,1.3465170860290527
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0,0,1,0.14257590495981276,0.1901012066130837,cuda,0.1347014158964157,0.16473114490509033,1.3313910961151123
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0,0,0,0.21923968195915222,0.2923195759455363,cuda,0.10522322356700897,0.18298248946666718,1.3478645086288452
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0,0,1,0.21877016394864768,0.29169355193153024,cuda,0.07717789709568024,0.19218355417251587,1.3523870706558228
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0,0,0,0.46948211500421166,0.6259761533389488,cuda,0.06540273874998093,0.1215362548828125,1.2385021448135376
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0,0,1,0.47504604898858815,0.6333947319847842,cuda,0.07895476371049881,0.13622760772705078,1.258768081665039
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0,0,0,0.8883166139712557,1.1844221519616742,cuda,0.08753503113985062,0.09916607290506363,1.1912111043930054
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0,0,1,0.9097553199389949,1.2130070932519932,cuda,0.04737638309597969,0.11246486753225327,1.216204285621643
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,0,0,0.09663824795279652,0.12885099727039537,cuda,0.09393983334302902,0.20610809326171875,1.3876798152923584
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,0,1,0.09703549393452704,0.1293806585793694,cuda,0.12830141186714172,0.22717402875423431,1.4131027460098267
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,0,0,0.14053451095242053,0.18737934793656072,cuda,0.15789155662059784,0.21179009974002838,1.39247727394104
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,0,1,0.13910886703524739,0.18547848938032985,cuda,0.15546202659606934,0.17739762365818024,1.3348984718322754
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,0,0,0.23095662496052682,0.3079421666140358,cuda,0.13684499263763428,0.15806475281715393,1.2912116050720215
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,0,1,0.2199766649864614,0.29330221998194855,cuda,0.10654506832361221,0.19108088314533234,1.345778465270996
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,0,0,0.47507786797359586,0.6334371572981278,cuda,0.07301189750432968,0.10730607807636261,1.1919169425964355
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,0,1,0.4727856050012633,0.6303808066683511,cuda,0.08396473526954651,0.09910009056329727,1.1763240098953247
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0,0,0,0.8977362549630925,1.1969816732841234,cuda,0.06948424130678177,0.028292983770370483,1.0348068475723267
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0,0,1,0.887939840904437,1.1839197878725827,cuda,0.03332734853029251,0.04969312623143196,1.0706936120986938
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,0,0,0.013734548003412783,0.018312730671217043,cuda,0.09477624297142029,0.8903091549873352,2.444188356399536
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,0,1,0.013638678938150406,0.018184905250867207,cuda,0.1607653796672821,1.026151418685913,2.5771608352661133
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,0,0,0.027701723971404135,0.03693563196187218,cuda,0.17160095274448395,0.5241712927818298,1.9403493404388428
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,0,1,0.028352690977044404,0.03780358796939254,cuda,0.16959108412265778,0.39973774552345276,1.7795369625091553
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,0,0,0.056617891998030245,0.07549052266404033,cuda,0.13974489271640778,0.32599878311157227,1.6147058010101318
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,0,1,0.056613249937072396,0.07548433324942987,cuda,0.10896820574998856,0.3478691577911377,1.6573731899261475
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,0,0,0.1438182870624587,0.19175771608327827,cuda,0.09877075999975204,0.2254895120859146,1.434295654296875
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,0,1,0.14291426702402532,0.19055235603203377,cuda,0.07120905071496964,0.2366647869348526,1.4564883708953857
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0,0,0,0.2830401019891724,0.37738680265222985,cuda,0.1276630014181137,0.18610422313213348,1.3586540222167969
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0,0,1,0.28755066101439297,0.383400881352524,cuda,0.06774607300758362,0.20550890266895294,1.3907650709152222
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,0,0,0.01375558809377253,0.01834078412503004,cuda,0.1222253143787384,1.4429774284362793,2.8906967639923096
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,0,1,0.013942732010036707,0.01859030934671561,cuda,0.16970451176166534,1.5643965005874634,3.002098560333252
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,0,0,0.027945686015300453,0.03726091468706727,cuda,0.1448516845703125,0.4779898524284363,1.8049519062042236
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,0,1,0.028071594890207052,0.037428793186942734,cuda,0.14163587987422943,0.3861459195613861,1.6862872838974
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,0,0,0.056547656073234975,0.0753968747643133,cuda,0.13080987334251404,0.25453805923461914,1.4644999504089355
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,0,1,0.05759500293061137,0.07679333724081516,cuda,0.10401751846075058,0.28039756417274475,1.5019559860229492
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,0,0,0.14469877490773797,0.19293169987698397,cuda,0.09261791408061981,0.19756574928760529,1.3651014566421509
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,0,1,0.1451749880798161,0.19356665077308813,cuda,0.08805406838655472,0.17579685151576996,1.3281545639038086
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,0,0,0,0.29231573711149395,0.3897543161486586,cuda,0.11155226826667786,0.16146279871463776,1.299066185951233
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,0,0,1,0.2861506490735337,0.3815341987647116,cuda,0.0637136921286583,0.19816754758358002,1.359135389328003
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,1,0,0.01331718300934881,0.01775624401246508,cuda,0.338702917098999,0.15151192247867584,1.3001490831375122
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,1,1,0.013268121052533388,0.017690828070044518,cuda,0.33869287371635437,0.16332803666591644,1.329103946685791
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,1,0,0.02746193902567029,0.03661591870089372,cuda,0.31040632724761963,0.17948251962661743,1.3537331819534302
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,1,1,0.02736224594991654,0.03648299459988872,cuda,0.29866212606430054,0.1516927182674408,1.3028706312179565
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,1,0,0.055166029022075236,0.07355470536276698,cuda,0.2777697741985321,0.25074732303619385,1.4729329347610474
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,1,1,0.055587353999726474,0.0741164719996353,cuda,0.2983241677284241,0.21426890790462494,1.412742018699646
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,1,0,0.14095518598333,0.18794024797777334,cuda,0.30684587359428406,0.2264484316110611,1.4454416036605835
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,1,1,0.1402140319114551,0.18695204254860678,cuda,0.311554491519928,0.22327056527137756,1.4442209005355835
