training_scheme,variant,variant_label,timesteps,nominal_coverage,analytical_coverage_median,analytical_coverage_lo,analytical_coverage_hi
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.7000000000000001,0.8180923461914062,0.67991504073143,0.8488597810268402
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.9022201597690582,0.794713419675827,0.9242612659931183
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9673966467380524,0.9106281876564026,0.9774851620197296
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,1.0,1.0,1.0,1.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.0,0.0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.1,0.11767785996198654,0.09616546779870987,0.12394932061433793
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.2,0.23463311791419983,0.19266210198402406,0.24683359265327454
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.30000000000000004,0.3501088470220566,0.28982149064540863,0.36754612922668456
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.4,0.463273748755455,0.38797534704208375,0.4848903775215149
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.5731643438339233,0.487449511885643,0.5975126981735229
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.6000000000000001,0.6785947680473328,0.5885486125946044,0.7037991106510162
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.7000000000000001,0.7779875993728638,0.6915097594261169,0.8016901195049286
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.8689473271369934,0.7963545799255372,0.888288676738739
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9473602771759033,0.9023482620716095,0.9587776601314545
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,1.0,1.0,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.0,0.0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.1,0.10752762854099274,0.06200256794691086,0.13026270270347595
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.2,0.21501552313566208,0.12554117143154145,0.25909562408924103
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.30000000000000004,0.32239215075969696,0.1923409715294838,0.3850206732749939
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.4,0.4295146018266678,0.2642324954271317,0.5064562916755676
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.5363096594810486,0.3433955669403076,0.6216429769992828
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.6000000000000001,0.6419967114925385,0.433732932806015,0.7285324692726135
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.7000000000000001,0.7451907992362976,0.5400332450866699,0.8245980679988861
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.8,0.8447820246219635,0.6673752844333649,0.9064539074897766
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.9,0.9346408247947693,0.8275430798530579,0.9688794195652009
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,1.0,1.0,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.0,0.0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.1,0.11827141046524048,0.07716679871082306,0.13863942176103594
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.2,0.2358410805463791,0.1555870458483696,0.27525331974029543
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.30000000000000004,0.3520941436290741,0.23654720932245255,0.4077730119228363
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.4,0.46677254140377045,0.3214057296514511,0.5340381503105164
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.5,0.5787613093852997,0.4116426378488541,0.6517344355583191
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.6000000000000001,0.6867735683917999,0.5089621216058731,0.7583068609237671
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.7000000000000001,0.7888250648975372,0.6189468681812287,0.8508206605911255
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.8,0.8802910149097443,0.7370429575443268,0.9257066130638123
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.9,0.9560136795043945,0.8692420840263366,0.9781800091266633
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,1.0,1.0,1.0,1.0
