mean_error_sigma,observation,sample_mean,sample_std,std_ratio,x
0.3293280601501465,0,-1.3021397590637207,0.7112247943878174,1.0058237314224243,-3.0700197219848633
0.25496095418930054,1,-0.9728653430938721,0.7268897891044617,1.027977466583252,-2.306299924850464
0.09407433867454529,2,-0.4831124246120453,0.7329924702644348,1.0366078615188599,-1.0992660522460938
0.35016342997550964,3,-1.341277837753296,0.7240394949913025,1.0239465236663818,-3.1777615547180176
0.2724083960056305,4,-1.2387588024139404,0.7136701345443726,1.0092819929122925,-2.8627612590789795
0.18829071521759033,5,-0.7595149874687195,0.7341232895851135,1.0382071733474731,-1.7853132486343384
0.21475960314273834,6,-0.8675652742385864,0.7125967144966125,1.0077639818191528,-2.038846492767334
0.19088181853294373,7,-0.8392055034637451,0.7244235873222351,1.0244896411895752,-1.9483586549758911
0.3518282473087311,8,-1.3507343530654907,0.7172404527664185,1.0143312215805054,-3.199028968811035
0.053816426545381546,9,-0.31753697991371155,0.7269656658172607,1.0280847549438477,-0.7111818790435791
