mean_error_sigma,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,time_sampling
0.14435835182666779,1,0,1.369666937040165,0.6506025195121765,0.7753220796585083,1.0964710712432861,uniform
0.13143014907836914,1,0,1.3852902309736237,0.659744143486023,0.7457898259162903,1.05470609664917,log_sigma
0.190926656126976,1,0,1.3980295439832844,0.6176737546920776,0.7468823790550232,1.0562511682510376,mixture
0.12326035648584366,2,0,2.1916165580041707,0.33972832560539246,0.6660683751106262,1.153664231300354,uniform
0.07958437502384186,2,0,2.21479277999606,0.3649446666240692,0.6312655806541443,1.093384027481079,log_sigma
0.03386076167225838,2,0,2.211628891993314,0.39134320616722107,0.6104411482810974,1.0573151111602783,mixture
0.04948202520608902,5,0,4.735492761945352,0.12777464091777802,0.4806995391845703,1.1774685382843018,uniform
0.0351412259042263,5,0,4.753672248974908,0.16232194006443024,0.41932883858680725,1.0271416902542114,log_sigma
0.07446140050888062,5,0,4.729275205987506,0.17837433516979218,0.46998560428619385,1.1512248516082764,mixture
0.021258585155010223,10,0,9.027540441951714,0.13261540234088898,0.3617914021015167,1.1999263763427734,uniform
0.14921168982982635,10,0,9.09230627398938,0.18401412665843964,0.3153700530529022,1.0459641218185425,log_sigma
0.1603689044713974,10,0,9.039363641000818,0.1873781532049179,0.4249473214149475,1.4093908071517944,mixture
0.29943034052848816,25,0,22.06186554202577,0.2951039969921112,0.18567173182964325,0.9467437863349915,uniform
0.8883786797523499,25,0,22.09940402401844,0.5280525088310242,0.25686001777648926,1.3097342252731323,log_sigma
0.25226131081581116,25,0,22.103087548050098,0.40329962968826294,0.2738496959209442,1.3963649272918701,mixture
0.8218845129013062,50,0,43.32752150000306,0.28751787543296814,0.1036553904414177,0.7402475476264954,uniform
1.6298487186431885,50,0,43.29797932197107,0.6308292150497437,0.18888239562511444,1.3488900661468506,log_sigma
0.32085251808166504,50,0,43.34496784204384,0.3576763868331909,0.1519973874092102,1.08547842502594,mixture
0.26264819502830505,1,1,1.4251251310342923,-1.1906803846359253,0.7784835696220398,1.1009420156478882,uniform
0.38102370500564575,1,1,1.4062286670086905,-1.1069762706756592,0.802143394947052,1.1344020366668701,log_sigma
0.36392927169799805,1,1,1.3975371710257605,-1.1190638542175293,0.756191611289978,1.0694164037704468,mixture
0.15002524852752686,2,1,2.2266522319987416,-1.153849482536316,0.6454988718032837,1.1180368661880493,uniform
0.22257842123508453,2,1,2.2034616069868207,-1.1119608879089355,0.6490768194198608,1.1242340803146362,log_sigma
0.26697954535484314,2,1,2.210006719978992,-1.0863258838653564,0.6080127358436584,1.0531089305877686,mixture
0.6458644270896912,5,1,4.765979331976268,-2.443157434463501,0.6770864129066467,1.6585161685943604,uniform
0.028249433264136314,5,1,4.727708705002442,-2.1679515838623047,0.45499977469444275,1.1145172119140625,log_sigma
0.04710166156291962,5,1,4.729791594028939,-2.198713541030884,0.4908769726753235,1.2023980617523193,mixture
1.7306220531463623,10,1,9.044187743973453,-2.852717399597168,0.6769940853118896,2.245335340499878,uniform
0.4271564781665802,10,1,9.07075640000403,-2.459707736968994,0.3282216489315033,1.088587999343872,log_sigma
0.9378211498260498,10,1,9.054254064976703,-2.6136789321899414,0.3903824985027313,1.2947522401809692,mixture
3.967134952545166,25,1,22.0723145439988,-3.6329309940338135,0.6011253595352173,3.065150022506714,uniform
1.8168894052505493,25,1,22.138531839009374,-3.211233139038086,0.19481967389583588,0.9933893084526062,log_sigma
2.2280735969543457,25,1,22.061820620961953,-3.291872978210449,0.2258446365594864,1.1515861749649048,mixture
2.3452799320220947,50,1,43.284996352973394,-2.5696849822998047,0.1714017540216446,1.2240532636642456,uniform
2.8986308574676514,50,1,43.23084273299901,-3.3039793968200684,0.13356560468673706,0.9538491368293762,log_sigma
0.3709152936935425,50,1,43.26360227999976,-2.950028419494629,0.12876726686954498,0.919582188129425,mixture
0.43801653385162354,1,2,1.4118187470012344,1.3401521444320679,0.8182640075683594,1.1572000980377197,uniform
0.4326144754886627,1,2,1.4028396009816788,1.3439719676971436,0.7859464883804321,1.1114962100982666,log_sigma
0.4539974331855774,1,2,1.4051372159738094,1.3288519382476807,0.7563073635101318,1.0695801973342896,mixture
0.377261757850647,2,2,2.20262775500305,1.9063082933425903,0.6769995093345642,1.1725975275039673,uniform
0.38149166107177734,2,2,2.2228595239575952,1.903866171836853,0.6435608267784119,1.1146800518035889,log_sigma
0.3170013725757599,2,2,2.2113913660286926,1.9410996437072754,0.6549538969993591,1.134413480758667,mixture
0.01043965294957161,5,2,4.730761384009384,1.9019747972488403,0.47393593192100525,1.1609011888504028,uniform
0.1879674792289734,5,2,4.753847006009892,1.829499363899231,0.4260347783565521,1.0435677766799927,log_sigma
0.4093431830406189,5,2,4.753562852973118,2.073350429534912,0.5289046764373779,1.295546531677246,mixture
0.004207158461213112,10,2,9.032088997017127,1.7878801822662354,0.32035937905311584,1.0625118017196655,uniform
