divergence_loss,epoch,score_loss,split,stage,total_loss
0.0,1,17.06599812588449,train,stage1_score,17.06599812588449
0.0,2,15.001819395076083,train,stage1_score,15.001819395076083
0.0,3,12.68630181328725,train,stage1_score,12.68630181328725
0.0,4,11.843752881227914,train,stage1_score,11.843752881227914
0.0,5,11.246593402603926,train,stage1_score,11.246593402603926
0.0,6,11.409847984206205,train,stage1_score,11.409847984206205
0.0,7,11.238678883698027,train,stage1_score,11.238678883698027
0.0,8,11.40540520484838,train,stage1_score,11.40540520484838
0.0,9,11.41594690387532,train,stage1_score,11.41594690387532
0.0,10,11.065392445709746,train,stage1_score,11.065392445709746
0.0,11,11.304005331912283,train,stage1_score,11.304005331912283
0.0,12,11.342844682898225,train,stage1_score,11.342844682898225
0.0,13,11.38392905596286,train,stage1_score,11.38392905596286
0.0,14,11.25100681606659,train,stage1_score,11.25100681606659
0.0,15,11.430785983295763,train,stage1_score,11.430785983295763
0.0,16,11.22696746675308,train,stage1_score,11.22696746675308
0.0,17,11.056730647545077,train,stage1_score,11.056730647545077
0.0,18,11.198264426430741,train,stage1_score,11.198264426430741
0.0,19,10.863957450888252,train,stage1_score,10.863957450888252
0.0,20,11.191735448136841,train,stage1_score,11.191735448136841
0.0,21,11.22284222726768,train,stage1_score,11.22284222726768
0.0,22,10.8652432678783,train,stage1_score,10.8652432678783
0.0,23,11.170112442835576,train,stage1_score,11.170112442835576
0.0,24,11.19669843124131,train,stage1_score,11.19669843124131
0.0,25,11.302557069703012,train,stage1_score,11.302557069703012
0.0,26,10.749529442544711,train,stage1_score,10.749529442544711
0.0,27,11.08527086548886,train,stage1_score,11.08527086548886
0.0,28,11.09079604499084,train,stage1_score,11.09079604499084
0.0,29,11.13419991563269,train,stage1_score,11.13419991563269
0.0,1,16.056352294921876,validation,stage1_score,16.056352294921876
0.0,2,13.261095458984375,validation,stage1_score,13.261095458984375
0.0,3,11.694201171875,validation,stage1_score,11.694201171875
0.0,4,12.049502197265625,validation,stage1_score,12.049502197265625
0.0,5,11.8470927734375,validation,stage1_score,11.8470927734375
0.0,6,10.73906396484375,validation,stage1_score,10.73906396484375
0.0,7,11.533807861328125,validation,stage1_score,11.533807861328125
0.0,8,11.904719970703123,validation,stage1_score,11.904719970703123
0.0,9,10.877249755859374,validation,stage1_score,10.877249755859374
0.0,10,10.584678466796875,validation,stage1_score,10.584678466796875
0.0,11,11.397298095703125,validation,stage1_score,11.397298095703125
0.0,12,10.925979736328124,validation,stage1_score,10.925979736328124
0.0,13,11.449359619140624,validation,stage1_score,11.449359619140624
0.0,14,11.261703369140626,validation,stage1_score,11.261703369140626
0.0,15,11.420489746093748,validation,stage1_score,11.420489746093748
0.0,16,10.670644775390624,validation,stage1_score,10.670644775390624
0.0,17,10.9245263671875,validation,stage1_score,10.9245263671875
0.0,18,10.92638623046875,validation,stage1_score,10.92638623046875
0.0,19,10.159107177734374,validation,stage1_score,10.159107177734374
0.0,20,11.7129775390625,validation,stage1_score,11.7129775390625
0.0,21,11.372748779296874,validation,stage1_score,11.372748779296874
0.0,22,10.91347998046875,validation,stage1_score,10.91347998046875
0.0,23,10.5513046875,validation,stage1_score,10.5513046875
0.0,24,11.054518798828125,validation,stage1_score,11.054518798828125
0.0,25,11.097570556640624,validation,stage1_score,11.097570556640624
0.0,26,10.568513916015624,validation,stage1_score,10.568513916015624
0.0,27,11.325015380859377,validation,stage1_score,11.325015380859377
0.0,28,10.906033935546875,validation,stage1_score,10.906033935546875
0.0,29,10.32068408203125,validation,stage1_score,10.32068408203125
0.0005547691063099083,1,11.118033945223706,train,stage2_joint,11.118144881253862
0.00026021450679054707,2,11.065881791087868,train,stage2_joint,11.065985889758094
8.102677190441363e-05,3,11.30141781683022,train,stage2_joint,11.301466419198418
1.9303674190849434e-05,4,11.184261332797465,train,stage2_joint,11.18427678286019
1.13888216561196e-05,5,11.043306046286544,train,stage2_joint,11.043317410905482
7.79682853772615e-06,6,11.17043222545904,train,stage2_joint,11.17044009327215
6.551949560151752e-06,7,11.125824833993857,train,stage2_joint,11.125831348074357
5.46546666594052e-06,8,11.207420966046003,train,stage2_joint,11.207426441591338
4.945322548132036e-06,9,11.022257288970517,train,stage2_joint,11.022262229757795
5.003700369980438e-06,10,11.148885984205256,train,stage2_joint,11.148891017935371
4.3048547933084994e-06,11,11.01234107637136,train,stage2_joint,11.012345357129803
3.948062933663311e-06,12,11.234949454075872,train,stage2_joint,11.234953406166895
3.676322889833053e-06,13,11.069636789418883,train,stage2_joint,11.069640455946411
9.23355482518673e-05,1,11.277300537109374,validation,stage2_joint,11.277318847656248
5.610544048249722e-05,2,11.285146240234376,validation,stage2_joint,11.285168701171877
1.0098252678290008e-05,3,10.701993164062502,validation,stage2_joint,10.7019990234375
3.061771742068231e-06,4,10.93886669921875,validation,stage2_joint,10.938869140625002
2.040004503214732e-06,5,10.76193701171875,validation,stage2_joint,10.761938964843749
1.4014823827892542e-06,6,11.42937939453125,validation,stage2_joint,11.429380615234376
1.2455855612643063e-06,7,11.318907958984376,validation,stage2_joint,11.318908935546876
9.507319919066503e-07,8,11.076716552734375,validation,stage2_joint,11.076717529296875
9.378990798722952e-07,9,11.266112548828124,validation,stage2_joint,11.266113525390624
9.837197285378352e-07,10,11.123967529296875,validation,stage2_joint,11.123968505859375
9.815013036131858e-07,11,11.67900439453125,validation,stage2_joint,11.679005371093751
7.58458991185762e-07,12,10.77917529296875,validation,stage2_joint,10.77917626953125
6.779707764508204e-07,13,10.924088623046876,validation,stage2_joint,10.924089599609374
