true_model,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra
Logistic Prey,96.4010238647461,0.0,3.5989753901958466,2.6026384281237214e-11
Satiated Predator,0.0,25.0,2.4254634496290572e-26,75.0
Rosenzweig-MacArthur,22.5022554397583,0.0,77.4977445602417,1.61952471832566e-10
Lotka-Volterra,3.5127814612678776e-05,0.0,0.00010372325505159097,99.99985694885254
