divergence_loss,epoch,score_loss,split,stage,total_loss
0.0,1,18.078006445351292,train,stage1_score,18.078006445351292
0.0,2,16.479082220691744,train,stage1_score,16.479082220691744
0.0,3,15.082554372690492,train,stage1_score,15.082554372690492
0.0,4,14.034552536441781,train,stage1_score,14.034552536441781
0.0,5,12.673080762227375,train,stage1_score,12.673080762227375
0.0,6,12.609410892098637,train,stage1_score,12.609410892098637
0.0,7,12.388432739818162,train,stage1_score,12.388432739818162
0.0,8,12.61046566936256,train,stage1_score,12.61046566936256
0.0,9,12.535979424492787,train,stage1_score,12.535979424492787
0.0,10,12.187190497662389,train,stage1_score,12.187190497662389
0.0,11,12.460341941165385,train,stage1_score,12.460341941165385
0.0,12,12.447015414803715,train,stage1_score,12.447015414803715
0.0,13,12.472657389559988,train,stage1_score,12.472657389559988
0.0,14,12.38791319744735,train,stage1_score,12.38791319744735
0.0,15,12.569322941666943,train,stage1_score,12.569322941666943
0.0,16,12.261502330586062,train,stage1_score,12.261502330586062
0.0,17,12.135443744012864,train,stage1_score,12.135443744012864
0.0,18,12.321982041590632,train,stage1_score,12.321982041590632
0.0,19,11.980494200173071,train,stage1_score,11.980494200173071
0.0,20,12.215098669299973,train,stage1_score,12.215098669299973
0.0,21,12.354774900748906,train,stage1_score,12.354774900748906
0.0,22,11.844879608369817,train,stage1_score,11.844879608369817
0.0,23,12.242064731942733,train,stage1_score,12.242064731942733
0.0,24,12.345297355436335,train,stage1_score,12.345297355436335
0.0,25,12.323419282665359,train,stage1_score,12.323419282665359
0.0,26,11.903052645214533,train,stage1_score,11.903052645214533
0.0,27,12.101771858452404,train,stage1_score,12.101771858452404
0.0,28,12.230614495142705,train,stage1_score,12.230614495142705
0.0,29,12.105590941542285,train,stage1_score,12.105590941542285
0.0,30,11.982033462847694,train,stage1_score,11.982033462847694
0.0,31,11.969907165247168,train,stage1_score,11.969907165247168
0.0,32,12.347927077341888,train,stage1_score,12.347927077341888
0.0,33,12.15632559889454,train,stage1_score,12.15632559889454
0.0,34,12.006579787044203,train,stage1_score,12.006579787044203
0.0,35,12.151307604407187,train,stage1_score,12.151307604407187
0.0,36,12.065227861458299,train,stage1_score,12.065227861458299
0.0,37,12.178122585102663,train,stage1_score,12.178122585102663
0.0,38,12.270246920612571,train,stage1_score,12.270246920612571
0.0,39,12.187222809441346,train,stage1_score,12.187222809441346
0.0,40,11.965966962825107,train,stage1_score,11.965966962825107
