analytic_mean,analytic_std,compass_mean,compass_std,index,parameter,shared_synchronization_max_abs,truth
0.6284215316772461,0.20000000000000007,0.7433958,0.28474644,-1,global,0.0,0.3736945390701294
0.45208178634643736,0.4749736834815169,0.3747433,0.60017115,0,local,0.0,1.1226569414138794
0.5912049400329572,0.47497368348151675,0.50891805,0.60944134,1,local,0.0,0.47105762362480164
-0.4503133547782906,0.47497368348151664,-0.50748867,0.60933536,2,local,0.0,-0.13286744058132172
1.0608242141723638,0.47497368348151675,0.9200545,0.6160297,3,local,0.0,1.9164756536483765
0.6418962585449214,0.4749736834815167,0.53758657,0.6099078,4,local,0.0,1.5286364555358887
1.0149419891357405,0.4749736834815166,0.88942546,0.6068855,5,local,0.0,1.1140800714492798
0.9152645217895501,0.47497368348151686,0.8067455,0.6166429,6,local,0.0,1.3876264095306396
0.9121540176391597,0.4749736834815168,0.8009098,0.6054051,7,local,0.0,1.6490685939788818
0.3964999305725091,0.47497368348151686,0.3030987,0.6097601,8,local,0.0,0.5166643857955933
-0.8689508092880261,0.47497368348151675,-0.9250394,0.6016338,9,local,0.0,-0.023321468383073807
-0.5985651267051694,0.4749736834815167,-0.66571474,0.60045266,10,local,0.0,-0.6526587605476379
0.5739823448181157,0.47497368348151664,0.464624,0.6020625,11,local,0.0,1.346631646156311
0.5089601623535157,0.4749736834815167,0.4206344,0.61713535,12,local,0.0,0.326292484998703
-1.358092869567871,0.4749736834815167,-1.398107,0.61597115,13,local,0.0,-0.9350942969322205
0.7228924858093267,0.47497368348151675,0.63273716,0.61123013,14,local,0.0,1.0786269903182983
-0.026193321990966828,0.47497368348151664,-0.10132546,0.5966237,15,local,0.0,0.06282173097133636
-0.5387073171615598,0.4749736834815167,-0.61516124,0.604223,16,local,0.0,-0.7020725011825562
-0.5682735097885133,0.47497368348151675,-0.63204634,0.605525,17,local,0.0,-0.11026689410209656
0.05616437072753863,0.47497368348151664,-0.03157327,0.61879534,18,local,0.0,-0.27141815423965454
-0.2280193222045902,0.47497368348151675,-0.2997611,0.60119826,19,local,0.0,0.6068553328514099
1.1898250686645504,0.4749736834815167,1.0734386,0.61075914,20,local,0.0,1.4031208753585815
-0.8143332851409916,0.4749736834815167,-0.872764,0.600314,21,local,0.0,-0.4370165765285492
-0.12476099853515643,0.4749736834815167,-0.20306446,0.6121202,22,local,0.0,0.05383425951004028
-1.9438626182556162,0.4749736834815168,-1.9846191,0.6028822,23,local,0.0,-1.5029624700546265
-0.51222924118042,0.47497368348151664,-0.5835834,0.6037448,24,local,0.0,-1.055433988571167
0.8225167381286617,0.4749736834815167,0.72236603,0.5971504,25,local,0.0,1.4259092807769775
-0.2616967571258547,0.4749736834815167,-0.33069396,0.60028344,26,local,0.0,-0.2452048510313034
-0.9453799140930179,0.47497368348151675,-1.0017911,0.60240525,27,local,0.0,-0.34291890263557434
-0.06412190322876032,0.47497368348151675,-0.14464615,0.59014136,28,local,0.0,0.15269039571285248
0.07272187347412074,0.47497368348151675,-0.008816596,0.6074313,29,local,0.0,0.775449812412262
