bias,correlation,lambda,mae,mask,n_scalar_scores,nrmse,rmse,stage,time,time_level
0.5691986365420301,0.9909371276122954,0.031673744320869446,3.397986756277379,posterior,512,1.6248134842555808,4.354930900597703,stage1,0.001000000280328095,0
6.523614611745471e-05,0.9945608071331952,0.031673744320869446,1.5561972122523207,posterior,512,0.7345723434375513,1.9688486267248753,stage2,0.001000000280328095,0
0.4260251950087875,0.991093454961487,0.04065089309201292,2.2346498195450692,posterior,512,1.0768515721197032,2.881401946679107,stage1,0.0016437674639746547,1
-0.01897477552147418,0.9947297153592449,0.04065089309201292,0.8369514713269102,posterior,512,0.3993814607525484,1.068651008434445,stage2,0.0016437674639746547,1
0.31694481715400796,0.991329491973557,0.052172395294908476,1.349588589382602,posterior,512,0.6605416088336376,1.7621072034323821,stage1,0.002698383992537856,2
-0.031701972436922056,0.9949903260296739,0.052172395294908476,0.33107588390034454,posterior,512,0.16653387326130978,0.4442574604912695,stage2,0.002698383992537856,2
0.23496629128186283,0.9916792646922089,0.06695938572978115,0.6990798196578839,posterior,512,0.3545908985253204,0.9409354788850921,stage1,0.004420069046318531,3
-0.03838036956443761,0.9953804664189554,0.06695938572978115,0.20423986174882336,posterior,512,0.10761693965347498,0.2855702080062266,stage2,0.004420069046318531,3
0.1745507777169834,0.992179427321448,0.08593738723257681,0.3220106994086854,posterior,512,0.1640392840046223,0.4313790387885955,stage1,0.007215052843093872,4
-0.03819607163662369,0.9959576661440827,0.08593738723257681,0.3598043362309089,posterior,512,0.1831815965369792,0.48171815377867516,stage2,0.007215052843093872,4
0.13095030102160057,0.9928500754801398,0.11029423946876456,0.31377931770297257,posterior,512,0.153527040590789,0.39770881115182927,stage1,0.011711972765624523,5
-0.02928249188606309,0.9968333708558075,0.11029423946876456,0.4358712287428539,posterior,512,0.21968811458571358,0.569097785900479,stage2,0.011711972765624523,5
0.0993126408202657,0.9936417058822704,0.1415544462280532,0.4341398016842764,posterior,512,0.2219240346646507,0.5610243248026302,stage1,0.018846645951271057,6
-0.013071894364180874,0.9979888309792678,0.1415544462280532,0.3690747217288414,posterior,512,0.18911455338585242,0.4780819021426555,stage2,0.018846645951271057,6
0.07384817436393745,0.9943233238798145,0.18167459464286426,0.49777737472741196,posterior,512,0.26095623710797716,0.6348344215340272,stage1,0.029928099364042282,7
0.008317845783202512,0.9987216879720547,0.18167459464286426,0.22835387282649866,posterior,512,0.12374735287218161,0.30104311760317415,stage2,0.029928099364042282,7
0.04913902718502639,0.9943894888277166,0.2331658186523851,0.46358260210054464,posterior,512,0.25911906677928187,0.5947869183921187,stage1,0.046615999191999435,8
0.013904789920650255,0.9981092502748586,0.2331658186523851,0.19316590390806937,posterior,512,0.1128564192479525,0.2590528078832436,stage2,0.046615999191999435,8
0.02436117355612351,0.993600832949566,0.2992509717426927,0.3695941191030417,posterior,512,0.23080286537355368,0.48730008716890766,stage1,0.07070982456207275,9
0.004310579160840834,0.9960183374036385,0.2992509717426927,0.2286731538559103,posterior,512,0.14436164584256986,0.30479449416312127,stage2,0.07070982456207275,9
0.003075421712162155,0.9916822016305308,0.38406634645901117,0.2877469116230583,posterior,512,0.20766455367485093,0.3914047811472938,stage1,0.10370559990406036,10
-0.0008225016669375128,0.9924885223963447,0.38406634645901117,0.26525390497956625,posterior,512,0.18529746169313177,0.34924743369880434,stage2,0.10370559990406036,10
-0.013513908270395591,0.9868978929019694,0.49292056638400883,0.2666233367634685,posterior,512,0.22103999750052292,0.360465934391728,stage1,0.1462685614824295,11
-0.0006713385971563223,0.9875323556627641,0.49292056638400883,0.2815052117961114,posterior,512,0.22477614938284438,0.36655874788484816,stage2,0.1462685614824295,11
-0.017873813112060863,0.9797674969340163,0.6326268547204326,0.26235350095469856,posterior,512,0.25339228540831166,0.34730196645561856,stage1,0.19795472919940948,12
0.000773008703703405,0.9813868344777144,0.6326268547204326,0.2695763193176486,posterior,512,0.2552781874284905,0.34988680237157915,stage2,0.19795472919940948,12
-0.010378938650926022,0.9729919775253156,0.8119294762833634,0.23667234077993432,posterior,512,0.2747513358087837,0.3089677510801513,stage1,0.2573998272418976,13
0.000995995764999944,0.9749307308569519,0.8119294762833634,0.23552367875981012,posterior,512,0.27200599119638724,0.3058805124018197,stage2,0.2573998272418976,13
-0.006746469120980488,0.9666123376035046,1.0420510440536082,0.19902792107361555,posterior,512,0.2858029105822838,0.2589573578856702,stage1,0.322824090719223,14
-7.94157953448258e-05,0.9697205314825883,1.0420510440536082,0.19132454399100296,posterior,512,0.27644060703116086,0.2504744583015373,stage2,0.322824090719223,14
-0.006460870181348954,0.9638050719810024,1.3373949463983317,0.15634995697958937,posterior,512,0.2828938715551578,0.2039362691855979,stage1,0.3925137519836426,15
-0.0015788895238478349,0.9674716361773162,1.3373949463983317,0.14800936200919818,posterior,512,0.27097944755171516,0.1953472419033873,stage2,0.3925137519836426,15
-0.005562248616239487,0.9658209314548051,1.7164468601211647,0.11655893812460336,posterior,512,0.26704636444307644,0.151903861572167,stage1,0.46508052945137024,16
-0.002496560655355355,0.9692603937695609,1.7164468601211647,0.10955397140808466,posterior,512,0.2554113715424629,0.1452855338722043,stage2,0.46508052945137024,16
-0.003834817480328788,0.9713127318899138,2.2029317753547932,0.08313586137784494,posterior,512,0.24133602518871586,0.1077580058731565,stage1,0.5395151376724243,17
-0.002295934934029596,0.9744584785440239,2.2029317753547932,0.07724972589428082,posterior,512,0.22977165050600326,0.10259444210763628,stage2,0.5395151376724243,17
-0.0026725452623281203,0.9780660585329608,2.8272989508834834,0.05695434447204435,posterior,512,0.21009104421554406,0.07340000577302894,stage1,0.6151322722434998,18
-0.0013849085314915823,0.9809992554160516,2.8272989508834834,0.05188207837509809,posterior,512,0.19718276913474853,0.06889021113143451,stage2,0.6151322722434998,18
-0.0021872955161806717,0.984361955845663,3.628627743761805,0.03770762908458138,posterior,512,0.177205870681019,0.04835065373385576,stage1,0.6914862394332886,19
-0.0006489379012331998,0.9869725062769614,3.628627743761805,0.0335540725111675,posterior,512,0.16265668645684928,0.04438090619767407,stage2,0.6914862394332886,19
-0.0018959114358062803,0.9893904180725156,4.6570735997632795,0.024336376937125037,posterior,512,0.1457499245569997,0.031023200156515947,stage1,0.7682946920394897,20
