bias,comparison,correlation,lambda,mae,mask,n,nrmse,rmse,time,time_level
-0.018014186760410666,head_vs_exact,0.8701184465418087,0.031673744320869446,0.03461413108743727,posterior,256,0.05946681609244164,0.043478738797910504,0.001000000280328095,0
-0.30330438897126244,exact_vs_analytic,0.0,0.031673744320869446,0.30330438897126244,posterior,256,0.7292985327983832,0.30997709572963816,0.001000000280328095,0
-0.3213185757316731,head_vs_analytic,0.0,0.031673744320869446,0.3213185757316731,posterior,256,0.7596632502337203,0.3228831506577083,0.001000000280328095,0
-0.018437933875247836,head_vs_exact,0.8692261431336415,0.04065089309201292,0.034826293820515275,posterior,256,0.05833249585789579,0.04370571989574081,0.0016437674639746547,1
-0.2034032416712228,exact_vs_analytic,0.0,0.04065089309201292,0.2034032416712228,posterior,256,0.3928839082192556,0.21336456994537883,0.0016437674639746547,1
-0.22184117554647065,head_vs_analytic,0.0,0.04065089309201292,0.22184117554647065,posterior,256,0.4128367768027122,0.22420043045130225,0.0016437674639746547,1
-0.01901863282546401,head_vs_exact,0.8672699157373036,0.052172395294908476,0.03514699498191476,posterior,256,0.05650279676990839,0.0440671107333837,0.002698383992537856,2
-0.08525839098719912,exact_vs_analytic,0.0,0.052172395294908476,0.08925070288197992,posterior,256,0.1551090490748518,0.107323494101113,0.002698383992537856,2
-0.10427702381266313,head_vs_analytic,0.0,0.052172395294908476,0.10427702381266313,posterior,256,0.1583265210549452,0.10954973645857477,0.002698383992537856,2
-0.019704457139596343,head_vs_exact,0.8630924005109393,0.06695938572978115,0.035583648132160306,posterior,256,0.05356748145781085,0.04460105047222218,0.004420069046318531,3
0.0475558984898955,exact_vs_analytic,0.0,0.06695938572978115,0.06712019377118451,posterior,256,0.09304132122972422,0.08164571463742876,0.004420069046318531,3
0.027851441350299155,head_vs_analytic,0.0,0.06695938572978115,0.03796742459904591,posterior,256,0.05135432456317775,0.04506449901254843,0.004420069046318531,3
-0.020391624188050628,head_vs_exact,0.8545428266171429,0.08593738723257681,0.03611656534485519,posterior,256,0.048924720048560605,0.045257219507372784,0.007215052843093872,4
0.18216963347399107,exact_vs_analytic,0.0,0.08593738723257681,0.18289886353883486,posterior,256,0.17598282333841653,0.19441043468858735,0.007215052843093872,4
0.16177800928594044,head_vs_analytic,0.0,0.08593738723257681,0.16181387862539398,posterior,256,0.15049101634144232,0.16624931540850205,0.007215052843093872,4
-0.02197319525294006,head_vs_exact,0.8354167836496245,0.11029423946876456,0.03690228960476816,posterior,256,0.04235604337707607,0.046163241987646354,0.011711972765624523,5
0.2868617232307643,exact_vs_analytic,nan,0.11029423946876456,0.2868617232307643,posterior,256,0.21454255396239974,0.29490960752340817,0.011711972765624523,5
0.26488852797782425,head_vs_analytic,nan,0.11029423946876456,0.26488852797782425,posterior,256,0.19509518660206646,0.2681773095728367,0.011711972765624523,5
-0.030741909984499216,head_vs_exact,0.7573374848634661,0.1415544462280532,0.042380519676953554,posterior,256,0.03771570529125453,0.051954195234284815,0.018846645951271057,6
0.3039226846370631,exact_vs_analytic,0.0,0.1415544462280532,0.3039226846370631,posterior,256,0.1848041803267447,0.3104680235369789,0.018846645951271057,6
0.27318077465256385,head_vs_analytic,0.0,0.1415544462280532,0.27318077465256385,posterior,256,0.1644979456016046,0.2763538787733399,0.018846645951271057,6
-0.045483479741960764,head_vs_exact,0.6096952797020501,0.18167459464286426,0.058892623987048864,posterior,256,0.038712070086385844,0.06861025240479217,0.029928099364042282,7
0.22816437452182992,exact_vs_analytic,0.0,0.18167459464286426,0.22816437452182992,posterior,256,0.11858030979853987,0.23707949024309122,0.029928099364042282,7
0.1826808947798691,head_vs_analytic,0.0,0.18167459464286426,0.1826808947798691,posterior,256,0.09410155976994976,0.18813873786669916,0.029928099364042282,7
