stage,epoch,split,total_loss,score_loss,divergence_loss
stage1_score,1,train,9.139013710412222,9.139013710412222,0.0
stage1_score,2,train,5.92114176933113,5.92114176933113,0.0
stage1_score,3,train,5.678156087587557,5.678156087587557,0.0
stage1_score,4,train,5.611989289476438,5.611989289476438,0.0
stage1_score,5,train,5.546012052794552,5.546012052794552,0.0
stage1_score,6,train,5.399600752662209,5.399600752662209,0.0
stage1_score,7,train,5.418597603697911,5.418597603697911,0.0
stage1_score,8,train,5.452994438205534,5.452994438205534,0.0
stage1_score,9,train,5.472592316381157,5.472592316381157,0.0
stage1_score,10,train,5.441131359354004,5.441131359354004,0.0
stage1_score,11,train,5.481778057395955,5.481778057395955,0.0
stage1_score,12,train,5.448019551621069,5.448019551621069,0.0
stage1_score,13,train,5.43603685932696,5.43603685932696,0.0
stage1_score,14,train,5.352706775884799,5.352706775884799,0.0
stage1_score,15,train,5.407804554014864,5.407804554014864,0.0
stage1_score,16,train,5.38135083898559,5.38135083898559,0.0
stage1_score,17,train,5.353981913812935,5.353981913812935,0.0
stage1_score,18,train,5.41042054608045,5.41042054608045,0.0
stage1_score,19,train,5.415288861511309,5.415288861511309,0.0
stage1_score,20,train,5.400652799825839,5.400652799825839,0.0
stage1_score,21,train,5.407116555435883,5.407116555435883,0.0
stage1_score,22,train,5.30598174178082,5.30598174178082,0.0
stage1_score,23,train,5.351203168200715,5.351203168200715,0.0
stage1_score,24,train,5.355729315774824,5.355729315774824,0.0
stage1_score,25,train,5.316176418392249,5.316176418392249,0.0
stage1_score,26,train,5.362926491812977,5.362926491812977,0.0
stage1_score,27,train,5.410227695816314,5.410227695816314,0.0
stage1_score,28,train,5.4235954872482575,5.4235954872482575,0.0
stage1_score,29,train,5.401886842683758,5.401886842683758,0.0
stage1_score,30,train,5.244724930033964,5.244724930033964,0.0
stage1_score,31,train,5.297167747160968,5.297167747160968,0.0
stage1_score,32,train,5.3566280036936025,5.3566280036936025,0.0
stage1_score,33,train,5.365415257139278,5.365415257139278,0.0
stage1_score,34,train,5.350381642534299,5.350381642534299,0.0
stage1_score,35,train,5.282003809180101,5.282003809180101,0.0
stage1_score,36,train,5.428783637117546,5.428783637117546,0.0
stage1_score,37,train,5.409075230161856,5.409075230161856,0.0
stage1_score,38,train,5.33860989921843,5.33860989921843,0.0
stage1_score,39,train,5.355699644674121,5.355699644674121,0.0
stage1_score,40,train,5.3156450248435325,5.3156450248435325,0.0
stage1_score,41,train,5.317096625447578,5.317096625447578,0.0
stage1_score,42,train,5.3318592239828675,5.3318592239828675,0.0
stage1_score,43,train,5.33232919200302,5.33232919200302,0.0
stage1_score,44,train,5.331445124813968,5.331445124813968,0.0
stage1_score,45,train,5.292132930804397,5.292132930804397,0.0
stage1_score,46,train,5.2704804883893495,5.2704804883893495,0.0
stage1_score,47,train,5.307118568639926,5.307118568639926,0.0
stage1_score,48,train,5.378856240879849,5.378856240879849,0.0
stage1_score,49,train,5.282179583064126,5.282179583064126,0.0
stage1_score,50,train,5.293171727870737,5.293171727870737,0.0
stage1_score,51,train,5.399351074384607,5.399351074384607,0.0
stage1_score,52,train,5.368709556038118,5.368709556038118,0.0
stage1_score,53,train,5.385198150205491,5.385198150205491,0.0
stage1_score,54,train,5.350398164636949,5.350398164636949,0.0
stage1_score,55,train,5.261285098922222,5.261285098922222,0.0
stage1_score,56,train,5.354194722212184,5.354194722212184,0.0
stage1_score,57,train,5.352295103097512,5.352295103097512,0.0
stage1_score,58,train,5.363141148291585,5.363141148291585,0.0
stage1_score,59,train,5.318551997577442,5.318551997577442,0.0
stage1_score,60,train,5.350969317624026,5.350969317624026,0.0
stage1_score,61,train,5.282653556394455,5.282653556394455,0.0
stage1_score,62,train,5.29634098299324,5.29634098299324,0.0
stage1_score,63,train,5.361012787953057,5.361012787953057,0.0
stage1_score,64,train,5.304747063302629,5.304747063302629,0.0
stage1_score,65,train,5.301164724759739,5.301164724759739,0.0
stage1_score,66,train,5.317578069877136,5.317578069877136,0.0
stage1_score,67,train,5.356787316329644,5.356787316329644,0.0
stage1_score,68,train,5.333806456690248,5.333806456690248,0.0
stage1_score,69,train,5.25426786403217,5.25426786403217,0.0
