bias,correlation,lambda,mae,mask,n_scalar_scores,nrmse,rmse,stage,time,time_level
-0.046161107031955466,0.9847822075901758,0.031673744320869446,1.2128123490567397,posterior,192,0.27631765336254116,1.6211901654487086,stage1,0.001000000280328095,0
-0.048044806571228206,0.980210201746995,0.031673744320869446,1.4128636699759023,posterior,192,0.3213472653002289,1.8853845198049604,stage2,0.001000000280328095,0
0.08745891102645158,0.9904010252633207,0.04439341638969692,0.42590017717660394,posterior,192,0.1388604379335403,0.77699868996476,stage1,0.001958372537046671,1
0.11290547327814855,0.9862217930650551,0.04439341638969692,0.5425033095896578,posterior,192,0.16619676575224282,0.9299601181416237,stage2,0.001958372537046671,1
0.12540584025562962,0.9944304910882923,0.06222110650335994,0.5238427840485597,posterior,192,0.16908046873020544,0.8738940099637286,stage1,0.0038240114226937294,2
0.17234625331192033,0.9921122332715578,0.06222110650335994,0.44673582533676043,posterior,192,0.16208896536248185,0.837758358344238,stage2,0.0038240114226937294,2
0.07450361343718896,0.9957441268118277,0.08720811348506567,0.5200244647244199,posterior,192,0.16441407626752166,0.7550574313231257,stage1,0.007424929179251194,3
0.1445063547915659,0.9954573265553545,0.08720811348506567,0.4453513919420075,posterior,192,0.14832822742020235,0.6811845611465699,stage2,0.007424929179251194,3
0.013379402734795992,0.9953887783460654,0.12222950514731536,0.3912377113884378,posterior,192,0.13469320582982744,0.5292748431895422,stage1,0.014264560304582119,4
0.09366824100010447,0.9959196911505812,0.12222950514731536,0.37672194935386044,posterior,192,0.13106843979817434,0.5150313818272385,stage2,0.014264560304582119,4
-0.007834860357637334,0.9925295711932093,0.17131493081909246,0.41285434615391986,posterior,192,0.16788723305077916,0.546688434628347,stage1,0.02688242867588997,5
0.05685919553201819,0.9929484059315986,0.17131493081909246,0.4117934034413587,posterior,192,0.16546185166637523,0.5387907051326475,stage2,0.02688242867588997,5
-0.01878960673303894,0.9848207369288531,0.24011228292365433,0.4367349205840596,posterior,192,0.22097914271655028,0.5831252058201265,stage1,0.04903237149119377,6
0.03386630212330796,0.984902551961098,0.24011228292365433,0.44003701431922604,posterior,192,0.22050731246632616,0.581880128531873,stage2,0.04903237149119377,6
-0.0003778711052612946,0.9720554827422061,0.3365375576731906,0.4360997128841834,posterior,192,0.2777914116100965,0.5856052887022839,stage1,0.08506305515766144,7
0.027798363289516275,0.9718642015652375,0.3365375576731906,0.4342527234634758,posterior,192,0.2783399965823501,0.5867617472810148,stage2,0.08506305515766144,7
0.007696733020093288,0.9569142051284135,0.4716856894848953,0.3994528227292246,posterior,192,0.3258063673911839,0.541173096575148,stage1,0.1380675882101059,8
0.022263794311111317,0.9561260111123543,0.4716856894848953,0.3981458105929881,posterior,192,0.32672190372602405,0.5426938269320155,stage2,0.1380675882101059,8
0.006622484471431679,0.944116797492207,0.6611071620151743,0.3356019058082455,posterior,192,0.35508615275825794,0.4565547138386494,stage1,0.20792976021766663,9
