bias,comparison,correlation,lambda,mae,mask,n,nrmse,rmse,time,time_level
0.05009525641798973,head_vs_exact,0.9981412089849013,0.031673744320869446,0.08107976863781612,posterior,96,0.036166053801635185,0.10484295868204686,0.001000000280328095,0
-0.44764908065312187,no_head_exact_vs_analytic,0.9575325775766066,0.031673744320869446,0.5447084249547022,posterior,96,0.25220268569666743,0.6456129139295113,0.001000000280328095,0
-0.4925265688192156,trained_exact_vs_analytic,0.9556033546775343,0.031673744320869446,0.5841723212590711,posterior,96,0.26626991928068305,0.68162358383977,0.001000000280328095,0
-0.44243131240122585,head_vs_analytic,0.9615929966092555,0.031673744320869446,0.5338492856910723,posterior,96,0.24495338762101437,0.627055457090233,0.001000000280328095,0
0.04831057538588842,head_vs_exact,0.9983034802626622,0.04439341638969692,0.07807694127162297,posterior,96,0.03337236870443538,0.10036641384067865,0.001958372537046671,1
0.021202659609922726,no_head_exact_vs_analytic,0.9722769710408666,0.04439341638969692,0.223435794954155,posterior,96,0.16730471102096012,0.5276057599286401,0.001958372537046671,1
-0.04017588148215517,trained_exact_vs_analytic,0.9708800770485368,0.04439341638969692,0.2611265247384162,posterior,96,0.16517000092615108,0.5208738195372069,0.001958372537046671,1
0.008134693903733248,head_vs_analytic,0.9748165646844009,0.04439341638969692,0.23491793956153506,posterior,96,0.16195389266484347,0.5107316231049296,0.001958372537046671,1
0.04157632154723009,head_vs_exact,0.9983804591734373,0.06222110650335994,0.07199826029439767,posterior,96,0.029439414394243125,0.09438179452114907,0.0038240114226937294,2
0.3969130226524749,no_head_exact_vs_analytic,0.9837374024766871,0.06222110650335994,0.4026678770203685,posterior,96,0.17412205668587746,0.6378480137366297,0.0038240114226937294,2
0.3117974173080999,trained_exact_vs_analytic,0.9834597559061784,0.06222110650335994,0.3206021900267569,posterior,96,0.15749817256600782,0.5769510104030665,0.0038240114226937294,2
0.35337373885533,head_vs_analytic,0.9856310056522112,0.06222110650335994,0.35967277996957386,posterior,96,0.16341252145660506,0.5986165923759382,0.0038240114226937294,2
0.02141132081548373,head_vs_exact,0.9979244033271568,0.08720811348506567,0.06910743440190951,posterior,96,0.026578203574071153,0.09337484853712354,0.007424929179251194,3
0.4941367350854107,no_head_exact_vs_analytic,0.9882900392123123,0.08720811348506567,0.4975648550414125,posterior,96,0.15090261540057895,0.6035891377791651,0.007424929179251194,3
0.41966072336709787,trained_exact_vs_analytic,0.9888644416002649,0.08720811348506567,0.42352117776134685,posterior,96,0.1352339409368892,0.5409166540413873,0.007424929179251194,3
0.44107204418258156,head_vs_analytic,0.9899827255135686,0.08720811348506567,0.4443316390540111,posterior,96,0.13914820670104605,0.5565731639789671,0.007424929179251194,3
