divergence_loss,epoch,score_loss,split,stage,total_loss
0.0,1,15.872045250621904,train,stage1_score,15.872045250621904
0.0,2,11.345792335012684,train,stage1_score,11.345792335012684
0.0,3,10.952687603006584,train,stage1_score,10.952687603006584
0.0,4,10.90575438350668,train,stage1_score,10.90575438350668
0.0,5,10.792298240125026,train,stage1_score,10.792298240125026
0.0,6,10.644643627469192,train,stage1_score,10.644643627469192
0.0,7,10.561237966922848,train,stage1_score,10.561237966922848
0.0,8,10.65616325417443,train,stage1_score,10.65616325417443
0.0,9,10.568894552879629,train,stage1_score,10.568894552879629
0.0,10,10.53126700735458,train,stage1_score,10.53126700735458
0.0,11,10.661450997764804,train,stage1_score,10.661450997764804
0.0,12,10.509026311547554,train,stage1_score,10.509026311547554
0.0,13,10.63903100313738,train,stage1_score,10.63903100313738
0.0,14,10.48490157944467,train,stage1_score,10.48490157944467
0.0,15,10.579387941384864,train,stage1_score,10.579387941384864
0.0,16,10.481408583843494,train,stage1_score,10.481408583843494
0.0,17,10.456941037287798,train,stage1_score,10.456941037287798
0.0,18,10.478223857977202,train,stage1_score,10.478223857977202
0.0,19,10.506624446927434,train,stage1_score,10.506624446927434
0.0,20,10.702659927670608,train,stage1_score,10.702659927670608
0.0,21,10.58022676111792,train,stage1_score,10.58022676111792
0.0,22,10.499351493659836,train,stage1_score,10.499351493659836
0.0,23,10.454011807600253,train,stage1_score,10.454011807600253
0.0,24,10.541912711794724,train,stage1_score,10.541912711794724
0.0,25,10.361917466946574,train,stage1_score,10.361917466946574
0.0,26,10.365628832746344,train,stage1_score,10.365628832746344
0.0,27,10.537531554424548,train,stage1_score,10.537531554424548
0.0,28,10.55531877654288,train,stage1_score,10.55531877654288
0.0,29,10.514701783260724,train,stage1_score,10.514701783260724
0.0,30,10.402802444906795,train,stage1_score,10.402802444906795
0.0,31,10.429380302965797,train,stage1_score,10.429380302965797
0.0,32,10.49724842325196,train,stage1_score,10.49724842325196
0.0,33,10.487482826301203,train,stage1_score,10.487482826301203
0.0,34,10.480823740995753,train,stage1_score,10.480823740995753
0.0,35,10.352379093023822,train,stage1_score,10.352379093023822
0.0,36,10.583480082997276,train,stage1_score,10.583480082997276
0.0,37,10.561387539397725,train,stage1_score,10.561387539397725
0.0,38,10.476656234965604,train,stage1_score,10.476656234965604
