bias,centered_rmse,comparison,correlation,mae,mask,problem,rmse,timesteps
1.3215518462439528,1.5089315713529583,current_grid_vs_analytic,0.8960861423248927,1.4875192804349924,posterior,gaussian,2.0058349307299714,100
1.3215521921569333,1.5089315666836025,upstream_grid_vs_analytic,0.8960861407114425,1.4875194624572754,posterior,gaussian,2.0058351551234286,100
-3.4591298044463736e-07,4.017328728613011e-07,current_grid_vs_upstream,0.9999999999999679,3.628671905140818e-07,posterior,gaussian,5.30136860798687e-07,100
1.0478484266773669,2.114137881400372,current_grid_vs_analytic,0.6226327795720772,1.7737137774880574,likelihood,gaussian,2.359568881567624,100
1.0478487563425627,2.1141378669357156,upstream_grid_vs_analytic,0.6226327861548979,1.7737138382406434,likelihood,gaussian,2.359569015006798,100
-3.2966519579475307e-07,3.749530329858642e-07,current_grid_vs_upstream,0.9999999999999782,3.4567750530478396e-07,likelihood,gaussian,4.992683830002572e-07,100
-0.16172492327912008,0.7543498239574077,current_vs_analytic,0.6822025976238103,0.5149492087887364,posterior,gaussian,0.7714911585457147,10
-0.1617243942878977,0.7543497987763881,upstream_vs_analytic,0.6822026042425972,0.5149490821288663,posterior,gaussian,0.7714910230338163,10
-5.289912223815918e-07,4.052869310664876e-07,current_vs_upstream,0.9999999999998879,5.289912223815918e-07,posterior,gaussian,6.664001874625056e-07,10
-0.426370164480044,0.7974630043758234,current_vs_analytic,0.6588537133036176,0.6616074853475373,posterior,gaussian,0.90428909122407,50
-0.426369702544047,0.7974629661098988,upstream_vs_analytic,0.6588537571861375,0.6616071426208299,posterior,gaussian,0.9042888396769566,50
-4.6193599700927734e-07,4.5369080745095997e-07,current_vs_upstream,0.999999999999875,5.066394805908203e-07,posterior,gaussian,6.474721724510321e-07,50
-0.4338022154830233,0.7989981720914691,current_vs_analytic,0.6581048398796279,0.6667750380442967,posterior,gaussian,0.9091657941011024,100
-0.43380176099760687,0.7989980921980804,upstream_vs_analytic,0.6581049088400762,0.6667746580646863,posterior,gaussian,0.9091655070342236,100
-4.544854164123535e-07,4.4147440692858543e-07,current_vs_upstream,0.9999999999998826,4.544854164123535e-07,posterior,gaussian,6.336060650786549e-07,100
-0.4356327635310427,0.7993862736284747,current_vs_analytic,0.6579156139096927,0.6680741063760152,posterior,gaussian,0.9103814140937367,200
-0.43563234629852926,0.7993863048382258,upstream_vs_analytic,0.6579156000204058,0.6680738232539525,posterior,gaussian,0.9103812418456756,200
-4.172325134277344e-07,3.816559456248789e-07,current_vs_upstream,0.9999999999999127,4.172325134277344e-07,posterior,gaussian,5.65459309846469e-07,200
-0.4361408186219469,0.7994958643277135,current_vs_analytic,0.6578620698458691,0.6684352509187093,posterior,gaussian,0.9107208412819702,500
-0.4361403939388529,0.7994958326083415,upstream_vs_analytic,0.6578620821523273,0.6684349305437436,posterior,gaussian,0.9107206100573562,500
-4.246830940246582e-07,4.995223966795723e-07,current_vs_upstream,0.9999999999998493,4.3958425521850586e-07,posterior,gaussian,6.556510925292969e-07,500
-0.41110606133874505,0.8959007247457023,current_vs_analytic,0.5290775666221087,0.7755403218599672,likelihood,gaussian,0.9857212092013292,10
-0.41110556214984506,0.8959007914250222,upstream_vs_analytic,0.5290775087553491,0.7755400610896463,likelihood,gaussian,0.985721061612524,10
-4.991888999938965e-07,4.08017086091431e-07,current_vs_upstream,0.9999999999998777,4.991888999938965e-07,likelihood,gaussian,6.447228089804631e-07,10
-0.6543407851451262,0.9425434051841078,current_vs_analytic,0.5040228138190848,0.9463490181135576,likelihood,gaussian,1.147410098334677,50
-0.6543403604620321,0.9425433376952842,upstream_vs_analytic,0.5040228670927479,0.9463486828374308,likelihood,gaussian,1.1474098007091227,50
-4.246830940246582e-07,4.052869310664876e-07,current_vs_upstream,0.9999999999998955,4.246830940246582e-07,likelihood,gaussian,5.870376707193913e-07,50
-0.6613260695331915,0.9441441536160241,current_vs_analytic,0.5032401334822694,0.9514812984036845,likelihood,gaussian,1.1527186790590054,100
-0.6613256821030005,0.9441443009431931,upstream_vs_analytic,0.5032400186723872,0.9514811642932337,likelihood,gaussian,1.1527185774561413,100
-3.8743019104003906e-07,4.6838026182358597e-07,current_vs_upstream,0.9999999999998663,4.3213367462158203e-07,likelihood,gaussian,6.07850493620966e-07,100
-0.663050700127445,0.944547285279235,current_vs_analytic,0.5030434555503875,0.9527505644130152,likelihood,gaussian,1.1540389096854005,200
-0.6630502679937704,0.9445473273358106,upstream_vs_analytic,0.503043443774132,0.9527502812909525,likelihood,gaussian,1.1540386958260254,200
-4.3213367462158203e-07,3.74312898131623e-07,current_vs_upstream,0.9999999999999151,4.3213367462158203e-07,likelihood,gaussian,5.717076686993503e-07,200
-0.6635300257795675,0.9446607117252908,current_vs_analytic,0.5029876752493663,0.9531038858460825,likelihood,gaussian,1.1544071878623965,500
-0.6635296234482153,0.9446607196303717,upstream_vs_analytic,0.5029876688662679,0.9531036027240198,likelihood,gaussian,1.1544069630792695,500
-4.023313522338867e-07,3.597943922176849e-07,current_vs_upstream,0.999999999999916,4.023313522338867e-07,likelihood,gaussian,5.397430144630323e-07,500
95.10787822319777,111.18766674115658,current_grid_vs_analytic,0.6518838398947367,95.13791096685486,posterior,line,146.31543232161505,100
95.10787838711055,111.1876666367271,upstream_grid_vs_analytic,0.6518838554730602,95.1379110928374,posterior,line,146.31543234880374,100
-1.6391277313232422e-07,2.829080895607022e-07,current_grid_vs_upstream,0.9999999999999962,1.8287788737903943e-07,posterior,line,3.2696235920181253e-07,100
1.3711899606662015,2.954003448493315,current_grid_vs_analytic,0.6122235801868771,2.1347350043741518,likelihood,line,3.2567312265432924,100
1.371190379504391,2.954003440222978,upstream_grid_vs_analytic,0.6122235830516392,2.134735047970692,likelihood,line,3.256731395386267,100
-4.188381895727041e-07,5.124616250174077e-07,current_grid_vs_upstream,0.9999999999999782,4.6788429727359694e-07,likelihood,line,6.618476759497027e-07,100
0.014579882223134097,0.3254255249760391,current_vs_analytic,0.9148636847465799,0.21144789893929972,posterior,line,0.3257519689450412,10
0.014580463368420657,0.32542547156088736,upstream_vs_analytic,0.9148637100282407,0.21144774992768778,posterior,line,0.32575194159461857,10
-5.811452865600586e-07,3.6225455347130353e-07,current_vs_upstream,0.9999999999995575,5.811452865600586e-07,posterior,line,6.848052318737541e-07,10
-0.1964119422883045,0.32611442559106607,current_vs_analytic,0.9154787109846195,0.3151075562082071,posterior,line,0.38069445708081334,50
-0.19641151015462988,0.3261144184720864,upstream_vs_analytic,0.9154787073861798,0.3151072507344026,posterior,line,0.380694228031644,50
-4.3213367462158203e-07,3.472322284499122e-07,current_vs_upstream,0.9999999999995804,4.470348358154297e-07,posterior,line,5.543552409928523e-07,50
