accepted_steps,label,map_error_sigma,n_observations,rejected_steps,repeat,runtime_seconds,sample_mean,sample_std,score_evaluations,std_ratio,truth_mean,truth_std,variant
0,DPM-2 + damping (0 correctors),0.06126970708575461,1,0,0,1.1823907380457968,-0.11357132274358932,0.7701156812312235,0,1.0891080409933915,-0.15689554810523987,0.7071067811865476,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.0325077097339503,1,0,0,1.3515091252047569,-0.13390912611151967,0.7381949761269639,0,1.0439653469144354,-0.15689554810523987,0.7071067811865476,dpm2_damping_c5
0,Euler–Maruyama + damping,0.025967228556253205,1,0,0,0.4013849429320544,-0.13853394470449226,0.7710257607615041,0,1.0903950878079522,-0.15689554810523987,0.7071067811865476,euler_damping
0,Annealed Langevin + damping,0.020294543017851368,1,0,0,1.983062586048618,-0.14254513911623506,0.7407446998067632,0,1.0475712007227114,-0.15689554810523987,0.7071067811865476,langevin_damping
55,Adaptive reverse-SDE + damping,0.015798041245453105,1,22,0,0.6167887849733233,-0.1457246460111152,0.7245230425784569,154,1.024630313066273,-0.15689554810523987,0.7071067811865476,adaptive_damping
0,DPM-2 + Gaussian + damping,0.03131758557193192,1,0,0,1.425432306015864,-0.1790404252335429,0.7303395992394731,0,1.0328561663825937,-0.15689554810523987,0.7071067811865476,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.005096776243573904,1,0,0,2.6565374550409615,-0.15329159032180906,0.729184800423597,349,1.0312230342353694,-0.15689554810523987,0.7071067811865476,dpm2_hybrid
0,DPM-2 + hybrid damping,0.017470943452402604,1,0,0,1.8254009049851447,-0.16924936836212873,0.7258656081996255,0,1.0265289875761057,-0.15689554810523987,0.7071067811865476,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.018960756002387964,2,0,0,1.1469931090250611,-0.04753174525588838,0.43331027085130613,0,0.7505154045558938,-0.058478742837905884,0.5773502691896257,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.0065106923071747685,2,0,0,2.045511335832998,-0.054719792881747706,0.5536069093950813,0,0.9588752944934609,-0.058478742837905884,0.5773502691896257,dpm2_damping_c5
0,Euler–Maruyama + damping,0.009747822683337841,2,0,0,0.6119564650580287,-0.05285083478766804,0.5761484485971403,0,0.9979183856722327,-0.058478742837905884,0.5773502691896257,euler_damping
0,Annealed Langevin + damping,0.004720025397286195,2,0,0,3.0102951428852975,-0.06120385077161094,0.5766762187208472,0,0.9988325103412099,-0.058478742837905884,0.5773502691896257,langevin_damping
63,Adaptive reverse-SDE + damping,0.0050582778966145134,2,10,0,0.9024249268695712,-0.06139914094315221,0.5515341157801756,146,0.9552851106388399,-0.058478742837905884,0.5773502691896257,adaptive_damping
0,DPM-2 + Gaussian + damping,0.0036809367621052375,2,0,0,2.1434633100870997,-0.06060393266837733,0.6155856544290771,0,1.0662256298816988,-0.058478742837905884,0.5773502691896257,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.028322484633092757,2,0,0,2.173692223150283,-0.042126743957710766,0.617987885607486,349,1.0703864163342292,-0.058478742837905884,0.5773502691896257,dpm2_hybrid
0,DPM-2 + hybrid damping,0.02459771871530551,2,0,0,2.1204534359276295,-0.04427724429251005,0.6517436412722568,0,1.1288531001934932,-0.058478742837905884,0.5773502691896257,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.17031442625667664,5,0,0,2.423111115116626,-0.3183038315450152,0.0821925659466609,0,0.2013298472193758,-0.3878344049056371,0.408248290463863,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.0810175732266763,5,0,0,4.292820042930543,-0.35475911913831565,0.3453446604133474,0,0.8459182034074343,-0.3878344049056371,0.408248290463863,dpm2_damping_c5
0,Euler–Maruyama + damping,0.06320211733154728,5,0,0,1.2608398471493274,-0.3620322485513364,0.35155012625848026,0,0.8611184283442785,-0.3878344049056371,0.408248290463863,euler_damping
0,Annealed Langevin + damping,0.0734699163768285,5,0,0,6.360641544917598,-0.3578404371442739,0.3316073584828201,0,0.8122688232350921,-0.3878344049056371,0.408248290463863,langevin_damping
113,Adaptive reverse-SDE + damping,0.07401880426832418,5,30,0,3.6564936379436404,-0.35761635460091445,0.34061025248270754,286,0.8343213197431807,-0.3878344049056371,0.408248290463863,adaptive_damping
0,DPM-2 + Gaussian + damping,0.076351290944274,5,0,0,4.53682600799948,-0.3566641209029282,0.4960448315410108,0,1.2150567268203154,-0.3878344049056371,0.408248290463863,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.1597974854493953,5,0,0,4.36095590214245,-0.322597367922465,0.526460539527241,349,1.2895596915520748,-0.3878344049056371,0.408248290463863,dpm2_hybrid
0,DPM-2 + hybrid damping,0.18311851175043609,5,0,0,4.354543886845931,-0.3130765748812507,0.5555598967926344,0,1.360838268695239,-0.3878344049056371,0.408248290463863,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.12071971030922456,10,0,0,4.830654473043978,0.26602105917533236,0.011947948929076451,0,0.03962686361207521,0.3024194213477048,0.30151134457776363,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.23350704666578181,10,0,0,8.703059606952593,0.2320143977391223,0.20420351394382094,0,0.6772664366237611,0.3024194213477048,0.30151134457776363,dpm2_damping_c5
0,Euler–Maruyama + damping,0.05282898379452355,10,0,0,2.4385632080957294,0.2864908834111411,0.23995164396041682,0,0.795829570845651,0.3024194213477048,0.30151134457776363,euler_damping
0,Annealed Langevin + damping,0.3766989320003352,10,0,0,12.792027913033962,0.18884041985927616,0.1970133387656834,0,0.653419323380952,0.3024194213477048,0.30151134457776363,langevin_damping
158,Adaptive reverse-SDE + damping,0.07123350356554624,10,26,0,9.466218642890453,0.280941711908672,0.2383709870587307,368,0.7905871249804723,0.3024194213477048,0.30151134457776363,adaptive_damping
0,DPM-2 + Gaussian + damping,0.22076401795425543,10,0,0,8.999523758189753,0.3689822772354819,0.4545234504259351,0,1.50748374348053,0.3024194213477048,0.30151134457776363,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.014087031781912106,10,0,0,8.054673028877005,0.30666681985526034,0.48449337639550544,349,1.606882742916323,0.3024194213477048,0.30151134457776363,dpm2_hybrid
0,DPM-2 + hybrid damping,0.04416578432057737,10,0,0,8.198173732031137,0.31573591263468065,0.5196202368398756,0,1.7233853590734756,0.3024194213477048,0.30151134457776363,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.15713186217948394,25,0,0,12.336213763104752,0.017073536864171426,5.100583732106741e-05,0,0.00026007975980726184,0.04788963038187761,0.19611613513818404,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.37980825272183727,25,0,0,21.924157361965626,-0.02659689623551579,0.09368338234046278,0,0.4776933946533934,0.04788963038187761,0.19611613513818404,dpm2_damping_c5
0,Euler–Maruyama + damping,0.27940150451522605,25,0,0,6.163994031958282,-0.006905512835442399,0.12326707450996946,0,0.62854121830983,0.04788963038187761,0.19611613513818404,euler_damping
0,Annealed Langevin + damping,0.4205650153670592,25,0,0,31.45629339502193,-0.03458995500624102,0.09844173897747452,0,0.5019563479981499,0.04788963038187761,0.19611613513818404,langevin_damping
284,Adaptive reverse-SDE + damping,0.2750780719777733,25,30,0,39.54639847879298,-0.006057617955666501,0.11750268047821254,628,0.5991484606578636,0.04788963038187761,0.19611613513818404,adaptive_damping
0,DPM-2 + Gaussian + damping,0.22891501096641867,25,0,0,22.04126868210733,0.002995703156028564,0.2985246818816345,0,1.5221831782035327,0.04788963038187761,0.19611613513818404,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.2331122116009532,25,0,0,20.505628259154037,0.0021725638234056533,0.36009314103148904,349,1.8361219528304813,0.04788963038187761,0.19611613513818404,dpm2_hybrid
0,DPM-2 + hybrid damping,0.32909095568998703,25,0,0,20.94250673498027,-0.016650417246390135,0.38849593698056606,0,1.980948363615419,0.04788963038187761,0.19611613513818404,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.3067701693030674,50,0,0,24.211566812125966,-0.28911064732074737,2.0293723497845697e-08,0,1.4492617390850332e-07,-0.24615423147584878,0.14002800840280097,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.1735737665772424,50,0,0,42.83263778802939,-0.22184904263106486,0.058836146473447745,0,0.4201741290513909,-0.24615423147584878,0.14002800840280097,dpm2_damping_c5
0,Euler–Maruyama + damping,0.22736199129345477,50,0,0,12.159229910932481,-0.2779912783031662,0.06762435589398408,0,0.4829344976431972,-0.24615423147584878,0.14002800840280097,euler_damping
0,Annealed Langevin + damping,0.17155063626700784,50,0,0,61.47483898210339,-0.22213233753914635,0.0643541607026178,0,0.4595806327366899,-0.24615423147584878,0.14002800840280097,langevin_damping
465,Adaptive reverse-SDE + damping,0.1699989484747058,50,45,0,125.71866292203777,-0.2699588456613322,0.06327938456566828,1020,0.4519051958779592,-0.24615423147584878,0.14002800840280097,adaptive_damping
0,DPM-2 + Gaussian + damping,0.6799032657499187,50,0,0,43.06958228908479,-0.3413597316853702,0.16115643475885041,0,1.1508871446294655,-0.24615423147584878,0.14002800840280097,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.6322889135324207,50,0,0,42.46152957202867,-0.3346923969766746,0.2048632995601477,349,1.4630165914439288,-0.24615423147584878,0.14002800840280097,dpm2_hybrid
0,DPM-2 + hybrid damping,0.6346836896585063,50,0,0,43.20469236979261,-0.3350276988328745,0.22612977589789376,0,1.6148896101372425,-0.24615423147584878,0.14002800840280097,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.36600852642163534,100,0,0,48.02575956983492,-0.19811628758907318,0.0,0,0.0,-0.16169707801672492,0.09950371902099892,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.056822228297607164,100,0,0,84.78790524788201,-0.15604305497805276,0.04165872327740376,0,0.4186649874726014,-0.16169707801672492,0.09950371902099892,dpm2_damping_c5
0,Euler–Maruyama + damping,0.19051611776234798,100,0,0,24.041446323972195,-0.18065414026752113,0.038242020279512706,0,0.38432754730948543,-0.16169707801672492,0.09950371902099892,euler_damping
0,Annealed Langevin + damping,0.013230140550088207,100,0,0,121.77151596802287,-0.16038062982882062,0.04357793923416632,0,0.4379528691281357,-0.16169707801672492,0.09950371902099892,langevin_damping
759,Adaptive reverse-SDE + damping,0.17517138834577903,100,49,0,393.20346491690725,-0.1791272826232016,0.03733222476576336,1616,0.37518421555565074,-0.16169707801672492,0.09950371902099892,adaptive_damping
0,DPM-2 + Gaussian + damping,0.5363207785119946,100,0,0,85.08173730107956,-0.21506299006690582,0.07956547710644529,0,0.7996231486549168,-0.16169707801672492,0.09950371902099892,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.5149107888591257,100,0,0,85.47019123309292,-0.2129326062913363,0.10402214305177701,349,1.0454095995128037,-0.16169707801672492,0.09950371902099892,dpm2_hybrid
0,DPM-2 + hybrid damping,0.5376326379186748,100,0,0,85.959646405885,-0.21519352891948074,0.10779344048224009,0,1.0833106696192103,-0.16169707801672492,0.09950371902099892,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.01953604299793126,1,0,1,0.7666903170756996,-0.06527225013070953,0.7784779168937073,0,1.1009340280790358,-0.0790863186120987,0.7071067811865476,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.018686148698948482,1,0,1,1.3627321089152247,-0.06587321615281204,0.7435467495434173,0,1.0515338974627315,-0.0790863186120987,0.7071067811865476,dpm2_damping_c5
0,Euler–Maruyama + damping,0.0032448452509565694,1,0,1,0.4135414641350508,-0.08138077069295105,0.7595195804864486,0,1.074122891611859,-0.0790863186120987,0.7071067811865476,euler_damping
0,Annealed Langevin + damping,0.010668741323636774,1,0,1,2.0199453260283917,-0.0866302579487674,0.7219069028258992,0,1.0209305327471425,-0.0790863186120987,0.7071067811865476,langevin_damping
49,Adaptive reverse-SDE + damping,0.011266740618559822,1,11,1,0.49616806604899466,-0.08705310730535226,0.7540410198664014,120,1.0663750368807052,-0.0790863186120987,0.7071067811865476,adaptive_damping
0,DPM-2 + Gaussian + damping,0.039939348349450905,1,0,1,1.4540106849744916,-0.10732770266616717,0.7240652227866623,0,1.0239828581075943,-0.0790863186120987,0.7071067811865476,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.04005713400473901,1,0,1,1.50690145092085,-0.10741098485359302,0.7384511535084787,349,1.0443276364417469,-0.0790863186120987,0.7071067811865476,dpm2_hybrid
0,DPM-2 + hybrid damping,0.03567975178168543,1,0,1,1.4664859459735453,-0.10431571957468987,0.7397025999828775,0,1.0460974490184256,-0.0790863186120987,0.7071067811865476,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.09374035598419354,2,0,1,1.1750252819620073,-0.1276291287733693,0.4130995846743343,0,0.7155094692415486,-0.18175014853477478,0.5773502691896257,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.03786627845158718,2,0,1,2.0956346800085157,-0.1598880424775416,0.5560324036026558,0,0.963076373694444,-0.18175014853477478,0.5773502691896257,dpm2_damping_c5
0,Euler–Maruyama + damping,0.010728385622344717,2,0,1,0.6096317330375314,-0.17555611220774395,0.5712949330763905,0,0.9895118501949699,-0.18175014853477478,0.5773502691896257,euler_damping
0,Annealed Langevin + damping,0.001757806277245769,2,0,1,3.0834818528965116,-0.18073527860742372,0.5735002182648679,0,0.9933315161865918,-0.18175014853477478,0.5773502691896257,langevin_damping
69,Adaptive reverse-SDE + damping,0.05074702542681313,2,20,1,1.1039984170347452,-0.15245133974403144,0.5638947505199179,178,0.9766943580218744,-0.18175014853477478,0.5773502691896257,adaptive_damping
0,DPM-2 + Gaussian + damping,0.03845174214884381,2,0,1,2.1943766509648412,-0.15955002485432973,0.6188899425165474,0,1.0719488247320421,-0.18175014853477478,0.5773502691896257,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.039028093531282594,2,0,1,2.3116272969637066,-0.1592172748784845,0.6078519618392602,349,1.052830481386017,-0.18175014853477478,0.5773502691896257,dpm2_hybrid
0,DPM-2 + hybrid damping,0.011088022818995385,2,0,1,2.3103797959629446,-0.17534846223021547,0.6532103958451679,0,1.131393593636009,-0.18175014853477478,0.5773502691896257,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.0067895637844136636,5,0,1,2.5345180109143257,-0.05413732750312435,0.08610564265227591,0,0.21091488847250356,-0.05136549969514211,0.408248290463863,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.02224859560421891,5,0,1,4.5989883069414645,-0.0604484508157863,0.332738606607759,0,0.8150398039136727,-0.05136549969514211,0.408248290463863,dpm2_damping_c5
0,Euler–Maruyama + damping,0.028460504548822915,5,0,1,1.2830904750153422,-0.06298445202293806,0.3484440339466182,0,0.8535100870862349,-0.05136549969514211,0.408248290463863,euler_damping
0,Annealed Langevin + damping,0.053006753178918245,5,0,1,6.731896207900718,-0.07300541606347542,0.3333511367105419,0,0.8165401901175853,-0.05136549969514211,0.408248290463863,langevin_damping
105,Adaptive reverse-SDE + damping,0.020685075163524774,5,24,1,3.451894271885976,-0.059810146268767614,0.34510880767414776,258,0.8453404845419574,-0.05136549969514211,0.408248290463863,adaptive_damping
0,DPM-2 + Gaussian + damping,0.024890634730507646,5,0,1,4.769238758133724,-0.04120394061785191,0.5102568277382195,0,1.2498688657298516,-0.05136549969514211,0.408248290463863,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.0883435085569081,5,0,1,4.820710661122575,-0.015299412203021348,0.5333751120215321,349,1.3064968659525715,-0.05136549969514211,0.408248290463863,dpm2_hybrid
0,DPM-2 + hybrid damping,0.004628489165563167,5,0,1,4.837418247945607,-0.049475929825101045,0.5708644814806259,0,1.3983266919060306,-0.05136549969514211,0.408248290463863,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.06777777835526455,10,0,1,5.038648578105494,0.09832118623579542,0.010318876296754651,0,0.0342238409344272,0.11875695532018488,0.30151134457776363,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.11944458986047761,10,0,1,8.92251634504646,0.08274305642881276,0.20031697046818092,0,0.6643762301836593,0.11875695532018488,0.30151134457776363,dpm2_damping_c5
0,Euler–Maruyama + damping,0.017543566337267585,10,0,1,2.5239229258149862,0.11346737104514613,0.240747559005432,0,0.7984693224149652,0.11875695532018488,0.30151134457776363,euler_damping
0,Annealed Langevin + damping,0.19751998060422957,10,0,1,13.034800976980478,0.05920244038722983,0.1944901082231108,0,0.6450507144116738,0.11875695532018488,0.30151134457776363,langevin_damping
155,Adaptive reverse-SDE + damping,0.028720628245494505,10,19,1,9.010709611000493,0.11009736008076773,0.230440005779253,348,0.7642830358571121,0.11875695532018488,0.30151134457776363,adaptive_damping
0,DPM-2 + Gaussian + damping,0.1166643935577006,10,0,1,9.078162580030039,0.15393259348611657,0.45324272990260267,0,1.5032360740433286,0.11875695532018488,0.30151134457776363,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.09992765941753644,10,0,1,9.123792277881876,0.14888626971654595,0.48390520327452674,349,1.6049319933622643,0.11875695532018488,0.30151134457776363,dpm2_hybrid
0,DPM-2 + hybrid damping,0.06575774066913753,10,0,1,9.252414212096483,0.1385836622522523,0.5383061000092053,0,1.7853593560900634,0.11875695532018488,0.30151134457776363,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.0803861156275429,25,0,1,12.386363059049472,0.18586941507955393,5.179145542315568e-05,0,0.0002640856418400417,0.20163442939519882,0.19611613513818404,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),0.49464340518217065,25,0,1,21.8138035221491,0.10462687649928072,0.0953457385299876,0,0.48616978130232213,0.20163442939519882,0.19611613513818404,dpm2_damping_c5
0,Euler–Maruyama + damping,0.19489246320264106,25,0,1,6.16103915614076,0.1634128727443361,0.12206726816583942,0,0.6224233823485785,0.20163442939519882,0.19611613513818404,euler_damping
0,Annealed Langevin + damping,0.5639503059999137,25,0,1,31.570083287078887,0.0910346749724995,0.10011918841570759,0,0.5105096954167657,0.20163442939519882,0.19611613513818404,langevin_damping
285,Adaptive reverse-SDE + damping,0.1994264881308318,25,26,1,39.316588694928214,0.16252367729879916,0.11961202818749217,622,0.6099040657884327,0.20163442939519882,0.19611613513818404,adaptive_damping
0,DPM-2 + Gaussian + damping,0.035759372638789734,25,0,1,22.090397046878934,0.2086474193520844,0.2969269576213857,0,1.5140363510231836,0.20163442939519882,0.19611613513818404,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.034125600496965613,25,0,1,22.003029583022,0.19494187062823523,0.3525916922684228,349,1.79787191920739,0.20163442939519882,0.19611613513818404,dpm2_hybrid
0,DPM-2 + hybrid damping,0.03064793586033666,25,0,1,22.434071712195873,0.19562388454998533,0.39689185410254874,0,2.0237593088549164,0.20163442939519882,0.19611613513818404,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.31554801447576136,50,0,1,24.33505860506557,0.2747096426188946,5.986595528645897e-08,0,4.275284349845932e-07,0.31889520264139365,0.14002800840280097,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),1.1681041147792,50,0,1,42.78504681191407,0.15532790984174547,0.059738338153768326,0,0.42661706636522717,0.31889520264139365,0.14002800840280097,dpm2_damping_c5
0,Euler–Maruyama + damping,0.6897964588505149,50,0,1,12.170260407030582,0.2223043783052514,0.06704801899010612,0,0.47881862889342475,0.31889520264139365,0.14002800840280097,euler_damping
0,Annealed Langevin + damping,1.1777629307659814,50,0,1,61.66593797993846,0.15397540507558732,0.06506020836044793,0,0.46462282155222406,0.31889520264139365,0.14002800840280097,langevin_damping
457,Adaptive reverse-SDE + damping,0.7088856723471323,50,50,1,125.17240691999905,0.2196313537573442,0.06691280668317909,1014,0.47785301988084716,0.31889520264139365,0.14002800840280097,adaptive_damping
0,DPM-2 + Gaussian + damping,0.20199823231098082,50,0,1,43.0879810329061,0.2906097924700007,0.15905079302434133,0,1.135849854886316,0.31889520264139365,0.14002800840280097,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),0.2951930607926069,50,0,1,43.05253469082527,0.27755988443285845,0.21003441953878074,349,1.4999457746667448,0.31889520264139365,0.14002800840280097,dpm2_hybrid
0,DPM-2 + hybrid damping,0.38504441403663714,50,0,1,43.49042030097917,0.26497817784314975,0.2316834289220105,0,1.6545506257259326,0.31889520264139365,0.14002800840280097,dpm2_hybrid_damping
0,DPM-2 + damping (0 correctors),0.9430874963910831,100,0,1,48.101325342897326,0.17804789543151855,0.0,0,0.0,0.2718886086846342,0.09950371902099892,dpm2_damping_c0
0,DPM-2 + damping (5 correctors),1.6171027116101684,100,0,1,84.93019849504344,0.11098087484048058,0.04251053294354059,0,0.42722556867014505,0.2718886086846342,0.09950371902099892,dpm2_damping_c5
0,Euler–Maruyama + damping,1.319141387274172,100,0,1,24.111043399199843,0.1406291347363343,0.0387582107358673,0,0.3895151971926587,0.2718886086846342,0.09950371902099892,euler_damping
0,Annealed Langevin + damping,1.5910814617526747,100,0,1,122.25660492805764,0.11357008597487583,0.04351800038443469,0,0.4373504911434597,0.2718886086846342,0.09950371902099892,langevin_damping
728,Adaptive reverse-SDE + damping,1.3344562549875296,100,86,1,397.58410147810355,0.13910524844254057,0.037235342855704005,1628,0.3742105644096176,0.2718886086846342,0.09950371902099892,adaptive_damping
0,DPM-2 + Gaussian + damping,0.9802249925905199,100,0,1,84.98646749299951,0.17435257644454638,0.07933458263914368,0,0.7973026879769307,0.2718886086846342,0.09950371902099892,dpm2_gauss_damping
0,DPM-2 + hybrid (no damping),1.0263980476829755,100,0,1,85.34306626487523,0.1697581820966055,0.10557175853744852,349,1.0609830424043651,0.2718886086846342,0.09950371902099892,dpm2_hybrid
