likelihood_std,mean_error_sigma,n_observations,prior_std,repeat,runtime_seconds,std_ratio,variant
1.0,0.03013572283089161,1,1.0,0,0.39344330097083,1.0175094604492188,DPM + uncorrected
1.0,0.025167636573314667,1,1.0,0,0.449817750020884,1.007030963897705,DPM + Gaussian
1.0,0.006794533226639032,1,1.0,0,0.70438427105546,1.0178440809249878,Langevin + Gaussian
1.0,0.05649295076727867,1,1.0,0,0.6363004740560427,1.0828343629837036,Langevin + uncorrected
1.0,0.01758747175335884,1,1.0,0,1.0217545529594645,1.0591297149658203,Langevin + F-NPSE
1.0,0.01239303220063448,1,1.0,1,0.4028624049387872,1.008754014968872,DPM + uncorrected
1.0,0.0400812104344368,1,1.0,1,0.4465444389497861,1.010154128074646,DPM + Gaussian
1.0,0.015735797584056854,1,1.0,1,0.698536294978112,1.024174690246582,Langevin + Gaussian
1.0,0.017775114625692368,1,1.0,1,0.6261252380209044,1.0701278448104858,Langevin + uncorrected
1.0,0.0165785513818264,1,1.0,1,0.9802201129496098,1.0442122220993042,Langevin + F-NPSE
1.0,0.031299807131290436,1,1.0,2,0.3992620069766417,1.0094972848892212,DPM + uncorrected
1.0,0.03829227387905121,1,1.0,2,0.4527421339880675,1.0035300254821777,DPM + Gaussian
1.0,0.021941501647233963,1,1.0,2,0.6982786520384252,1.0181628465652466,Langevin + Gaussian
1.0,0.005092706996947527,1,1.0,2,0.624219315010123,1.0609972476959229,Langevin + uncorrected
1.0,0.01917867735028267,1,1.0,2,0.9894701420562342,1.0388175249099731,Langevin + F-NPSE
1.0,0.27693668007850647,2,1.0,0,0.4030348740052432,0.9504638910293579,DPM + uncorrected
1.0,0.035025786608457565,2,1.0,0,0.4685298749245703,0.997552752494812,DPM + Gaussian
1.0,0.0297902412712574,2,1.0,0,0.7296900990186259,1.0208659172058105,Langevin + Gaussian
1.0,0.0747830718755722,2,1.0,0,0.6178872779710218,1.0708345174789429,Langevin + uncorrected
1.0,0.012746530584990978,2,1.0,0,0.984088805038482,1.042994499206543,Langevin + F-NPSE
1.0,0.15104393661022186,2,1.0,1,0.3959643680136651,0.9661929607391357,DPM + uncorrected
1.0,0.021731341257691383,2,1.0,1,0.4689139579422772,1.0053539276123047,DPM + Gaussian
1.0,0.014708754606544971,2,1.0,1,0.7245431250194088,1.0187454223632812,Langevin + Gaussian
1.0,0.06697728484869003,2,1.0,1,0.6222369329771027,1.0517878532409668,Langevin + uncorrected
1.0,0.007978971116244793,2,1.0,1,0.9762139960657805,1.067228078842163,Langevin + F-NPSE
1.0,0.06503009051084518,2,1.0,2,0.3957509370520711,0.9742166996002197,DPM + uncorrected
1.0,0.02016930654644966,2,1.0,2,0.4756609780015424,1.0089157819747925,DPM + Gaussian
1.0,0.04882499575614929,2,1.0,2,0.7228646279545501,1.0093708038330078,Langevin + Gaussian
1.0,0.004148449283093214,2,1.0,2,0.6192158339545131,1.055192470550537,Langevin + uncorrected
1.0,0.02931799180805683,2,1.0,2,0.9820138260256499,1.0600981712341309,Langevin + F-NPSE
1.0,0.29301923513412476,5,1.0,0,0.39710850291885436,0.8874127864837646,DPM + uncorrected
1.0,0.016035905107855797,5,1.0,0,0.4718096900032833,0.9971445798873901,DPM + Gaussian
1.0,0.03593412786722183,5,1.0,0,0.7298518569441512,0.9985175132751465,Langevin + Gaussian
